資料名,編著者,標記年/刊行年,作成機関/出版者,大きさ,備考,目録番号,区分1,区分2,五十年史番号,画像注記,内容注記,区分3,正副,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcterms:creator,dcterms:date,dcterms:publisher,dcterms:extent,archiveshub:note,fnenshi:catalogNumber,fnenshi:categoy1,fnenshi:categoy2,fnenshi:fnenshiNumber,fnenshi:imageNote,fnenshi:contentNote,fnenshi:categoy3,fnenshi:duplicate,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,54677
明治文化全集 第五巻 自由民権篇,吉野作造編輯代表,昭和2年11月20日 (1927),日本評論社,222×147,,450,II刊本,4.その他,1,画像なし,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9ab4c886-5730-64cb-0be7-a39da069052b.json,9ab4c886-5730-64cb-0be7-a39da069052b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/9ab4c886-5730-64cb-0be7-a39da069052b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482016,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,00001,,,,,,,0
明治文化全集 第十巻 教育篇,吉野作造編輯代表,昭和3年3月15日 (1928),日本評論社,222×147,,451,II刊本,4.その他,1,画像なし,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/570bad73-2d46-905e-58c5-08bda50781ec.json,570bad73-2d46-905e-58c5-08bda50781ec,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/570bad73-2d46-905e-58c5-08bda50781ec,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482017,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,00002,,,,,,,0
明治文化全集 第二巻 正史篇,吉野作造編輯代表,昭和3年5月15日 (1928),日本評論社,222×147,,453,II刊本,4.その他,1,画像なし,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/da9b9288-8e0e-42d7-6b2f-4908f6cd2bc4.json,da9b9288-8e0e-42d7-6b2f-4908f6cd2bc4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/da9b9288-8e0e-42d7-6b2f-4908f6cd2bc4,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482018,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,00003,,,,,,,0
明治文化全集 第三巻 正史篇 下巻,吉野作造編輯代表,昭和4年3月10日 (1929),日本評論社,222×147,,454,II刊本,4.その他,1,画像なし,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ad81728f-8336-58ac-2a67-5965035e2adc.json,ad81728f-8336-58ac-2a67-5965035e2adc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/ad81728f-8336-58ac-2a67-5965035e2adc,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482019,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,00004,,,,,,,0
退隠料法精義,城所竹次郎,大正6年3月8日 (1917),同文館,222×148,,441,II刊本,4.その他,2,画像なし,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/affc7dfb-7b3d-245e-66c6-9ab05e217563.json,affc7dfb-7b3d-245e-66c6-9ab05e217563,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/affc7dfb-7b3d-245e-66c6-9ab05e217563,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482020,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,00005,,,,,,,0
箕作阮甫,呉 秀三,大正3年5月16日 (1914),大日本図書,222×153,,440,II刊本,4.その他,3,画像なし,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/70db6c0a-3130-67bd-5caf-e9e74bfa6ac2.json,70db6c0a-3130-67bd-5caf-e9e74bfa6ac2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/70db6c0a-3130-67bd-5caf-e9e74bfa6ac2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482021,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,00006,,,,,,,0
伯爵 平田東助伝,加藤房蔵,昭和2年6月10日 (1927),平田伯伝記編纂事務所,227×150,,448,II刊本,4.その他,4,画像なし,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a11c089a-52c7-0d97-8d15-18be23a589b9.json,a11c089a-52c7-0d97-8d15-18be23a589b9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/a11c089a-52c7-0d97-8d15-18be23a589b9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482022,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,00007,,,,,,,0
青山胤通,鵜崎熊吉,昭和5年5月8日 (1930),青山内科同窓会,225×149,,455,II刊本,4.その他,5,画像なし,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/cfc997ce-9c17-a36e-64a2-361ffb951cfb.json,cfc997ce-9c17-a36e-64a2-361ffb951cfb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/cfc997ce-9c17-a36e-64a2-361ffb951cfb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482023,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,00008,,,,,,,0
学制五十年史,,大正11年10月26日 (1922),文部省,222×145,,444,II刊本,4.その他,6,画像なし,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d9d90924-1819-6fb6-a26e-25237f256600.json,d9d90924-1819-6fb6-a26e-25237f256600,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/d9d90924-1819-6fb6-a26e-25237f256600,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482024,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,00009,,,,,,,0
