資料名,資料名ヨミ,資料名（副書名含む）,編著者,出版者,刊行年、書写年等,冊数,請求記号,注記,異なりアクセスタイトル,解説URL,＜日本語＞コレクション名,＜英語＞コレクション名,巻号,Series Alternative,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:transcription,dcterms:alternative,dcterms:creator,dcterms:publisher,dcterms:date,dcterms:extent,dcndl:callNumber,dcterms:description,dcndl:alternative,archiveshub:note,dcndl:seriesTitle,dcndl:seriesTitleTranscription,dcndl:volume,dcndl:seriesAlternative,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,6773
國牛十圖,コクギュウ ジュウズ,國牛十圖,河東牧童甯直麿 [画],,安永7 [1778],1軸,和:7,"写本、巻子本、彩色図版
書名は題簽による
巻末に「安永七年歳次戊戌五月二日摹 左亰 藤貞幹」とあり
巻首に「國牛十圖叙文ノ首闕惜ヘシ又牛圖十アルヘシ今所存九ツ若一圖逸スルカ他日全本ヲ得ルヲ俟 安永七年歳次戊戌五月 藤貞幹」とあり
印記: 「游戯三昧院」,「文珠庵印」",,http://www.lib.a.u-tokyo.ac.jp/tenji/125/04.html,農学生命科学図書館コレクション,"Agri. Library, UTokyo Collection",,"University Library for Agricultural and Life Sciences, the University of Tokyo Collection",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d9115c2c-6c49-1f2b-515e-c67ea4332ab9.json,d9115c2c-6c49-1f2b-515e-c67ea4332ab9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agriculture/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agriculture/document/d9115c2c-6c49-1f2b-515e-c67ea4332ab9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a854fb44d17ab0f9f5bd95a2637c311ae0149a3a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275040,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo",http://iiif.io/api/presentation/2#rightToLeftDirection,,"農学生命科学図書館コレクション|University Library for Agricultural and Life Sciences, the
University of Tokyo Collection",001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d9115c2c-6c49-1f2b-515e-c67ea4332ab9/manifest,,,,,13
東京帝國大學農學部建物位置圖,トウキョウ テイコク ダイガク ノウガクブ タテモノ イチ ズ,東京帝國大學農學部建物位置圖 : 大正十一年四月一日現在,[東京帝國大學農學部],,[大正11(1922)],地図1枚 +付図1枚,和:26,"縮尺: 1:600
書名上部に""東京府荏原郡目黒村、世田谷村豊多摩郡代々幡町、澁谷町""とあり",東京帝国大学農学部建物位置図 : 大正11年4月1日現在,,農学生命科学図書館コレクション,"Agri. Library, UTokyo Collection",,"University Library for Agricultural and Life Sciences, the University of Tokyo Collection",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6d032fb5-0a2f-6e04-9e3c-6bb5f604714f.json,6d032fb5-0a2f-6e04-9e3c-6bb5f604714f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agriculture/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agriculture/document/6d032fb5-0a2f-6e04-9e3c-6bb5f604714f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ce5758680ca575da5f3a2c7c1a4efb30ec0575e9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275041,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo",http://iiif.io/api/presentation/2#rightToLeftDirection,,"農学生命科学図書館コレクション|University Library for Agricultural and Life Sciences, the University of Tokyo Collection",002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6d032fb5-0a2f-6e04-9e3c-6bb5f604714f/manifest,,,,,29
東京帝國大學本部構内及農學部建物鳥瞰圖,トウキョウ テイコク ダイガク ホンブ コウナイ オヨビ ノウガクブ タテモノ チョウカン ズ,東京帝國大學本部構内及農學部建物鳥瞰圖 : 昭和十二年六月卅日現在,[東京帝國大學],,[昭和12(1937)],地図1枚,和:27,"枠外に""東京印刷株式會社印売""とあり",東京帝国大学本部構内及農学部建物鳥瞰図 : 昭和12年6月30日現在,,農学生命科学図書館コレクション,"Agri. Library, UTokyo Collection",,"University Library for Agricultural and Life Sciences, the University of Tokyo Collection",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/187cc82d-11e6-9912-9dd4-b4cca9b10970.json,187cc82d-11e6-9912-9dd4-b4cca9b10970,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agriculture/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agriculture/document/187cc82d-11e6-9912-9dd4-b4cca9b10970,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1ba32e3f0ffc84f504e4cc1d53c7cfe7bc88d7db.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275042,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo",http://iiif.io/api/presentation/2#rightToLeftDirection,,"農学生命科学図書館コレクション|University Library for Agricultural and Life Sciences, the University of Tokyo Collection",003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/187cc82d-11e6-9912-9dd4-b4cca9b10970/manifest,,,,,6
農科大學桑樹見本園各種摺葉譜 一,ノウカ ダイガク ソウジュ ミホンエン カクシュ ショウヨウフ,,佐々木忠次郎 [著],,大正7年(1918)12月序,,630:90:1,,,,農学生命科学図書館コレクション,"Agri. Library, UTokyo Collection",,"University Library for Agricultural and Life Sciences, the University of Tokyo Collection",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3e6f484d-a4e0-7073-4365-b287924d423a.json,3e6f484d-a4e0-7073-4365-b287924d423a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agriculture,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agriculture/document/3e6f484d-a4e0-7073-4365-b287924d423a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/dfb6622529735856cf83a97769bb6837c181d6ff.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/439369,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo",,,"農学生命科学図書館コレクション|University Library for Agricultural and Life Sciences, the University of Tokyo Collection",004,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3e6f484d-a4e0-7073-4365-b287924d423a/manifest,,,,,171
農科大學桑樹見本園各種摺葉譜 二,ノウカ ダイガク ソウジュ ミホンエン カクシュ ショウヨウフ,,佐々木忠次郎 [著],,大正7年(1918)12月序,,630:90:2,,,,農学生命科学図書館コレクション,"Agri. Library, UTokyo Collection",,"University Library for Agricultural and Life Sciences, the University of Tokyo Collection",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f3bfde97-6dfb-3f09-33af-0c615a250268.json,f3bfde97-6dfb-3f09-33af-0c615a250268,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agriculture,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agriculture/document/f3bfde97-6dfb-3f09-33af-0c615a250268,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/32e2196c46703505110c06bdbf92fa9ad8ca481c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/439370,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo",,,"農学生命科学図書館コレクション|University Library for Agricultural and Life Sciences, the University of Tokyo Collection",005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f3bfde97-6dfb-3f09-33af-0c615a250268/manifest,,,,,173
農科大學桑樹見本園各種摺葉譜 三,ノウカ ダイガク ソウジュ ミホンエン カクシュ ショウヨウフ,,佐々木忠次郎 [著],,大正7年(1918)12月序,,630:90:3,,,,農学生命科学図書館コレクション,"Agri. Library, UTokyo Collection",,"University Library for Agricultural and Life Sciences, the University of Tokyo Collection",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a09fc5f4-8edc-0d46-7340-e2768dbf7a05.json,a09fc5f4-8edc-0d46-7340-e2768dbf7a05,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agriculture,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agriculture/document/a09fc5f4-8edc-0d46-7340-e2768dbf7a05,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/67749c791401a4d15b01ec7720cf21569b4c7c67.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/439371,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo",,,"農学生命科学図書館コレクション|University Library for Agricultural and Life Sciences, the University of Tokyo Collection",006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a09fc5f4-8edc-0d46-7340-e2768dbf7a05/manifest,,,,,178
農科大學桑樹見本園各種摺葉譜 四,ノウカ ダイガク ソウジュ ミホンエン カクシュ ショウヨウフ,,佐々木忠次郎 [著],,大正7年(1918)12月序,,630:90:4,,,,農学生命科学図書館コレクション,"Agri. Library, UTokyo Collection",,"University Library for Agricultural and Life Sciences, the University of Tokyo Collection",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9c79a3bb-34da-25bf-4243-4ba1709556a9.json,9c79a3bb-34da-25bf-4243-4ba1709556a9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agriculture,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agriculture/document/9c79a3bb-34da-25bf-4243-4ba1709556a9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a9c54d326cbc953cde434434eb26b6b81614129c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/439372,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo",,,"農学生命科学図書館コレクション|University Library for Agricultural and Life Sciences, the University of Tokyo Collection",007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9c79a3bb-34da-25bf-4243-4ba1709556a9/manifest,,,,,142
農科大學桑樹見本園各種摺葉譜 五,ノウカ ダイガク ソウジュ ミホンエン カクシュ ショウヨウフ,,佐々木忠次郎 [著],,大正7年(1918)12月序,,630:90:5,,,,農学生命科学図書館コレクション,"Agri. Library, UTokyo Collection",,"University Library for Agricultural and Life Sciences, the University of Tokyo Collection",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/58f3ea6c-3626-9cbb-6cf8-33078f6e41bc.json,58f3ea6c-3626-9cbb-6cf8-33078f6e41bc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agriculture,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agriculture/document/58f3ea6c-3626-9cbb-6cf8-33078f6e41bc,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/876c4079f5ebc054fab75c39ed25b18448581072.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/439373,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo",,,"農学生命科学図書館コレクション|University Library for Agricultural and Life Sciences, the University of Tokyo Collection",008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/58f3ea6c-3626-9cbb-6cf8-33078f6e41bc/manifest,,,,,145
葇荑科植物彩色圖 : 楊柳属白楊属,ジュウテイカ ショクブツ サイシキズ : ヨウリュウゾク ハクヨウゾク,,東京山林學校 [写],,[明治期],1冊,613:61,,,,農学生命科学図書館コレクション,"Agri. Library, UTokyo Collection",,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b6e42779-162f-7bae-708c-bef438966890.json,b6e42779-162f-7bae-708c-bef438966890,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agriculture,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agriculture/document/b6e42779-162f-7bae-708c-bef438966890,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/14a8e8afeddd0ab3d4a4fd6cac5685bbab48346a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/540593,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo, JAPAN",,,"農学生命科学図書館コレクション|University Library for Agricultural and Life Sciences, the University of Tokyo Collection",009,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b6e42779-162f-7bae-708c-bef438966890/manifest,,,,,87
