タイトル／Title,タイトル／Title,巻号タイトル／Volume Title,作成者／Creator,公開者／Publisher,出版地・頒布地／Publication Place,出版年/Year,発行日／Issued Data,言語／Language,主題／Subject,所蔵先／Source,請求記号／Call Number,貢献者／Contributor,公開日／Date,概要,Material Type,付加的記載,装訂,請求記号,著作の構成,バージョンの成立時期,著作の時期,大きさ（縦×横）,バージョンの行字数,出所,数量,登録番号,印記,資料化の技法,バージョンの技法,データのタイトル,著作のタイトル,バージョンの成立年,著作の年,バージョンの大きさ（縦×横）,データの識別子,Series Title,状態,外題,バージョンの成立場所,参考文献,バージョンの責任,著作の責任,原簿番号,資料化の時期,資料化の年,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:alternative,dcndl:volumeTitle,dcterms:creator,dcterms:publisher,dcndl:publicationPlace,uterms:year,dcterms:issued,dcterms:language,dcterms:subject,dcterms:source,dcndl:callNumber,dcterms:contributor,dcterms:available,dcterms:description,dcndl:materialType,uparl:additionalDescription,uparl:bibliopegy,uparl:callNumber,uparl:constitutionOfTheWork,uparl:dateOfTheVersion,uparl:dateOfTheWork,uparl:dimensions,uparl:linageOfTheVersion,uparl:provenance,uparl:quantity,uparl:registrationNumber,uparl:seal,uparl:techniqueOfTheMaterialization,uparl:techniqueOfTheVersion,uparl:titleOfTheData,uparl:titleOfTheWork,uparl:yearOfTheVersion,uparl:yearOfTheWork,uparl:dimensionsOfTheVersion,uparl:identifierOfTheData,dcndl:seriesTitle,uparl:condition,uparl:externalTitle,uparl:placeOfTheVersion,uparl:reference,uparl:responsibilityOfTheVersion,uparl:responsibilityOfTheWork,uparl:ledgerNumber,uparl:dateOfTheMaterialization,uparl:yearOfTheMaterialization,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,20214
"忠義水滸全傳 120囘圖1卷,宣和遺事 1卷[IASA_KUR_41973_09]",,,"施耐庵集撰, 羅貫中纂修,李贄評閱,楊定見編",,,,,中国語,,,,,,中国明代末に刊刻された『水滸伝』。,漢籍,"黒筆の書入れあり挿入物あり: 第46囘第6-7葉間
落丁: 第9囘第3葉, 第30囘第1-2葉, 第32囘第21葉以降, 第84囘第1葉.
シミ, 破損, 虫損, カスレ甚だし(一部欠損箇所の補鈔, および貼付による補修・補鈔あり)","線装,四針眼釘法",倉石文庫:41973:1,120回,(中国)明末,明後期,25.2×16.5,毎半葉10行、行22字,"倉石武四郎旧蔵, 東京大学東洋文化研究所倉石文庫藏",32冊,"6403914721,6403914739,6403914747,6403914754,6403914762,6403914770,6403914788,6403914796,6403914804,6403914812,6403914820,6403914838,6403914846,6403914853,6403914861,6403914879,6403914887,6403914895,6403914903,6403914911,6403914929,6403914937,6403914945,6403914952","東洋文化研究所図書,倉石武四郎博士旧蔵",印本,木版,忠義水滸全傳一百二十回 Zhongyi Shuihu quanzhuan 120hui  忠義水滸全伝一百二十回    忠义水浒全传一百二十回,"(巻首題)忠義水滸全傳,(版心題)水滸全傳,(目首題)忠義水滸全傳,(引首首題)新鐫李氏藏本忠義水滸全傳,(発凡首題)出像評點忠義水滸全傳",1628-1644年,1567-1644,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/09873dab-7fef-2908-1166-306148065231.json,09873dab-7fef-2908-1166-306148065231,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/09873dab-7fef-2908-1166-306148065231,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e41e2fff90feb319155245587c5d772ac7c3aa9d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1370830,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,水滸伝コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/09873dab-7fef-2908-1166-306148065231/manifest,,,,,77
"忠義水滸全傳 120囘圖1卷,宣和遺事 1卷[IASA_KUR_41973_10]",,,"施耐庵集撰, 羅貫中纂修,李贄評閱,楊定見編",,,,,中国語,,,,,,中国明代末に刊刻された『水滸伝』。,漢籍,"黒筆の書入れあり挿入物あり: 第46囘第6-7葉間
落丁: 第9囘第3葉, 第30囘第1-2葉, 第32囘第21葉以降, 第84囘第1葉.
シミ, 破損, 虫損, カスレ甚だし(一部欠損箇所の補鈔, および貼付による補修・補鈔あり)","線装,四針眼釘法",倉石文庫:41973:1,120回,(中国)明末,明後期,25.2×16.5,毎半葉10行、行22字,"倉石武四郎旧蔵, 東京大学東洋文化研究所倉石文庫藏",32冊,"6403914721,6403914739,6403914747,6403914754,6403914762,6403914770,6403914788,6403914796,6403914804,6403914812,6403914820,6403914838,6403914846,6403914853,6403914861,6403914879,6403914887,6403914895,6403914903,6403914911,6403914929,6403914937,6403914945,6403914952","東洋文化研究所図書,倉石武四郎博士旧蔵",印本,木版,忠義水滸全傳一百二十回 Zhongyi Shuihu quanzhuan 120hui  忠義水滸全伝一百二十回    忠义水浒全传一百二十回,"(巻首題)忠義水滸全傳,(版心題)水滸全傳,(目首題)忠義水滸全傳,(引首首題)新鐫李氏藏本忠義水滸全傳,(発凡首題)出像評點忠義水滸全傳",1628-1644年,1567-1644,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/86ce245d-5ea0-8e6b-7bbb-2b9280e65135.json,86ce245d-5ea0-8e6b-7bbb-2b9280e65135,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/86ce245d-5ea0-8e6b-7bbb-2b9280e65135,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4a60ef5e35d3db4292b32b3f067d05fcc0388e0d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1370831,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,水滸伝コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/86ce245d-5ea0-8e6b-7bbb-2b9280e65135/manifest,,,,,94
"忠義水滸全傳 120囘圖1卷,宣和遺事 1卷[IASA_KUR_41973_11]",,,"施耐庵集撰, 羅貫中纂修,李贄評閱,楊定見編",,,,,中国語,,,,,,中国明代末に刊刻された『水滸伝』。,漢籍,"黒筆の書入れあり挿入物あり: 第46囘第6-7葉間
落丁: 第9囘第3葉, 第30囘第1-2葉, 第32囘第21葉以降, 第84囘第1葉.
シミ, 破損, 虫損, カスレ甚だし(一部欠損箇所の補鈔, および貼付による補修・補鈔あり)","線装,四針眼釘法",倉石文庫:41973:1,120回,(中国)明末,明後期,25.2×16.5,毎半葉10行、行22字,"倉石武四郎旧蔵, 東京大学東洋文化研究所倉石文庫藏",32冊,"6403914721,6403914739,6403914747,6403914754,6403914762,6403914770,6403914788,6403914796,6403914804,6403914812,6403914820,6403914838,6403914846,6403914853,6403914861,6403914879,6403914887,6403914895,6403914903,6403914911,6403914929,6403914937,6403914945,6403914952","東洋文化研究所図書,倉石武四郎博士旧蔵",印本,木版,忠義水滸全傳一百二十回 Zhongyi Shuihu quanzhuan 120hui  忠義水滸全伝一百二十回    忠义水浒全传一百二十回,"(巻首題)忠義水滸全傳,(版心題)水滸全傳,(目首題)忠義水滸全傳,(引首首題)新鐫李氏藏本忠義水滸全傳,(発凡首題)出像評點忠義水滸全傳",1628-1644年,1567-1644,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/75b11c4e-454f-86ee-4795-08886ee86b16.json,75b11c4e-454f-86ee-4795-08886ee86b16,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/75b11c4e-454f-86ee-4795-08886ee86b16,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1fa5f4d0a70ac2abb63689c8732d83bd8e80f93d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1370832,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,水滸伝コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/75b11c4e-454f-86ee-4795-08886ee86b16/manifest,,,,,93
"忠義水滸全傳 120囘圖1卷,宣和遺事 1卷[IASA_KUR_41973_12]",,,"施耐庵集撰, 羅貫中纂修,李贄評閱,楊定見編",,,,,中国語,,,,,,中国明代末に刊刻された『水滸伝』。,漢籍,"黒筆の書入れあり挿入物あり: 第46囘第6-7葉間
落丁: 第9囘第3葉, 第30囘第1-2葉, 第32囘第21葉以降, 第84囘第1葉.
シミ, 破損, 虫損, カスレ甚だし(一部欠損箇所の補鈔, および貼付による補修・補鈔あり)","線装,四針眼釘法",倉石文庫:41973:1,120回,(中国)明末,明後期,25.2×16.5,毎半葉10行、行22字,"倉石武四郎旧蔵, 東京大学東洋文化研究所倉石文庫藏",32冊,"6403914721,6403914739,6403914747,6403914754,6403914762,6403914770,6403914788,6403914796,6403914804,6403914812,6403914820,6403914838,6403914846,6403914853,6403914861,6403914879,6403914887,6403914895,6403914903,6403914911,6403914929,6403914937,6403914945,6403914952","東洋文化研究所図書,倉石武四郎博士旧蔵",印本,木版,忠義水滸全傳一百二十回 Zhongyi Shuihu quanzhuan 120hui  忠義水滸全伝一百二十回    忠义水浒全传一百二十回,"(巻首題)忠義水滸全傳,(版心題)水滸全傳,(目首題)忠義水滸全傳,(引首首題)新鐫李氏藏本忠義水滸全傳,(発凡首題)出像評點忠義水滸全傳",1628-1644年,1567-1644,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/83400e1a-6e3c-0576-5d0e-5db856b61a01.json,83400e1a-6e3c-0576-5d0e-5db856b61a01,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/83400e1a-6e3c-0576-5d0e-5db856b61a01,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2f25906ab8b44d6c68ad687f74236084abc1d915.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1370833,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,水滸伝コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/83400e1a-6e3c-0576-5d0e-5db856b61a01/manifest,,,,,82
"忠義水滸全傳 120囘圖1卷,宣和遺事 1卷[IASA_KUR_41973_13]",,,"施耐庵集撰, 羅貫中纂修,李贄評閱,楊定見編",,,,,中国語,,,,,,中国明代末に刊刻された『水滸伝』。,漢籍,"黒筆の書入れあり挿入物あり: 第46囘第6-7葉間
落丁: 第9囘第3葉, 第30囘第1-2葉, 第32囘第21葉以降, 第84囘第1葉.
シミ, 破損, 虫損, カスレ甚だし(一部欠損箇所の補鈔, および貼付による補修・補鈔あり)","線装,四針眼釘法",倉石文庫:41973:1,120回,(中国)明末,明後期,25.2×16.5,毎半葉10行、行22字,"倉石武四郎旧蔵, 東京大学東洋文化研究所倉石文庫藏",32冊,"6403914721,6403914739,6403914747,6403914754,6403914762,6403914770,6403914788,6403914796,6403914804,6403914812,6403914820,6403914838,6403914846,6403914853,6403914861,6403914879,6403914887,6403914895,6403914903,6403914911,6403914929,6403914937,6403914945,6403914952","東洋文化研究所図書,倉石武四郎博士旧蔵",印本,木版,忠義水滸全傳一百二十回 Zhongyi Shuihu quanzhuan 120hui  忠義水滸全伝一百二十回    忠义水浒全传一百二十回,"(巻首題)忠義水滸全傳,(版心題)水滸全傳,(目首題)忠義水滸全傳,(引首首題)新鐫李氏藏本忠義水滸全傳,(発凡首題)出像評點忠義水滸全傳",1628-1644年,1567-1644,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a8574505-67dc-2047-5cf3-3b9cf73a8d6f.json,a8574505-67dc-2047-5cf3-3b9cf73a8d6f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/a8574505-67dc-2047-5cf3-3b9cf73a8d6f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b2c927f7b327eae3849b814463619735fa59546c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1370834,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,水滸伝コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a8574505-67dc-2047-5cf3-3b9cf73a8d6f/manifest,,,,,93
"忠義水滸全傳 120囘圖1卷,宣和遺事 1卷[IASA_KUR_41973_14]",,,"施耐庵集撰, 羅貫中纂修,李贄評閱,楊定見編",,,,,中国語,,,,,,中国明代末に刊刻された『水滸伝』。,漢籍,"黒筆の書入れあり挿入物あり: 第46囘第6-7葉間
落丁: 第9囘第3葉, 第30囘第1-2葉, 第32囘第21葉以降, 第84囘第1葉.
シミ, 破損, 虫損, カスレ甚だし(一部欠損箇所の補鈔, および貼付による補修・補鈔あり)","線装,四針眼釘法",倉石文庫:41973:1,120回,(中国)明末,明後期,25.2×16.5,毎半葉10行、行22字,"倉石武四郎旧蔵, 東京大学東洋文化研究所倉石文庫藏",32冊,"6403914721,6403914739,6403914747,6403914754,6403914762,6403914770,6403914788,6403914796,6403914804,6403914812,6403914820,6403914838,6403914846,6403914853,6403914861,6403914879,6403914887,6403914895,6403914903,6403914911,6403914929,6403914937,6403914945,6403914952","東洋文化研究所図書,倉石武四郎博士旧蔵",印本,木版,忠義水滸全傳一百二十回 Zhongyi Shuihu quanzhuan 120hui  忠義水滸全伝一百二十回    忠义水浒全传一百二十回,"(巻首題)忠義水滸全傳,(版心題)水滸全傳,(目首題)忠義水滸全傳,(引首首題)新鐫李氏藏本忠義水滸全傳,(発凡首題)出像評點忠義水滸全傳",1628-1644年,1567-1644,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/53396feb-0737-5932-4576-3dcd8f1f1f14.json,53396feb-0737-5932-4576-3dcd8f1f1f14,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/53396feb-0737-5932-4576-3dcd8f1f1f14,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a99e0aa58d6aac7104dca5e7c374a73d9202b00f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1370835,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,水滸伝コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/53396feb-0737-5932-4576-3dcd8f1f1f14/manifest,,,,,70
"忠義水滸全傳 120囘圖1卷,宣和遺事 1卷[IASA_KUR_41973_15]",,,"施耐庵集撰, 羅貫中纂修,李贄評閱,楊定見編",,,,,中国語,,,,,,中国明代末に刊刻された『水滸伝』。,漢籍,"黒筆の書入れあり挿入物あり: 第46囘第6-7葉間
落丁: 第9囘第3葉, 第30囘第1-2葉, 第32囘第21葉以降, 第84囘第1葉.
シミ, 破損, 虫損, カスレ甚だし(一部欠損箇所の補鈔, および貼付による補修・補鈔あり)","線装,四針眼釘法",倉石文庫:41973:1,120回,(中国)明末,明後期,25.2×16.5,毎半葉10行、行22字,"倉石武四郎旧蔵, 東京大学東洋文化研究所倉石文庫藏",32冊,"6403914721,6403914739,6403914747,6403914754,6403914762,6403914770,6403914788,6403914796,6403914804,6403914812,6403914820,6403914838,6403914846,6403914853,6403914861,6403914879,6403914887,6403914895,6403914903,6403914911,6403914929,6403914937,6403914945,6403914952","東洋文化研究所図書,倉石武四郎博士旧蔵",印本,木版,忠義水滸全傳一百二十回 Zhongyi Shuihu quanzhuan 120hui  忠義水滸全伝一百二十回    忠义水浒全传一百二十回,"(巻首題)忠義水滸全傳,(版心題)水滸全傳,(目首題)忠義水滸全傳,(引首首題)新鐫李氏藏本忠義水滸全傳,(発凡首題)出像評點忠義水滸全傳",1628-1644年,1567-1644,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8c54cd3e-0673-7548-a54c-2913f79c3184.json,8c54cd3e-0673-7548-a54c-2913f79c3184,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/8c54cd3e-0673-7548-a54c-2913f79c3184,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/20f2e8f99517b87cfd3bb02bfef0253ccd4023f7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1370836,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,水滸伝コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8c54cd3e-0673-7548-a54c-2913f79c3184/manifest,,,,,71
"忠義水滸全傳 120囘圖1卷,宣和遺事 1卷[IASA_KUR_41973_16]",,,"施耐庵集撰, 羅貫中纂修,李贄評閱,楊定見編",,,,,中国語,,,,,,中国明代末に刊刻された『水滸伝』。,漢籍,"黒筆の書入れあり挿入物あり: 第46囘第6-7葉間
落丁: 第9囘第3葉, 第30囘第1-2葉, 第32囘第21葉以降, 第84囘第1葉.
シミ, 破損, 虫損, カスレ甚だし(一部欠損箇所の補鈔, および貼付による補修・補鈔あり)","線装,四針眼釘法",倉石文庫:41973:1,120回,(中国)明末,明後期,25.2×16.5,毎半葉10行、行22字,"倉石武四郎旧蔵, 東京大学東洋文化研究所倉石文庫藏",32冊,"6403914721,6403914739,6403914747,6403914754,6403914762,6403914770,6403914788,6403914796,6403914804,6403914812,6403914820,6403914838,6403914846,6403914853,6403914861,6403914879,6403914887,6403914895,6403914903,6403914911,6403914929,6403914937,6403914945,6403914952","東洋文化研究所図書,倉石武四郎博士旧蔵",印本,木版,忠義水滸全傳一百二十回 Zhongyi Shuihu quanzhuan 120hui  忠義水滸全伝一百二十回    忠义水浒全传一百二十回,"(巻首題)忠義水滸全傳,(版心題)水滸全傳,(目首題)忠義水滸全傳,(引首首題)新鐫李氏藏本忠義水滸全傳,(発凡首題)出像評點忠義水滸全傳",1628-1644年,1567-1644,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a58f256f-9cc7-5f09-1baf-26ee20647164.json,a58f256f-9cc7-5f09-1baf-26ee20647164,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/a58f256f-9cc7-5f09-1baf-26ee20647164,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8ca7211300446f7e65d47b5aa632a0ce4a95e966.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1370837,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,水滸伝コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a58f256f-9cc7-5f09-1baf-26ee20647164/manifest,,,,,75
"忠義水滸全傳 120囘圖1卷,宣和遺事 1卷[IASA_KUR_41973_17]",,,"施耐庵集撰, 羅貫中纂修,李贄評閱,楊定見編",,,,,中国語,,,,,,中国明代末に刊刻された『水滸伝』。,漢籍,"黒筆の書入れあり挿入物あり: 第46囘第6-7葉間
落丁: 第9囘第3葉, 第30囘第1-2葉, 第32囘第21葉以降, 第84囘第1葉.
シミ, 破損, 虫損, カスレ甚だし(一部欠損箇所の補鈔, および貼付による補修・補鈔あり)","線装,四針眼釘法",倉石文庫:41973:1,120回,(中国)明末,明後期,25.2×16.5,毎半葉10行、行22字,"倉石武四郎旧蔵, 東京大学東洋文化研究所倉石文庫藏",32冊,"6403914721,6403914739,6403914747,6403914754,6403914762,6403914770,6403914788,6403914796,6403914804,6403914812,6403914820,6403914838,6403914846,6403914853,6403914861,6403914879,6403914887,6403914895,6403914903,6403914911,6403914929,6403914937,6403914945,6403914952","東洋文化研究所図書,倉石武四郎博士旧蔵",印本,木版,忠義水滸全傳一百二十回 Zhongyi Shuihu quanzhuan 120hui  忠義水滸全伝一百二十回    忠义水浒全传一百二十回,"(巻首題)忠義水滸全傳,(版心題)水滸全傳,(目首題)忠義水滸全傳,(引首首題)新鐫李氏藏本忠義水滸全傳,(発凡首題)出像評點忠義水滸全傳",1628-1644年,1567-1644,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/59168f89-8817-17e6-40ed-ecf57cb2381c.json,59168f89-8817-17e6-40ed-ecf57cb2381c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/59168f89-8817-17e6-40ed-ecf57cb2381c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/116ea636e5c803208581fc6bfb5f03d104e242d6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1370838,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,水滸伝コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/59168f89-8817-17e6-40ed-ecf57cb2381c/manifest,,,,,88
