タイトル（ビルマ語）／Title (Burmese),タイトル（パーリ語）／Title (Pali),内容／Content,出版者／Publisher,巻次／Volume,出版年／Year,配架場所／Location,請求記号／Call No.,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:alternative,dcterms:description,dcterms:publisher,dcndl:volume,dcterms:issued,dcndl:location,dcndl:callNumber,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,3323
"Vinaññʿʺ piṭakatʿ, Pārājikaṇʿ Pāḷi toʿ","Vinayapiṭaka, Pārājikapāḷi",#?cv=4|#?cv=10|#?cv=69|#?cv=125|#?cv=128,Ranʿ kunʿ : Haṃ sā va tī Sataṅʿʺ cā puṃ nhipʿ tuikʿ,,1900,インド哲学仏教学研究室/Department of Indian Philosophy and Buddhist Studies,IV:6854,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/50dfb3bd-6b00-9738-2c9c-09b4b0546f76.json,50dfb3bd-6b00-9738-2c9c-09b4b0546f76,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/burmese/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/burmese/document/50dfb3bd-6b00-9738-2c9c-09b4b0546f76,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/15511b839208d5e40845842e0403abbe69371d14.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/739818,"東京大学文学部インド哲学仏教学研究室 Dpt. of Indian Philosophy and Buddhist Studies, The University of Tokyo, JAPAN",,,文学部所蔵ビルマ文字版三蔵及び注釈文献,0001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/50dfb3bd-6b00-9738-2c9c-09b4b0546f76/manifest,,,,,170
"Vinaññʿʺ piṭakatʿ, Pācitʿ Pāḷi toʿ","Vinayapiṭaka, Pācittiyapāḷi",#?cv=3|#?cv=95|#?cv=99|#?cv=111|#?cv=112|#?cv=118|#?cv=130|#?cv=139|#?cv=185|#?cv=186|#?cv=187,Ranʿ kunʿ : Haṃ sā va tī Sataṅʿʺ cā puṃ nhipʿ tuikʿ,,1900,インド哲学仏教学研究室/Department of Indian Philosophy and Buddhist Studies,IV:6855,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7a28e425-94d4-6784-9876-8f95fd2b8a85.json,7a28e425-94d4-6784-9876-8f95fd2b8a85,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/burmese/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/burmese/document/7a28e425-94d4-6784-9876-8f95fd2b8a85,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/91912f31ae60272d2dea6ab0190dcac0ac60df7a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/739817,"東京大学文学部インド哲学仏教学研究室 Dpt. of Indian Philosophy and Buddhist Studies, The University of Tokyo, JAPAN",,,文学部所蔵ビルマ文字版三蔵及び注釈文献,0002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7a28e425-94d4-6784-9876-8f95fd2b8a85/manifest,,,,,190
"Vinaññʿʺ piṭakat, Mahāvā Pāḷi toʿ","Vinayapiṭaka, Mahāvaggapāḷi",#?cv=4|#?cv=64|#?cv=88|#?cv=100|#?cv=120|#?cv=131|#?cv=159|#?cv=169|#?cv=192|#?cv=215,Ranʿ kunʿ : Haṃ sā va tī Sataṅʿʺ cā puṃ nhipʿ tuikʿ,,1900,インド哲学仏教学研究室/Department of Indian Philosophy and Buddhist Studies,IV:6866,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e0e75c4c-187f-5373-a3bc-a511b33030b6.json,e0e75c4c-187f-5373-a3bc-a511b33030b6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/burmese/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/burmese/document/e0e75c4c-187f-5373-a3bc-a511b33030b6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/967c2465bd927b80fabd45d98d0f56723762e05e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/739816,"東京大学文学部インド哲学仏教学研究室 Dpt. of Indian Philosophy and Buddhist Studies, The University of Tokyo, JAPAN",,,文学部所蔵ビルマ文字版三蔵及び注釈文献,0003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e0e75c4c-187f-5373-a3bc-a511b33030b6/manifest,,,,,234
"Vinaññʿʺ piṭakatʿ, Cūḷavā Pāḷi toʿ","Vinayapiṭaka, Cūḷavaggapāḷi",#?cv=3|#?cv=38|#?cv=47|#?cv=83|#?cv=106|#?cv=128|#?cv=148|#?cv=165|#?cv=184|#?cv=195|#?cv=211|#?cv=215,Ranʿ kunʿ : Haṃ sā va tī Sataṅʿʺ cā puṃ nhipʿ tuikʿ,,1900,インド哲学仏教学研究室/Department of Indian Philosophy and Buddhist Studies,IV:6867,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/af85831a-0ea8-04f6-34ac-4edd23897dd7.json,af85831a-0ea8-04f6-34ac-4edd23897dd7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/burmese/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/burmese/document/af85831a-0ea8-04f6-34ac-4edd23897dd7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c81c9edeee14c032329c248691cebdb8f6980267.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/739815,"東京大学文学部インド哲学仏教学研究室 Dpt. of Indian Philosophy and Buddhist Studies, The University of Tokyo, JAPAN",,,文学部所蔵ビルマ文字版三蔵及び注釈文献,0004,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/af85831a-0ea8-04f6-34ac-4edd23897dd7/manifest,,,,,227
"Vinaññʿʺ piṭakatʿ, Parivā Pāḷi toʿ","Vinayapiṭaka, Parivārapāḷi",#?cv=4|#?cv=66|#?cv=68|#?cv=86|#?cv=87|#?cv=104|#?cv=106|#?cv=108|#?cv=114|#?cv=115|#?cv=117|#?cv=118|#?cv=123|#?cv=128|#?cv=148|#?cv=151|#?cv=153|#?cv=155,Ranʿ kunʿ : Haṃ sā va tī Sataṅʿʺ cā puṃ nhipʿ tuikʿ,,1900,インド哲学仏教学研究室/Department of Indian Philosophy and Buddhist Studies,IV:6868,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/26dc5af9-98e0-5908-a64d-04a2090c1abb.json,26dc5af9-98e0-5908-a64d-04a2090c1abb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/burmese/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/burmese/document/26dc5af9-98e0-5908-a64d-04a2090c1abb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7877f4c55511275a7b11d617211bd052863f9802.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/739814,"東京大学文学部インド哲学仏教学研究室 Dpt. of Indian Philosophy and Buddhist Studies, The University of Tokyo, JAPAN",,,文学部所蔵ビルマ文字版三蔵及び注釈文献,0005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/26dc5af9-98e0-5908-a64d-04a2090c1abb/manifest,,,,,163
"Suttanʿ piṭakatʿ, Sīlakkhanʿ Pāḷi toʿ","Suttapiṭaka, Dīghanikāya, Sīlakkhandhavaggapāḷi",#?cv=3|#?cv=21|#?cv=37|#?cv=47|#?cv=53|#?cv=63|#?cv=67|#?cv=67|#?cv=73|#?cv=82|#?cv=90|#?cv=93|#?cv=97,Ranʿ kunʿ : Haṃ sā va tī Sataṅʿʺ cā puṃ nhipʿ tuikʿ,,1900,インド哲学仏教学研究室/Department of Indian Philosophy and Buddhist Studies,IV:6841,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/de59af1e-992f-8b6a-8add-8ee963a3524d.json,de59af1e-992f-8b6a-8add-8ee963a3524d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/burmese/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/burmese/document/de59af1e-992f-8b6a-8add-8ee963a3524d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5120170c8dfbc38d91b21b9b46c4d0ee6d559f53.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/739813,"東京大学文学部インド哲学仏教学研究室 Dpt. of Indian Philosophy and Buddhist Studies, The University of Tokyo, JAPAN",,,文学部所蔵ビルマ文字版三蔵及び注釈文献,0006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/de59af1e-992f-8b6a-8add-8ee963a3524d/manifest,,,,,103
"Suttanʿ piṭakatʿ, Sutʿ Mahāvā Pāḷi toʿ","Suttapiṭaka, Dīghanikāya, Mahāvaggapāḷi",#?cv=2|#?cv=22|#?cv=28|#?cv=62|#?cv=73|#?cv=80|#?cv=90|#?cv=93|#?cv=100|#?cv=108,Ranʿ kunʿ : Haṃ sā va tī Sataṅʿʺ cā puṃ nhipʿ tuikʿ,,1900,インド哲学仏教学研究室/Department of Indian Philosophy and Buddhist Studies,IV:6842,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/039b7317-243f-3654-820f-4f519e6f868c.json,039b7317-243f-3654-820f-4f519e6f868c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/burmese/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/burmese/document/039b7317-243f-3654-820f-4f519e6f868c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f9d2d094274b874b4fca307bd615ada9398ec4c8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/739812,"東京大学文学部インド哲学仏教学研究室 Dpt. of Indian Philosophy and Buddhist Studies, The University of Tokyo, JAPAN",,,文学部所蔵ビルマ文字版三蔵及び注釈文献,0007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/039b7317-243f-3654-820f-4f519e6f868c/manifest,,,,,125
"Suttanʿ piṭakatʿ, Pātheyya Pāḷi toʿ","Suttapiṭaka, Dīghanikāya, Pāthikavaggapāḷi",#?cv=3|#?cv=15|#?cv=23|#?cv=31|#?cv=38|#?cv=44|#?cv=53|#?cv=62|#?cv=66|#?cv=72|#?cv=92,Ranʿ kunʿ : Haṃ sā va tī Sataṅʿʺ cā puṃ nhipʿ tuikʿ,,1900,インド哲学仏教学研究室/Department of Indian Philosophy and Buddhist Studies,IV:6843,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/76b1310c-395f-8d46-1d20-e325e9b20600.json,76b1310c-395f-8d46-1d20-e325e9b20600,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/burmese/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/burmese/document/76b1310c-395f-8d46-1d20-e325e9b20600,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a47fba1a232ec1820629ff4ce63499c7687922c8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/739811,"東京大学文学部インド哲学仏教学研究室 Dpt. of Indian Philosophy and Buddhist Studies, The University of Tokyo, JAPAN",,,文学部所蔵ビルマ文字版三蔵及び注釈文献,0008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/76b1310c-395f-8d46-1d20-e325e9b20600/manifest,,,,,110
"Suttantapiṭaka, Khuddaka-nikāya Catuttha-gantha, Mahāniddesa Pāḷi toʿ","Suttapiṭaka, Khuddakanikāya, Mahāniddesapāḷi",#?cv=5|#?cv=12|#?cv=23|#?cv=29|#?cv=34|#?cv=39|#?cv=45|#?cv=52|#?cv=57|#?cv=65|#?cv=79|#?cv=88|#?cv=93|#?cv=103|#?cv=122|#?cv=136,Ranʿ kunʿ : Jambūʹ Mitʿ Chve Piṭakatʿ Puṃ nhipʿ tuikʿ,,1917,インド哲学仏教学研究室/Department of Indian Philosophy and Buddhist Studies,IV:6852,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/74f4f5ab-3ee1-7757-120b-4a6739f1a335.json,74f4f5ab-3ee1-7757-120b-4a6739f1a335,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/burmese/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/burmese/document/74f4f5ab-3ee1-7757-120b-4a6739f1a335,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f8bee740c3dbb1a31f8d9ec592850f51d707190a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/739810,"東京大学文学部インド哲学仏教学研究室 Dpt. of Indian Philosophy and Buddhist Studies, The University of Tokyo, JAPAN",,,文学部所蔵ビルマ文字版三蔵及び注釈文献,0009,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/74f4f5ab-3ee1-7757-120b-4a6739f1a335/manifest,,,,,163
"Suttantapiṭaka, Khuddaka-nikāya navama-gantha, Milindappañhā Pāḷi toʿ","Suttapiṭaka, Khuddakanikāya, Milindapañhapāḷi",,Ranʿ kunʿ : Jambūʹ Mitʿ Chve Piṭakatʿ Puṃ nhipʿ tuikʿ,,1917,インド哲学仏教学研究室/Department of Indian Philosophy and Buddhist Studies,IV:6853,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d92a183a-78fc-2263-23f3-dbf0b15f8d00.json,d92a183a-78fc-2263-23f3-dbf0b15f8d00,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/burmese/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/burmese/document/d92a183a-78fc-2263-23f3-dbf0b15f8d00,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9f5a7d487d2546174fec5f395a825b2bc199e5ed.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/739809,"東京大学文学部インド哲学仏教学研究室 Dpt. of Indian Philosophy and Buddhist Studies, The University of Tokyo, JAPAN",,,文学部所蔵ビルマ文字版三蔵及び注釈文献,0010,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d92a183a-78fc-2263-23f3-dbf0b15f8d00/manifest,,,,,155
"Abhidhammā piṭakatʿ, Dhammasaṅgaṇī Pāḷi toʿ","Abhidhammapiṭaka, Dhammasaṅgaṇīpāḷi",#?cv=3|#?cv=6|#?cv=58|#?cv=80|#?cv=104,Ranʿ kunʿ : Haṃ sā va tī Sa taṅʿʺ cā Puṃ nhipʿ tuikʿ,,1900,インド哲学仏教学研究室/Department of Indian Philosophy and Buddhist Studies,IV:6877,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/055dfea0-0e80-809d-77e7-bf116c24a1d9.json,055dfea0-0e80-809d-77e7-bf116c24a1d9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/burmese/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/burmese/document/055dfea0-0e80-809d-77e7-bf116c24a1d9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/73d7870453b557a7bd4f8e2d6de97168ad4b6656.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/739808,"東京大学文学部インド哲学仏教学研究室 Dpt. of Indian Philosophy and Buddhist Studies, The University of Tokyo, JAPAN",,,文学部所蔵ビルマ文字版三蔵及び注釈文献,0011,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/055dfea0-0e80-809d-77e7-bf116c24a1d9/manifest,,,,,119
