タイトル/Title,ポスター番号/No. of Poster,タイトル（日本語訳）/TItle (Japanese),作成者/Creator,作成主体/Publisher,制作年/Date Issued,縦×横（mm）/Extent,主題/Subject,内容記述・解説/Description,備考（ポスターにある記号等）/Note,提供部局名/Holding Department,種別/Material Type,言語/Language,連番,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcterms:identifier,dcterms:alternative,dcterms:creator,dcterms:publisher,dcterms:issued,dcterms:extent,dcterms:subject,dcterms:description,archiveshub:note,dcndl:holdingAgent,dcndl:materialType,dcterms:language,uterms:sort,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,90
Keep 'em flying,1,アメリカ軍機を飛ばし続けよう,,"Recruiting Publicity Bureau (RPB, 陸軍徴兵広報局)",1940,963×636,Army,"Keep 'em flying / The U.S. Army offers, without expense to you, the best aviation training in the world. This instruction prepares you for a professional career, either civilian or military. You will earn as you learn. The Flying Cadet receives $75 a month, plus uniforms, equipment, board and lodging. Upon graduation, he is commissioned a Second Lieutenant in the U. S. Army Air Reserve, and placed on active duty with the Regular Army Air Corps with pay ranging from $205.50 to $245.50 per month. / How to qualify? You must be between 20 and 27 years of age, unmarried, sound physically. You must have completed two years of colleges, or pass a written examination covering equivalent work. / U. S. Army Recruiting Service|航空兵募集広告。戦闘機と若い飛行兵の一群がコラージュされている。アメリカ合州国空軍は、1947年9月に独立の存在となるまで、陸・海軍いずれかに属していた。このポスターでは陸軍航空兵となるための条件、待遇が詳しく述べられている。",P.28-RPB-12.11.40-25M,アメリカ太平洋地域研究センター,静止画資料,英語,0001,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/62f02f10-4d06-2b30-7471-839605a48632.json,62f02f10-4d06-2b30-7471-839605a48632,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/62f02f10-4d06-2b30-7471-839605a48632,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c1969d2198b7b4d653251472b3b1fba9f7c2da60.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654524,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/62f02f10-4d06-2b30-7471-839605a48632/manifest,,,,,1
Your country needs you now!,2,今、祖国はあなたを求めている,,U.S. Army Recruiting Service (陸軍徴兵局),1941,964×636,Army,"Your country needs you now!  / Enlist today / Your Regular Army is calling for volunteers! / Men between 18 and 35 are needed for all of the Arms and Services. / The Air Force wants thousands of young men immediately. Training schools are ready now for large numbers of Air Mechanics, Aerial Photographers and other specialists. / Aviation Cadets / Many thousands of aviation cadets, 20 to 26 years of age, inclusive, are needed to become flying officers as bombardiers, navigators and pilots. You can help in building the world’s most powerful Air Force, and in the necessary expansion of the Regular Army. / Action is needed now! / Your country has decided. The treacherous attack on America has aroused the United States as nothing else could. / Your Army is ready. Call at the nearest Army Recruiting Station for advice. You will be given full information on how you can serve your country best—how you can defend that freedom which is your birthright. / “Let’s go! U.S.A. Keep ’em Flying! / U. S. Army Recruiting Service|陸軍の正規軍と共に、航空部隊(Air Force)航空士官候補生の募集が行われている。アメリカ空軍は、1947年9月に独立の存在となるまで、陸・海軍いずれかに属していた。中央に配されたマークの「はばたけ若者たちよ!(Keep Flying)」(Harold Gilbart作)は航空部隊のスローガンとなった。このポスターでは生得の権利である自由を守るための戦いをうたっている。",,アメリカ太平洋地域研究センター,静止画資料,英語,0002,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/83b9e2dc-9b3a-2f2d-4806-5eabdb8459a7.json,83b9e2dc-9b3a-2f2d-4806-5eabdb8459a7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/83b9e2dc-9b3a-2f2d-4806-5eabdb8459a7,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/311cebbff2f587340f5fb51b76b8e66370714523.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654523,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/83b9e2dc-9b3a-2f2d-4806-5eabdb8459a7/manifest,,,,,1
Men of 18 and 19. Now you can choose your branch of service,3,18歳、19歳の青年諸君、どの軍に加わるか今こそ選択の時だ,,U.S. Army (陸軍),,972×635,Army,Men of 18 and 19 / Now you can choose your branch of service / Apply at the nearest U.S. Army Recruiting and Induction Station / Corps of Engineers. Medical Department. Quartermaster Corps. Ordnance Department. Infantry. Field Artillery. Armored Force. Cavalry. Signal Corps. Air Forces. Corps of Military Police. Chemical Warfare Service. Coast Artillery Corps (Antiaircraft. Harbor Defense),P-46-RPB-10-17-42-50M,アメリカ太平洋地域研究センター,静止画資料,英語,0003,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/54e505b2-93a4-3e8a-a43b-3996fce003c9.json,54e505b2-93a4-3e8a-a43b-3996fce003c9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/54e505b2-93a4-3e8a-a43b-3996fce003c9,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/66194377f66558e1baa9d6ce79ba17b16950fde9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654522,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/54e505b2-93a4-3e8a-a43b-3996fce003c9/manifest,,,,,1
Take your place in the ranks,4,隊列に参加せよ,,"Recruiting Publicity Bureau (RPB, 陸軍徴兵広報局)",1942,972×639,Army,"Take your place in the ranks / Make your work tools fighting tools. The Army needs many skilled craftsmen now for the Signal Corps, the Ordnance Department, and the Air Forces / U.S. Army Recruiting and Induction Service|熟練工の募集広告。",P-42-RPB-9.24.42 10M,アメリカ太平洋地域研究センター,静止画資料,英語,0004,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7bfc2e5c-72d8-4ccc-9533-4e3a620639f9.json,7bfc2e5c-72d8-4ccc-9533-4e3a620639f9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/7bfc2e5c-72d8-4ccc-9533-4e3a620639f9,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/45d8c413ceb19e7419ca8cca84656ceb65df243d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654521,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7bfc2e5c-72d8-4ccc-9533-4e3a620639f9/manifest,,,,,1
Construction workers! Now you can volunteer for service in the Army or Navy,5,建設労働者求む!陸軍・海軍への従事者募集中,,"Recruiting Publicity Bureau (RPB, 陸軍徴兵広報局)",1943,966×639,"Navy,  Seabees, Army, Engineers","Construction Workers! Now you can volunteer for service in the Army or Navy / By voluntary induction, men 18 to 38 (for Army or Navy) / By voluntary enlistment, men of 17 and 38 to 50 (men of 17 for Navy only) / Use your trade skill to fight with the Navy Seabees Army Engineers / Apply at any Army or Navy Recruiting Station|建設工に対し、陸軍及び海軍の工兵大隊(Construction Battalion)への応募を呼びかけている。なおSeabeeは工兵大隊の略称CBから来た語で、1941年海軍において民間土木義勇隊として組織された。Dan V. Smithのサイン入り。",P.59-RPB-3-30-43-35M,アメリカ太平洋地域研究センター,静止画資料,英語,0005,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d52ed117-975a-348a-8fb9-1f45bf462995.json,d52ed117-975a-348a-8fb9-1f45bf462995,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/d52ed117-975a-348a-8fb9-1f45bf462995,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ada2139f33edf3f65bfb2b1b080abb7b69981528.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654520,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d52ed117-975a-348a-8fb9-1f45bf462995/manifest,,,,,1
Construction workers can volunteer now for service in Army or Navy,6,陸軍及び海軍への従事を希望する建設労働者はいるか,,"Recruiting Publicity Bureau (RPB, 陸軍徴兵広報局)",1943,936×638,"Navy,  Seabees, Army, Engineers","Construction Workers can volunteer now for service in Army or Navy / By voluntary induction, men 18 to 38 (for Army or Navy) / By voluntary enlistment, men of 17 and 38 to 50 (men of 17 for Navy only) / Fight and work with Navy Seabees, Army Engineers / Apply at any Army or Navy Recruiting Station",P-61-RPB-4.5.43-35M,アメリカ太平洋地域研究センター,静止画資料,英語,0006,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7f747123-9ea4-727f-3bb4-e079cd8c6fc9.json,7f747123-9ea4-727f-3bb4-e079cd8c6fc9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/7f747123-9ea4-727f-3bb4-e079cd8c6fc9,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b2002b90a680354547749f9256ef723cf890b1e8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654519,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7f747123-9ea4-727f-3bb4-e079cd8c6fc9/manifest,,,,,1
Just a minute—! I may have something for you!,7,ちょっと待って...!君にいいものがあるんだ!,,"Personal Services Division, Information and Education Branch (人的サービス部門情報教育局)",1945,711×510,Education,Just a minute - ! I may have something for you! / Do you know that you have most likely earned credits toward a high school diploma or college degree through your regular military training? / Ask your information and education officer for the new USAFI Form No. 47|第二次世界大戦の終結直前、平時への移行の準備として作成されたポスター。兵隊に対し、復員した際は兵役の代償として高等教育の恩典が受けられた。眼鏡をかけた若い兵士に「ちょっと待って」と肩を叩いているのは、合衆国政府を擬人化した「アンクル・サム」である。Lt. D. B. のサインがみられる。,P-X-83-PRB-7.20.45-1M,アメリカ太平洋地域研究センター,静止画資料,英語,0007,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7135d085-9b2e-9fb4-1b52-67c014c35a25.json,7135d085-9b2e-9fb4-1b52-67c014c35a25,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/7135d085-9b2e-9fb4-1b52-67c014c35a25,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2f6f3010a650826b4e2712ca2ea43c798db3c720.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654518,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7135d085-9b2e-9fb4-1b52-67c014c35a25/manifest,,,,,1
Teamed . . . for defense,8,祖国防衛のために一致団結,,,,963×635,"Army, Navy, Air Force, Marine","Teamed . . . for defense. Armed Forces Day, May 20",PX-169-RPB-5-1-50-150M,アメリカ太平洋地域研究センター,静止画資料,英語,0008,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/41268ade-8308-0c61-45d8-105c1c5e6ae9.json,41268ade-8308-0c61-45d8-105c1c5e6ae9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/41268ade-8308-0c61-45d8-105c1c5e6ae9,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8f4030c357f82199b2dab08c005375231149f4d6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654517,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/41268ade-8308-0c61-45d8-105c1c5e6ae9/manifest,,,,,1
Let's hit 'em with everything we've got!,9,奴らを全身全霊をもって叩き潰そう,"Barclay, McClelland",,1942,1031×710,Navy,Let's hit 'em with everything we've got! / Don't wait—Choose the Navy,Order No. 1 Lutz and Sheinkman-33249-8-25-42-125M,アメリカ太平洋地域研究センター,静止画資料,英語,0009,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/14c743a0-530f-9521-8c29-3e2c2e4f64bf.json,14c743a0-530f-9521-8c29-3e2c2e4f64bf,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/14c743a0-530f-9521-8c29-3e2c2e4f64bf,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/db5167443ed3c6d4c70de9470b1041ec77aa83b7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654516,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/14c743a0-530f-9521-8c29-3e2c2e4f64bf/manifest,,,,,1
