タイトル,フォルダ番号-フォルダ枝番,フォルダ名,形態,言語,内容記述,備考,年月日(和暦),年月日(西暦),マイクロリール番号,マイクロ画像番号,種別,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,archiveshub:folder,archiveshub:forename,dcterms:format,dcterms:language,dcterms:description,archiveshub:note,dcterms:date,dcterms:created,dcndl:sourceIdentifier,dcterms:identifier,dcndl:materialType,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,13634
「米国東洋政策」,1,「米国東洋政策」原稿(東亜研究所),原稿|手書き,日本語,,,,,1,0005-0389,図書,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5a1fe7f0-7d37-84b1-4e1f-22d3e7c8a274.json,5a1fe7f0-7d37-84b1-4e1f-22d3e7c8a274,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-takagi/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-takagi/document/5a1fe7f0-7d37-84b1-4e1f-22d3e7c8a274,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo2.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c2cda858103c8a8ea4885c03b54d5e9ee21eb848.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/710857,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,CPAS高木八尺デジタルアーカイブ,0001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5a1fe7f0-7d37-84b1-4e1f-22d3e7c8a274/manifest,,,,,383
「対米問題に就て」,14-[1],1924 Immigration,原稿|手書き,日本語,「米国新移民法ニ就テ」,「於電気倶楽部7月23日」,,[1924],3,0151-0176,図書,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d183351f-9bea-84b3-19d4-0fa73e708e01.json,d183351f-9bea-84b3-19d4-0fa73e708e01,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-takagi/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-takagi/document/d183351f-9bea-84b3-19d4-0fa73e708e01,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo2.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/403e18d99aa8e83e15b7dd0cd5a0b035d6996c53.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/710856,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,CPAS高木八尺デジタルアーカイブ,0002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d183351f-9bea-84b3-19d4-0fa73e708e01/manifest,,,,,26
「米国新移民法ニ就テ」,14-[2],1924 Immigration,原稿|手書き,日本語,,講演草稿,,,3,0182-0246,図書,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b1c2d791-95b3-339f-8c4f-061ce7d1062a.json,b1c2d791-95b3-339f-8c4f-061ce7d1062a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-takagi/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-takagi/document/b1c2d791-95b3-339f-8c4f-061ce7d1062a,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo2.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8c05c4e71d6bcae5acbd0b8cf1ec8b63f8ee9411.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/710855,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,CPAS高木八尺デジタルアーカイブ,0003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b1c2d791-95b3-339f-8c4f-061ce7d1062a/manifest,,,,,65
「日本最近の対支政策」,90-[1],China relations & [the] Soviet [Union],原稿|手書き,日本語,,,,,6,0389-0401,図書,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c888c894-0ce9-11d9-709c-077b554e79cc.json,c888c894-0ce9-11d9-709c-077b554e79cc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-takagi/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-takagi/document/c888c894-0ce9-11d9-709c-077b554e79cc,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo2.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e48ddb0ca231b1087678f1a71f2ac5e0e61d35df.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/710854,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,CPAS高木八尺デジタルアーカイブ,0004,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c888c894-0ce9-11d9-709c-077b554e79cc/manifest,,,,,13
“Japan’s Recent China Policy.”,90-[2],China relations & [the] Soviet [Union],原稿|タイプ,英語,,手書き書き込みあり,,,6,0402-0411,図書,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/df70a0a9-59c4-5442-3c6e-8b88ad1879f4.json,df70a0a9-59c4-5442-3c6e-8b88ad1879f4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-takagi/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-takagi/document/df70a0a9-59c4-5442-3c6e-8b88ad1879f4,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo2.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/dc6c06fd453e5009b3265845e7821ee7ceda7e91.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/710853,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS高木八尺デジタルアーカイブ,0005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/df70a0a9-59c4-5442-3c6e-8b88ad1879f4/manifest,,,,,10
「満洲問題と米国膨張史の回顧 - 自治外交に対する自由主義的一所望」,106,"Manchoukuo , + Asia 改造",原稿|手書き,日本語,,[『改造』1932年9月号発表原稿?],,[1932],8,0113-0152,図書,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b0cb4891-6dd8-45be-1cfd-9f571a732023.json,b0cb4891-6dd8-45be-1cfd-9f571a732023,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-takagi/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-takagi/document/b0cb4891-6dd8-45be-1cfd-9f571a732023,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo2.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6f7885e5dd442f221b7ddec4e733403fb9600023.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/710852,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,CPAS高木八尺デジタルアーカイブ,0006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b0cb4891-6dd8-45be-1cfd-9f571a732023/manifest,,,,,41
[中南米人口、面積等の表],110-[1],[移民問題研究会、中南米],メモ|手書き,英語,,,,,9,0107,図書,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1502d3e8-7210-839b-080c-2245a3fba1d7.json,1502d3e8-7210-839b-080c-2245a3fba1d7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-takagi/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-takagi/document/1502d3e8-7210-839b-080c-2245a3fba1d7,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo2.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7194a591d6b704cc8a0ad630e48eb15a5f1530b4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/710851,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS高木八尺デジタルアーカイブ,0007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1502d3e8-7210-839b-080c-2245a3fba1d7/manifest,,,,,1
“AGE OF DISCOVERY (1340-1600)”,110-[2],[移民問題研究会、中南米],メモ|手書き,英語,,,,[193-],9,0114-0147,図書,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2d6d8520-964d-26b0-4650-0350a0081e16.json,2d6d8520-964d-26b0-4650-0350a0081e16,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-takagi/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-takagi/document/2d6d8520-964d-26b0-4650-0350a0081e16,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo2.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9f726b7923ca7178ef206ea09512757c1a7c311d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/710850,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS高木八尺デジタルアーカイブ,0008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2d6d8520-964d-26b0-4650-0350a0081e16/manifest,,,,,34
「日米関係」,120,日米関係,原稿|手書き,日本語,,欄外に 「日米問題」現代の政治 pp296-347 と記載あり,,,10,0263-0276,図書,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8d928df9-186a-2612-627e-266d66547347.json,8d928df9-186a-2612-627e-266d66547347,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-takagi/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-takagi/document/8d928df9-186a-2612-627e-266d66547347,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo2.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/515dbaa60bf27ca26e549eb1aa31dc3ce6cbc20e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/710849,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,CPAS高木八尺デジタルアーカイブ,0009,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8d928df9-186a-2612-627e-266d66547347/manifest,,,,,14
「米国政治史 大正十五年度」,123,アメリカ史,メモ|手書き,日本語,,大正15年度ヘボン講座「米国政治史」の講義草案、メモ,,[1926],11,0173-0208,図書,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f7549f61-0def-2bc5-9cc0-2e57b1b070c3.json,f7549f61-0def-2bc5-9cc0-2e57b1b070c3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-takagi/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-takagi/document/f7549f61-0def-2bc5-9cc0-2e57b1b070c3,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo2.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5274d6888d8182be81536d30bf1c83cbc9be14e7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/710848,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,CPAS高木八尺デジタルアーカイブ,0010,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f7549f61-0def-2bc5-9cc0-2e57b1b070c3/manifest,,,,,36
「事態収拾ニ関スル私見」,190-[1],日中戦争,メモ|手書き,英語,,,,[1937],14,0337-0345,図書,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8a3c6b2f-6827-9acd-4a06-1227e02061f8.json,8a3c6b2f-6827-9acd-4a06-1227e02061f8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-takagi/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-takagi/document/8a3c6b2f-6827-9acd-4a06-1227e02061f8,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo2.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8a7d814813a7bac976c7a7271496b221e6e62430.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/710847,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS高木八尺デジタルアーカイブ,0011,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8a3c6b2f-6827-9acd-4a06-1227e02061f8/manifest,,,,,9
