タイトル,書名よみ,出版,形態,他の書名,注記,分類,原本請求記号,編著者等,出版年（西暦）,サムネイル,マニフェストURI,ソート用,コレクション名,ID,所蔵,アイテムURL,サイトURL,利用条件,機械可読データ,viewingDirection,年,uterms:roman
女四書 / 辻原元甫著,オンナ シショ,大坂 : 加賀屋彌兵衛 ; 文政10,7巻4冊(119丁) ; 26cm,女四書||ジョシショ,"成立年: 明暦2刊. 備考: 女孝経2巻, 女論語2巻, 内訓2巻, 女誡1巻",教訓,P743,辻原元甫著,1827,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/8844536fc53bf78965edb13f03cd7ab1ec014e3c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91529/manifest,1,富士川文庫,d4406f27-c2aa-4a3c-bd54-a77fdf7740e0,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/d4406f27-c2aa-4a3c-bd54-a77fdf7740e0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91529,http://iiif.io/api/presentation/2#rightToLeftDirection,,onna shisho
二十四孝諺解,ニジュウシコウ ゲンカイ,大坂 : 河内屋茂兵衛 ; 貞享3,1冊(25丁) ; 26cm,,成立年: 貞享3. 備考: 書名は題箋による,教訓,P752,,1686,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/47f71c92b710cbbb0e5bab23d4f787c6314f6ad8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91537/manifest,10,富士川文庫,d8a1b831-ae23-409f-be8c-90dd1be07032,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/d8a1b831-ae23-409f-be8c-90dd1be07032,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91537,http://iiif.io/api/presentation/2#rightToLeftDirection,,nijushiko genkai
世話千字文講釋 / 山崎久作著,セワ センジモン コウシャク,江戸 : 英文蔵 ; 弘化2,1冊(36丁) ; 18cm,,,往来物,P842,山崎久作著,1845,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/dcde1fc548c290a86195b589bc9f74cf6cb29402.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91625/manifest,100,富士川文庫,75c940c3-3666-4cc7-8d43-d28bf211de6d,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/75c940c3-3666-4cc7-8d43-d28bf211de6d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91625,http://iiif.io/api/presentation/2#rightToLeftDirection,,sewa senjimon koshaku
三字經 / 鷦鷯斎春水撰著 ; 葛飾為斎画工,サンジキョウ,東都 : 吉田屋文三郎 ; 嘉永6,1冊(43丁) ; 18cm,三字經繪抄,,教育,P843,鷦鷯斎春水撰著 ; 葛飾為斎画工,1853,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/4b5b1be490ed69d8f71a46d46ec7438aea5b320f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91626/manifest,101,富士川文庫,474c385e-8f53-43c5-ab71-f755e7cc610f,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/474c385e-8f53-43c5-ab71-f755e7cc610f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91626,http://iiif.io/api/presentation/2#rightToLeftDirection,,sanjikyo
日用重寶万文字盡,ニチヨウ チョウホウ ヨロズ モンジヅクシ,東都 : 山口屋藤兵衛 ; [出版年不明],1冊(23丁) ; 18cm,子供節用集分類早見字尽,成立年: 文化3. 備考: ※「節用集」の項目チェック,辞書,P844,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/02be3f4e74e615da38bcc848033f815ec3adcd0e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91627/manifest,102,富士川文庫,4423d04f-cdd2-4540-8cfc-2bde330a7f38,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/4423d04f-cdd2-4540-8cfc-2bde330a7f38,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91627,http://iiif.io/api/presentation/2#rightToLeftDirection,,nichiyo choho yorozu monjizukushi
百人一首女訓抄 / 山田常典校,ヒャクニン イッシュ ジョクンショウ,東都 : 本屋又助 ; 嘉永2 再刻,1冊(51丁) ; 18cm,,成立年: 嘉永元序,和歌注釈,P845,山田常典校,1849再刻,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/cadac644010b92c313b36dcbe4dcf1f4140e8f97.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91628/manifest,103,富士川文庫,92d3b69c-6fcf-4cbf-abed-116209d1c0f7,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/92d3b69c-6fcf-4cbf-abed-116209d1c0f7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91628,http://iiif.io/api/presentation/2#rightToLeftDirection,,hyakunin isshu jokunsho
"列女百人一首 / 緑亭川柳編 ; 葛飾卍老人, 一陽斎豊国畫",レツジョ ヒャクニン イッシュ,東都 : 山口屋藤兵衛 ; 弘化4,1冊(60丁) ; 18cm,,成立年: 弘化4,和歌,P846,"緑亭川柳編 ; 葛飾卍老人, 一陽斎豊国畫",1847,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/21f16632b12e64c5c5e0b5752569ef8c55d9fae1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91629/manifest,104,富士川文庫,01ceef32-a7ae-4ab1-b90a-dd371512c661,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/01ceef32-a7ae-4ab1-b90a-dd371512c661,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91629,http://iiif.io/api/presentation/2#rightToLeftDirection,,retsujo hyakunin isshu
和漢百人一首 / 賞月堂主人著 ; 玉蘭斎貞秀畫,ワカン ヒャクニン イッシュ,江戸 : 山口屋藤兵衛 ; 安政4序,"1冊(9, 50丁) ; 18cm",和漢百首,成立年: 安政4序. 備考: 15頁落丁?,和歌,P847,賞月堂主人著 ; 玉蘭斎貞秀畫,1857序,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/c1f257046a5d57406fad9104d6b4650bd9c1eee3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91630/manifest,105,富士川文庫,e63ec830-d0cd-4b74-8972-7c1b30c6c7c7,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/e63ec830-d0cd-4b74-8972-7c1b30c6c7c7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91630,http://iiif.io/api/presentation/2#rightToLeftDirection,,wakan hyakunin isshu
秀雅百人一首 / 緑亭川柳輯,シュウガ ヒャクニン イッシュ,東都 : 山口屋藤兵衛 ; 弘化5,"1冊(5, 50丁) ; 19cm",,成立年: 弘化5. 備考: 書名は序による,和歌,P848,緑亭川柳輯,1848,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/07d9035300b310548fdd6f4a81f8e6bc6545b83f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91631/manifest,106,富士川文庫,d93845cf-6325-4f4c-a1de-c283d668eef1,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/d93845cf-6325-4f4c-a1de-c283d668eef1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91631,http://iiif.io/api/presentation/2#rightToLeftDirection,,shuga hyakunin isshu
義烈百人一首 ;  古實軍功記 ;  天禄太平記 / 緑亭川柳[輯] ; 葛飾北斎[等畫],ギレツ ヒャクニン イッシュ ; コジツ グンコウキ ; テンロク タイヘイキ,東都 : 錦耕堂山口屋藤兵衛 ; 嘉永3序,1冊(140丁) ; 18cm,,成立年: 嘉永3,,P849,緑亭川柳[輯] ; 葛飾北斎[等畫],1850序,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/87a9db40bb940a4e1b23098ce5493e8ff8d19316.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91632/manifest,107,富士川文庫,300e08b4-5b9f-4b12-bce9-81ff4e1df482,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/300e08b4-5b9f-4b12-bce9-81ff4e1df482,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91632,http://iiif.io/api/presentation/2#rightToLeftDirection,,giretsu hyakunin isshu ; kojitsu gunkoki ; tenroku taiheiki
