タイトル	書名よみ	出版	形態	他の書名	注記	分類	原本請求記号	編著者等	出版年（西暦）	ローマ字タイトル	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
dcterms:title	dcndl:titleTranscription	dcterms:publisher	dcterms:extent	dcndl:alternative	dcterms:description	dcterms:subject	dcndl:callNumber	dcterms:creator	dcterms:date	uterms:roman	iiif viewer	bibo:identifier	dcterms:isPartOf	dcterms:relation	dcterms:rights	foaf:thumbnail	rdfs:seeAlso	sc:attributionLabel	sc:viewingDirection	sc:viewingHint	uterms:databaseLabel	uterms:sort	uterms:year	uterms:manifestUri	uterms:searchApiUri	uterms:annotedManifest	uterms:linkToTapas	uterms:rtf	7584
女四書 / 辻原元甫著	オンナ シショ	大坂 : 加賀屋彌兵衛 ; 文政10	7巻4冊(119丁) ; 26cm	女四書||ジョシショ	成立年: 明暦2刊. 備考: 女孝経2巻, 女論語2巻, 内訓2巻, 女誡1巻	教訓	P743	辻原元甫著	1827	onna shisho	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d4406f27-c2aa-4a3c-bd54-a77fdf7740e0.json	d4406f27-c2aa-4a3c-bd54-a77fdf7740e0	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/d4406f27-c2aa-4a3c-bd54-a77fdf7740e0	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fbb667743afbae700d6614c10be64dbc48c3b633.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91529	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	1		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d4406f27-c2aa-4a3c-bd54-a77fdf7740e0/manifest					197
二十四孝諺解	ニジュウシコウ ゲンカイ	大坂 : 河内屋茂兵衛 ; 貞享3	1冊(25丁) ; 26cm		成立年: 貞享3. 備考: 書名は題箋による	教訓	P752		1686	nijushiko genkai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d8a1b831-ae23-409f-be8c-90dd1be07032.json	d8a1b831-ae23-409f-be8c-90dd1be07032	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/d8a1b831-ae23-409f-be8c-90dd1be07032	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/99d00e350a13ca1195b5f4ba1d4f1811df9fbdf8.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91537	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	10		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d8a1b831-ae23-409f-be8c-90dd1be07032/manifest					28
世話千字文講釋 / 山崎久作著	セワ センジモン コウシャク	江戸 : 英文蔵 ; 弘化2	1冊(36丁) ; 18cm			往来物	P842	山崎久作著	1845	sewa senjimon koshaku	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/75c940c3-3666-4cc7-8d43-d28bf211de6d.json	75c940c3-3666-4cc7-8d43-d28bf211de6d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/75c940c3-3666-4cc7-8d43-d28bf211de6d	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5e9ea58939c0507d81f517e2809e588b69c17f61.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91625	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	100		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/75c940c3-3666-4cc7-8d43-d28bf211de6d/manifest					39
三字經 / 鷦鷯斎春水撰著 ; 葛飾為斎画工	サンジキョウ	東都 : 吉田屋文三郎 ; 嘉永6	1冊(43丁) ; 18cm	三字經繪抄		教育	P843	鷦鷯斎春水撰著 ; 葛飾為斎画工	1853	sanjikyo	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/474c385e-8f53-43c5-ab71-f755e7cc610f.json	474c385e-8f53-43c5-ab71-f755e7cc610f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/474c385e-8f53-43c5-ab71-f755e7cc610f	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/252909146ae51e221c5198ae1a1429aa94edcbd6.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91626	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	101		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/474c385e-8f53-43c5-ab71-f755e7cc610f/manifest					46
日用重寶万文字盡	ニチヨウ チョウホウ ヨロズ モンジヅクシ	東都 : 山口屋藤兵衛 ; [出版年不明]	1冊(23丁) ; 18cm	子供節用集分類早見字尽	成立年: 文化3. 備考: ※「節用集」の項目チェック	辞書	P844			nichiyo choho yorozu monjizukushi	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4423d04f-cdd2-4540-8cfc-2bde330a7f38.json	4423d04f-cdd2-4540-8cfc-2bde330a7f38	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/4423d04f-cdd2-4540-8cfc-2bde330a7f38	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e21c1e7414baa9b2dca840dc8122db49975a4202.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91627	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	102		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4423d04f-cdd2-4540-8cfc-2bde330a7f38/manifest					26
百人一首女訓抄 / 山田常典校	ヒャクニン イッシュ ジョクンショウ	東都 : 本屋又助 ; 嘉永2 再刻	1冊(51丁) ; 18cm		成立年: 嘉永元序	和歌注釈	P845	山田常典校	1849再刻	hyakunin isshu jokunsho	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/92d3b69c-6fcf-4cbf-abed-116209d1c0f7.json	92d3b69c-6fcf-4cbf-abed-116209d1c0f7	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/92d3b69c-6fcf-4cbf-abed-116209d1c0f7	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d2894ea441598d58d9742b6e2a82c239fbe98fd4.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91628	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	103		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/92d3b69c-6fcf-4cbf-abed-116209d1c0f7/manifest					64
列女百人一首 / 緑亭川柳編 ; 葛飾卍老人, 一陽斎豊国畫	レツジョ ヒャクニン イッシュ	東都 : 山口屋藤兵衛 ; 弘化4	1冊(60丁) ; 18cm		成立年: 弘化4	和歌	P846	緑亭川柳編 ; 葛飾卍老人, 一陽斎豊国畫	1847	retsujo hyakunin isshu	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/01ceef32-a7ae-4ab1-b90a-dd371512c661.json	01ceef32-a7ae-4ab1-b90a-dd371512c661	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/01ceef32-a7ae-4ab1-b90a-dd371512c661	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6cf67ecd4df157728da59b35dee8b71f53b4e0bd.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91629	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	104		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/01ceef32-a7ae-4ab1-b90a-dd371512c661/manifest					62
和漢百人一首 / 賞月堂主人著 ; 玉蘭斎貞秀畫	ワカン ヒャクニン イッシュ	江戸 : 山口屋藤兵衛 ; 安政4序	1冊(9, 50丁) ; 18cm	和漢百首	成立年: 安政4序. 備考: 15頁落丁?	和歌	P847	賞月堂主人著 ; 玉蘭斎貞秀畫	1857序	wakan hyakunin isshu	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e63ec830-d0cd-4b74-8972-7c1b30c6c7c7.json	e63ec830-d0cd-4b74-8972-7c1b30c6c7c7	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/e63ec830-d0cd-4b74-8972-7c1b30c6c7c7	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/862ad36233dda07a06223db39c2a7a011a26ad7e.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91630	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	105		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e63ec830-d0cd-4b74-8972-7c1b30c6c7c7/manifest					62
秀雅百人一首 / 緑亭川柳輯	シュウガ ヒャクニン イッシュ	東都 : 山口屋藤兵衛 ; 弘化5	1冊(5, 50丁) ; 19cm		成立年: 弘化5. 備考: 書名は序による	和歌	P848	緑亭川柳輯	1848	shuga hyakunin isshu	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d93845cf-6325-4f4c-a1de-c283d668eef1.json	d93845cf-6325-4f4c-a1de-c283d668eef1	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/d93845cf-6325-4f4c-a1de-c283d668eef1	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1075f253cb118952b0dd6ffbf95fc2aad31d7e88.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91631	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	106		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d93845cf-6325-4f4c-a1de-c283d668eef1/manifest					61
