表題,種別,コレクション名,請求記号,タイトルヨミ,日付,号,面,備考,出版社,出版地,封筒,画像注記,差出,宛,編著者,年月日,サイズ,シリーズ名,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:materialType,uterms:databaseLabel,dcndl:callNumber,dcndl:titleTranscription,dcterms:issued,dcndl:volume,dcndl:pageRange,dcterms:description,dcterms:publisher,dcndl:publicationPlace,archiveshub:envelope,archiveshub:note,bibo:producer,bibo:recipient,dcterms:creator,dcterms:date,dcterms:extent,dcndl:seriesTitle,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,21163
改進新聞 明治24(1891)年5月12日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1891-05-12,2477,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4f9ee9d1-2db9-0203-9319-cfe0396444ce.json,4f9ee9d1-2db9-0203-9319-cfe0396444ce,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/4f9ee9d1-2db9-0203-9319-cfe0396444ce,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f5fd218fc4615bee01a39ac6814556e34fbaa51a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/417282,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4f9ee9d1-2db9-0203-9319-cfe0396444ce/manifest,,,,,4
青森県知事の立腹,静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:4:44,,,,,,,,青森県(二),,,,,21年9月,1点 8×10cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0a0ff162-8c6e-9885-9759-45001398688b.json,0a0ff162-8c6e-9885-9759-45001398688b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/0a0ff162-8c6e-9885-9759-45001398688b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/49d9e898af350b99e752b29d27feac8a3f32a1a4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422436,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0a0ff162-8c6e-9885-9759-45001398688b/manifest,,,,,1
改進新聞 明治24(1891)年7月4日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1891-07-04,2523,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/65ef6baf-19b1-2b87-50a9-050e6b229597.json,65ef6baf-19b1-2b87-50a9-050e6b229597,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/65ef6baf-19b1-2b87-50a9-050e6b229597,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/afbbb22c8116ca0e153b6fc72dc7003318613896.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/417328,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/65ef6baf-19b1-2b87-50a9-050e6b229597/manifest,,,,,4
改進新聞 明治19(1886)年12月5日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1886-12-05,1121,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/dd6adda0-7808-4a35-26e8-c48c44080060.json,dd6adda0-7808-4a35-26e8-c48c44080060,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/dd6adda0-7808-4a35-26e8-c48c44080060,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/88e82bdca5ac26baeb3521495cc44fb786db0c02.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416493,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dd6adda0-7808-4a35-26e8-c48c44080060/manifest,,,,,4
メモ(「東京日日/[明治]十年八月十日/土佐の三大社/立志社・静倹社・中立社」),静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:88:18,,,,,,,,高知県,,,,,,1枚 13×10cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3a6f6518-7f1f-55d8-7ae8-ba74c2860d33.json,3a6f6518-7f1f-55d8-7ae8-ba74c2860d33,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/3a6f6518-7f1f-55d8-7ae8-ba74c2860d33,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/86d74f69090d15c90de1b29708d4d6ca726384b6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/423227,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3a6f6518-7f1f-55d8-7ae8-ba74c2860d33/manifest,,,,,1
改進新聞 明治18(1885)年10月8日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1885-10-08,772,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f04f8ab5-11fc-5b2c-849e-7d87af5a883a.json,f04f8ab5-11fc-5b2c-849e-7d87af5a883a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/f04f8ab5-11fc-5b2c-849e-7d87af5a883a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ccbb5e4e86f9364f0365d22033ec3d095e7ff2d7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416169,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f04f8ab5-11fc-5b2c-849e-7d87af5a883a/manifest,,,,,4
巳仮免状,静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:40:16,,,,,,,,葛飾県,千葉県(三) 一括,,武蔵國葛飾郡上戸村,,,1枚 33×16cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/587c61d4-a6ab-282c-1bc5-7588d1b52067.json,587c61d4-a6ab-282c-1bc5-7588d1b52067,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/587c61d4-a6ab-282c-1bc5-7588d1b52067,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a524f37170f2139d22919136a086d82e9c0ce544.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422965,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/587c61d4-a6ab-282c-1bc5-7588d1b52067/manifest,,,,,1
改進新聞 明治20(1887)年2月2日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1887-02-02,1167,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a69b7296-7874-8611-3e13-f4415ce85bb7.json,a69b7296-7874-8611-3e13-f4415ce85bb7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/a69b7296-7874-8611-3e13-f4415ce85bb7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bfdd5847e6faa0e1d120189aa64f9252f67a1283.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416539,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a69b7296-7874-8611-3e13-f4415ce85bb7/manifest,,,,,4
日光縣廃止後の宇都宮縣 下野國芳賀郡加倉村御用留書類中,静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:28:15,,,,,,,,宇都宮県,栃木県(二) 日光県・宇都宮県 一括,,,,明治4年末~5年2月,1綴(19丁) 25×17cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6aa13ffd-28c3-2359-2082-9bc2255a4e20.json,6aa13ffd-28c3-2359-2082-9bc2255a4e20,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/6aa13ffd-28c3-2359-2082-9bc2255a4e20,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6e7ec9f228aab86d11072dd6ceb487512f78d342.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422820,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6aa13ffd-28c3-2359-2082-9bc2255a4e20/manifest,,,,,20
