タイトル	請求記号	画像注記	シリーズ名	編著者	出版社	サイズ	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
dcterms:title	dcndl:callNumber	archiveshub:note	dcndl:seriesTitle	dcterms:creator	dcterms:publisher	dcterms:extent	iiif viewer	bibo:identifier	dcterms:isPartOf	dcterms:relation	dcterms:rights	foaf:thumbnail	rdfs:seeAlso	sc:attributionLabel	sc:viewingDirection	sc:viewingHint	uterms:databaseLabel	uterms:sort	uterms:year	uterms:manifestUri	uterms:searchApiUri	uterms:annotedManifest	uterms:linkToTapas	uterms:rtf	8552
(長途旅行(関西2府11県)関係資料)	GP020:C56			宮武外骨		1綴 18×26cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3e1e6716-3670-4a7d-952f-814fbbde2f57.json	3e1e6716-3670-4a7d-952f-814fbbde2f57	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/3e1e6716-3670-4a7d-952f-814fbbde2f57	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d0b3fcb461dc650ee58611683fd6b21570b8b48a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72616	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	1		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3e1e6716-3670-4a7d-952f-814fbbde2f57/manifest					54
東北旅行日記	GP020:To25	画像は一部のみ。明治新聞雑誌文庫館内にて全部閲覧可。		宮武外骨		1綴 11×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a494dcdb-2361-449e-9241-bbf05e70a7c1.json	a494dcdb-2361-449e-9241-bbf05e70a7c1	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/a494dcdb-2361-449e-9241-bbf05e70a7c1	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8218279323742c6ee0a21c91a1e00c95b10ee1bc.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72624	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	10		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a494dcdb-2361-449e-9241-bbf05e70a7c1/manifest					29
切抜き	GP040:Ko44:06		古今奇語集成			2点	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a5c0bf02-8b60-473e-81f6-94495cf23c22.json	a5c0bf02-8b60-473e-81f6-94495cf23c22	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/a5c0bf02-8b60-473e-81f6-94495cf23c22	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a6ee450abd83a6a780d6e0eda3ee173bbca1e1ed.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72707	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	100		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a5c0bf02-8b60-473e-81f6-94495cf23c22/manifest					3
雑誌頁(部分)	GP040:Ko44:07		古今奇語集成			1枚 18×24cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d0bd2718-aaf8-48ac-9baa-9622cc473378.json	d0bd2718-aaf8-48ac-9baa-9622cc473378	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/d0bd2718-aaf8-48ac-9baa-9622cc473378	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e6210c8cf11bb9967931a2652cfa17a4f09cc129.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72708	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	101		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d0bd2718-aaf8-48ac-9baa-9622cc473378/manifest					1
生殖器崇拝の分布	GP040:Ko44:08		古今奇語集成			1枚 22×35cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/48565c21-80dc-4573-a06c-36dd51a9667e.json	48565c21-80dc-4573-a06c-36dd51a9667e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/48565c21-80dc-4573-a06c-36dd51a9667e	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ad2cb120c657c19884b4dcb6e862a0ca13f89e3e.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72709	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	102		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/48565c21-80dc-4573-a06c-36dd51a9667e/manifest					1
原稿	GP040:Ko44:09		古今奇語集成			2点 25×33cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ff4ac676-4e9b-4df8-a167-21e419f334d6.json	ff4ac676-4e9b-4df8-a167-21e419f334d6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/ff4ac676-4e9b-4df8-a167-21e419f334d6	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8fa55117b8441924a077fc1a969b8f41d309acb7.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72710	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	103		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ff4ac676-4e9b-4df8-a167-21e419f334d6/manifest					3
「古今奇語集成」頁(部分)	GP040:Ko44:10		古今奇語集成			2点 22×25cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ebbce4b2-f339-4da3-ae6c-4e7924ef4e8b.json	ebbce4b2-f339-4da3-ae6c-4e7924ef4e8b	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/ebbce4b2-f339-4da3-ae6c-4e7924ef4e8b	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bdc3756760984a5aa985716baebb4b4d50b1af24.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72711	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	104		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ebbce4b2-f339-4da3-ae6c-4e7924ef4e8b/manifest					2
[石碑関係新聞雑誌切抜類]	GP040:Se28					35点 33cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/394db6dc-8cee-4bda-97c6-0f537533fea7.json	394db6dc-8cee-4bda-97c6-0f537533fea7	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/394db6dc-8cee-4bda-97c6-0f537533fea7	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b14ba22b3f240d1ab8c7de8bf7be982d753e493f.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72712	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	105		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/394db6dc-8cee-4bda-97c6-0f537533fea7/manifest					68
新案著作と講演	GP040:Sh59			宮武外骨		1綴 13×9cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a7e471f8-be89-4260-a9dc-1e613cf98a30.json	a7e471f8-be89-4260-a9dc-1e613cf98a30	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/a7e471f8-be89-4260-a9dc-1e613cf98a30	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/41567d55a07f00d71b246fce9a31b512cf19ba8b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72713	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	106		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a7e471f8-be89-4260-a9dc-1e613cf98a30/manifest					50
