書名,請求記号,書名ヨミ,著者,冊数,出版者,出版年,種別,言語,注記,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:callNumber,dcndl:titleTranscription,dcterms:creator,dcterms:extent,dcterms:publisher,dcterms:issued,dcndl:materialType,dcterms:language,archiveshub:note,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,34716
藝術典 (存3巻) [1],A20:345,ゲイジュツテン,,1,久志本常信 [写],[書写年不明],和古書,中国語,"写本|目首の書名: 欽定古今圖書集成博物彙編藝術典|存巻第538至第540|第539卷の巻末に「小森頼庸謹識」とあり|第538卷: 醫部藝文. 第539卷: 醫部藝文, 醫部紀事. 第540卷: 醫部雜録, 醫部外編|印記: 「江戸醫學藏書之記」|虫損あり",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/65c0492e-1568-a55f-33a9-354365ad2359.json,65c0492e-1568-a55f-33a9-354365ad2359,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gakken/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gakken/document/65c0492e-1568-a55f-33a9-354365ad2359,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0296806e86398d7c7e5c35e9577fce7250b972b1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1039850,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,鶚軒文庫,0001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/65c0492e-1568-a55f-33a9-354365ad2359/manifest,,,,,102
烟霞堂雑録,A20:346,エンカドウ ザツロク,蒔田 雲処,1,[書写者不明],[書写年不明],和古書,日本語,写本|書名は帙題簽による|柱に「烟霞堂藏版」とある罫紙を一部使用|挟みもの: 「鶚軒文庫目録ニハ蒔田亮著トアルガキメ手ガナイ」とあるメモ1枚,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2db14b85-83de-8666-a18c-d7aa581d870a.json,2db14b85-83de-8666-a18c-d7aa581d870a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gakken/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gakken/document/2db14b85-83de-8666-a18c-d7aa581d870a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a04275c441492e22d0a1fa493f3805c1342b6759.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1039849,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,鶚軒文庫,0002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2db14b85-83de-8666-a18c-d7aa581d870a/manifest,,,,,77
候鯖一臠抜書,A20:354,コウセイ イチラン ヌキガキ,亀田 鵬斎,1,[書写者不明],[書写年不明],和古書,日本語,写本|書名は帙題簽による|表紙に「コウ セイ イツ ハム」とあり|印記: 「月の屋」,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/acbdf0fb-2de0-9ebd-54b7-71937fc0898f.json,acbdf0fb-2de0-9ebd-54b7-71937fc0898f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gakken/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gakken/document/acbdf0fb-2de0-9ebd-54b7-71937fc0898f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/85083891f293a2c8b61cc80c5a10df58fc9b50a1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1039848,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,鶚軒文庫,0003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/acbdf0fb-2de0-9ebd-54b7-71937fc0898f/manifest,,,,,23
曲肱漫筆 4巻,A90:2064,キョッコウ マンピツ,,1,[書写者不明],明治23 [1890],和古書,日本語,写本|奥書に「明治二十三年の十一月三十日中村の里の住居に於いて写畢」とあり|仮綴,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b1171e81-8b80-6f43-541e-a416cc4478f6.json,b1171e81-8b80-6f43-541e-a416cc4478f6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gakken/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gakken/document/b1171e81-8b80-6f43-541e-a416cc4478f6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0af0957541eff5741428bd9dc59135081073523b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1039847,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,鶚軒文庫,0004,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b1171e81-8b80-6f43-541e-a416cc4478f6/manifest,,,,,48
天地萬物造化論,B60:3115,テンチ バンブツ ゾウカロン,王 柏,1,田原仁左衛門,寛永19 [1642],和古書,日本語,題簽の書名: 萬物造化論|版心の書名: 造化論|刊記に「寛永十九壬午歳仲秋吉辰 二条通鶴屋町 田原仁左衛門刊行」とあり|訓点付|印記: 「神聖工巧」|書き入れあり,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/83381fd3-8072-81c1-1308-e94e041d8d5d.json,83381fd3-8072-81c1-1308-e94e041d8d5d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gakken/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gakken/document/83381fd3-8072-81c1-1308-e94e041d8d5d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ec40ea9a8e6c914f220fface684b1343dbbad8dc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1039846,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,鶚軒文庫,0005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/83381fd3-8072-81c1-1308-e94e041d8d5d/manifest,,,,,24
佛説療痔病經略贊,C40:3588,ブッセツ リョウジビョウキョウ リャクサン,栄性,1,[出版者不明],[出版年不明],和古書,日本語,題簽及び版心の書名: 療痔病經略贊|四周単辺無界10行20字、単魚尾|頭注あり|訓点付|表紙に「泰學」と朱書あり,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f262f9a5-1e7e-0712-0128-4faba40a1762.json,f262f9a5-1e7e-0712-0128-4faba40a1762,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gakken/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gakken/document/f262f9a5-1e7e-0712-0128-4faba40a1762,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/957e7e40cfb1c72fdacf33fb04f8a68c3f474789.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1039845,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,鶚軒文庫,0006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f262f9a5-1e7e-0712-0128-4faba40a1762/manifest,,,,,25
新刋多識編 5巻 [1],D20:324,シンカン タシキヘン,林 羅山,2,上村次郎右衞門,[江戸期],和古書,日本語,"各巻頭下部の小字に「古今和名本草并異名」とあり|卷之1-3, 5の巻末書名: 多識編|卷之4の巻末及び版心の書名: 多識|刊記に「二條通玉屋町/上村次郎右衞門新刋」とあり|四周双辺有界10行17字, 花魚尾中黒口|付訓あり|後印本|印記: 「鶚軒文庫」|虫損あり",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/306c6d99-a6cb-2c99-0538-5fe1f8ce0942.json,306c6d99-a6cb-2c99-0538-5fe1f8ce0942,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gakken/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gakken/document/306c6d99-a6cb-2c99-0538-5fe1f8ce0942,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fdc0af8aa2f9fd90b1b423b0ed02388c50872e1d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1039844,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,鶚軒文庫,0007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/306c6d99-a6cb-2c99-0538-5fe1f8ce0942/manifest,,,,,87
新刋多識編 5巻 [2],D20:324,シンカン タシキヘン,林 羅山,2,上村次郎右衞門,[江戸期],和古書,日本語,"各巻頭下部の小字に「古今和名本草并異名」とあり|卷之1-3, 5の巻末書名: 多識編|卷之4の巻末及び版心の書名: 多識|刊記に「二條通玉屋町/上村次郎右衞門新刋」とあり|四周双辺有界10行17字, 花魚尾中黒口|付訓あり|後印本|印記: 「鶚軒文庫」|虫損あり",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2d969c62-7c56-03d1-9655-a26b65738d93.json,2d969c62-7c56-03d1-9655-a26b65738d93,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gakken/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gakken/document/2d969c62-7c56-03d1-9655-a26b65738d93,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b06c7b77c356345549356dc5ffb558d7ea2a5dc4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1039843,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,鶚軒文庫,0008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2d969c62-7c56-03d1-9655-a26b65738d93/manifest,,,,,63
詞の道,D30:1137,コトバ ノ ミチ,浅井 樺園,1,[書写者不明],[書写年不明],和古書,日本語,写本|書名は表紙による|裏表紙に「知多郡寺本村 浅井藥室」と墨書あり|虫損あり,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8564a569-3b72-1f9e-2c3d-2d571be24313.json,8564a569-3b72-1f9e-2c3d-2d571be24313,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gakken/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gakken/document/8564a569-3b72-1f9e-2c3d-2d571be24313,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5e1d464acaf3f59bf82ce5c12c51babe0f2911d4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1039842,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,鶚軒文庫,0009,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8564a569-3b72-1f9e-2c3d-2d571be24313/manifest,,,,,52
