タイトル,書名,書名ヨミ,著者,出版者,大きさ,請求記号,一般注記,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:seriesTitle,dcndl:seriesTitleTranscription,dcterms:creator,dcterms:publisher,dcterms:extent,dcndl:callNumber,dcterms:description,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,2247
桐壺,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c1ea8e6b-9403-4394-8619-96aad0ec6329.json,c1ea8e6b-9403-4394-8619-96aad0ec6329,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/c1ea8e6b-9403-4394-8619-96aad0ec6329,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/082f3475f5b03e1820688882d003ce39772ebb4c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275151,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,01,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,,,,,32
帚木,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4c7f22cf-9fe1-5405-1f3a-c53b39e3a45e.json,4c7f22cf-9fe1-5405-1f3a-c53b39e3a45e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/4c7f22cf-9fe1-5405-1f3a-c53b39e3a45e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/707d9c58014ca5f13e94210694e944026cae887d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275152,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,02,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4c7f22cf-9fe1-5405-1f3a-c53b39e3a45e/manifest,,,,,62
空蝉,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/48bf5555-1449-3b07-4a4e-400faea49f2f.json,48bf5555-1449-3b07-4a4e-400faea49f2f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/48bf5555-1449-3b07-4a4e-400faea49f2f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2ff5ad52ad67276e6309bf522852dffeb5ae4a65.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275153,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,03,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/48bf5555-1449-3b07-4a4e-400faea49f2f/manifest,,,,,18
夕顔,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/cbb5d028-05a6-326a-4976-d61354b5731f.json,cbb5d028-05a6-326a-4976-d61354b5731f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/cbb5d028-05a6-326a-4976-d61354b5731f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/05b2af61a788209c52093049ebcacc26928f1b16.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275154,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,04,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/cbb5d028-05a6-326a-4976-d61354b5731f/manifest,,,,,61
若紫,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3e3b8127-47f1-846e-2661-66f5c6665353.json,3e3b8127-47f1-846e-2661-66f5c6665353,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/3e3b8127-47f1-846e-2661-66f5c6665353,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ad936d2a2b341652cb1ab7e25f65cafb67ef021d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275155,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,05,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3e3b8127-47f1-846e-2661-66f5c6665353/manifest,,,,,55
末摘花,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9b019cdd-a43c-3671-3139-96c3918a356f.json,9b019cdd-a43c-3671-3139-96c3918a356f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/9b019cdd-a43c-3671-3139-96c3918a356f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/75f8470d741d1c825d32c8bd958dbebd3e0f6dfa.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275156,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,06,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9b019cdd-a43c-3671-3139-96c3918a356f/manifest,,,,,38
紅葉加(紅葉賀),源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/952541dd-7d2c-2771-11e5-8a85d2105938.json,952541dd-7d2c-2771-11e5-8a85d2105938,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/952541dd-7d2c-2771-11e5-8a85d2105938,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a6007d38d10c305c456419ba4ca2ccb4356a768e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275157,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,07,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/952541dd-7d2c-2771-11e5-8a85d2105938/manifest,,,,,36
花宴,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e3d12c86-409c-2980-0574-a1d292eb60ab.json,e3d12c86-409c-2980-0574-a1d292eb60ab,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/e3d12c86-409c-2980-0574-a1d292eb60ab,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8b5bc65b81a208f3c3c7712d942d1054a71c0271.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275158,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,08,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e3d12c86-409c-2980-0574-a1d292eb60ab/manifest,,,,,16
葵,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d9c1360e-61b5-7757-3e31-d991fa9d53a4.json,d9c1360e-61b5-7757-3e31-d991fa9d53a4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/d9c1360e-61b5-7757-3e31-d991fa9d53a4,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b0a891a07b68bfdf6c407c423356d7595dcd357e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275159,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,09,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d9c1360e-61b5-7757-3e31-d991fa9d53a4/manifest,,,,,54
