タイトル,請求記号,出版社,出版地,日付,記事タイトル1,記事タイトル1発信元,記事タイトル2,記事タイトル2発信元,記事タイトル3,記事タイトル3発信元,別タイトル,記名,面,備考,シリーズ名,言語,種別,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:callNumber,dcterms:publisher,dcndl:publicationPlace,dcterms:issued,meiji:partTitle1,meiji:partProvider1,meiji:partTitle2,meiji:partProvider2,meiji:partTitle3,meiji:partProvider3,dcndl:alternative,dcterms:creator,dcndl:pageRange,archiveshub:note,dcndl:seriesTitle,dcterms:language,dcndl:materialType,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,2343
朝日新聞 明治17年12月30日 号外,06-01,朝日新聞社,大阪,1884-12-30,朝鮮事變要報,,,,,,朝鮮事変要報,,1,,甲申事変,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/44500935-66b8-3ad5-9bfb-e7b44f4c23f5.json,44500935-66b8-3ad5-9bfb-e7b44f4c23f5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/44500935-66b8-3ad5-9bfb-e7b44f4c23f5,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d56369737109e4a1c31d641f7f0e87f10a8ffc87.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1155154,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,0001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/44500935-66b8-3ad5-9bfb-e7b44f4c23f5/manifest,,,,,1
朝日新聞 明治18年1月6日 号外,06-01,朝日新聞社,大阪,1885-01-06,朝鮮事變彙報,,清佛事變彙報,,,,朝鮮事変彙報|清仏事変彙報,,1-2,,甲申事変,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/59a56460-5889-5f33-6024-a2d0b1b70eb1.json,59a56460-5889-5f33-6024-a2d0b1b70eb1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/59a56460-5889-5f33-6024-a2d0b1b70eb1,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7d1fe66a328211816c6e37d18fb25ef0446bf39d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1155155,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,0002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/59a56460-5889-5f33-6024-a2d0b1b70eb1/manifest,,,,,2
朝日新聞 明治18年4月20日 号外,06-01,朝日新聞社,大阪,1885-04-20,日清談判條欵,東京電報,,,,,日清談判條欵,,1,,甲申事変,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/be16610f-31b0-4919-39fe-6b415b305eeb.json,be16610f-31b0-4919-39fe-6b415b305eeb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/be16610f-31b0-4919-39fe-6b415b305eeb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4e1a06dd153448037cfa286bc437ad1338782e98.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1155156,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,0003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/be16610f-31b0-4919-39fe-6b415b305eeb/manifest,,,,,1
愛媛新報 明治38年1月3日 号外,06-02,愛媛新報社,松山,1905-01-03,松樹山砲臺の占領,電報,松樹山占領詳報,,ヱツチ砲臺其他の占領,,松樹山砲台の占領|松樹山占領詳報|ヱツチ砲台其他の占領,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/20f576cf-165d-8176-a39b-04e2363252bd.json,20f576cf-165d-8176-a39b-04e2363252bd,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/20f576cf-165d-8176-a39b-04e2363252bd,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/eaeef9bcc878cbe66b8fe2624300281b8c2a2749.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1072723,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,0004,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/20f576cf-165d-8176-a39b-04e2363252bd/manifest,,,,,1
大阪朝日新聞 明治37年2月11日 号外,06-03,大阪朝日新聞会社,大阪,1904-02-11,宣戰詔勅,東京電報,列國の沈默,伯林電報,英佛兩國の態度,巴里電報,宣戦詔勅|列国の沈黙|英仏両国の態度,,1-2,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/15607c4b-208d-1ce9-2cb7-7e96a23f7a03.json,15607c4b-208d-1ce9-2cb7-7e96a23f7a03,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/15607c4b-208d-1ce9-2cb7-7e96a23f7a03,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3baab0457c14dde08809c8f0b5800887e8b1b9b9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1155157,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,0005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/15607c4b-208d-1ce9-2cb7-7e96a23f7a03/manifest,,,,,2
大阪朝日新聞 明治37年3月17日 第二号外,06-03,大阪朝日新聞会社,大阪,1904-03-17,露兵南進,韓京電報,討露の議決,,,,露兵南進|討露の議決,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b22ed487-1673-15ca-5a6e-cd9772b94b20.json,b22ed487-1673-15ca-5a6e-cd9772b94b20,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/b22ed487-1673-15ca-5a6e-cd9772b94b20,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6e2f550fc50cce43944114e842310af33330c4f8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1155158,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,0006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b22ed487-1673-15ca-5a6e-cd9772b94b20/manifest,,,,,1
大阪朝日新聞 明治37年7月10日 号外,06-03,大阪朝日新聞会社,大阪,1904-07-10,蓋平占領,東京電話,日本軍の北進,ルーター電報,,,蓋平占領|日本軍の北進,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/41268a5e-1078-1655-2497-3e591e2e5569.json,41268a5e-1078-1655-2497-3e591e2e5569,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/41268a5e-1078-1655-2497-3e591e2e5569,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fa1261df2e90048ba514d5a702693adb6b9f2636.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1155159,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,0007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/41268a5e-1078-1655-2497-3e591e2e5569/manifest,,,,,1
大阪朝日新聞 明治37年8月29日 号外,06-03,大阪朝日新聞会社,大阪,1904-08-29,遼陽方面の戰況,東京電話,,,,,遼陽方面の戦況,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e6771278-08e7-7126-68bd-e46a1cae0b88.json,e6771278-08e7-7126-68bd-e46a1cae0b88,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/e6771278-08e7-7126-68bd-e46a1cae0b88,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6c77855115748ce01853935c9b6b68889684149e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1155160,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,0008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e6771278-08e7-7126-68bd-e46a1cae0b88/manifest,,,,,1
大阪朝日新聞 明治37年9月1日 広島号外,06-03,大阪朝日新聞広島通信部,広島,1904-09-01,遼陽占領の機益す迫る,,敵遼陽の外防禦線を退却す,,,,遼陽占領の機益す迫る|敵遼陽の外防禦線を退却す,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0e8aae5a-8f05-7185-8aa6-056ea6aa4616.json,0e8aae5a-8f05-7185-8aa6-056ea6aa4616,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/0e8aae5a-8f05-7185-8aa6-056ea6aa4616,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cd7af0a5e433a747b2b7bed02fb7b05309f82c35.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1155161,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,0009,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0e8aae5a-8f05-7185-8aa6-056ea6aa4616/manifest,,,,,1
