タイトル,別タイトル,記事種別,執筆者,備考,巻号,発行年月日,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcterms:alternative,dcndl:materialType,dcterms:creator,dcterms:description,dcndl:volume,dcterms:issued,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,336
(表紙、口絵、目次),,,,口絵 : 戸田ヶ原採集隊 一行,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/62956d7c-0925-4c6c-8ef4-c3eacc6e289a.json,62956d7c-0925-4c6c-8ef4-c3eacc6e289a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/62956d7c-0925-4c6c-8ef4-c3eacc6e289a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f578875a6a7ae577d80413c96c2d123599d72524.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478158,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/62956d7c-0925-4c6c-8ef4-c3eacc6e289a/manifest,,,,,4
本誌発刊ノ趣旨,発刊ノ趣旨,,,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4c3df8d7-4faa-72b9-37f9-7ba3f9c336c5.json,4c3df8d7-4faa-72b9-37f9-7ba3f9c336c5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/4c3df8d7-4faa-72b9-37f9-7ba3f9c336c5,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/172e9dc4ae274d6e230bc2e77307fb55e4ad7e02.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478159,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4c3df8d7-4faa-72b9-37f9-7ba3f9c336c5/manifest,,,,,2
博物の友発刊を喜ぶ,博物ノ友発刊ヲ喜ブ,,市河三喜,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/58b2260e-999d-4095-08f0-fc1aef106edf.json,58b2260e-999d-4095-08f0-fc1aef106edf,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/58b2260e-999d-4095-08f0-fc1aef106edf,http://creativecommons.org/licenses/by-nd/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/643a541eaaae124174fc446a2bc9afceebf73c5f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478160,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/58b2260e-999d-4095-08f0-fc1aef106edf/manifest,,,,,3
昆虫分類一覧,,雑録,市河三喜,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c33467fa-32f7-7940-0d65-42278d072689.json,c33467fa-32f7-7940-0d65-42278d072689,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/c33467fa-32f7-7940-0d65-42278d072689,http://creativecommons.org/licenses/by-nd/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/efd0bd3dd71f46f2d0403aacd62a27888b7611a4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478161,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c33467fa-32f7-7940-0d65-42278d072689/manifest,,,,,5
昆虫分類記憶ノ歌,,雑録,市河三喜,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a524a5ae-15c3-2bee-a371-11a9474439a0.json,a524a5ae-15c3-2bee-a371-11a9474439a0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/a524a5ae-15c3-2bee-a371-11a9474439a0,http://creativecommons.org/licenses/by-nd/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/26c530bace5c53b2076741fe016db784db8ea9fa.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478162,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a524a5ae-15c3-2bee-a371-11a9474439a0/manifest,,,,,2
質問応答,,質問応答,,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c42d4a10-7928-a78d-76ac-0dbea6d06956.json,c42d4a10-7928-a78d-76ac-0dbea6d06956,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/c42d4a10-7928-a78d-76ac-0dbea6d06956,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/59bf84c28f8102109d6c785e5cffb46c3af293bc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478163,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c42d4a10-7928-a78d-76ac-0dbea6d06956/manifest,,,,,2
戸田ヶ原紀行,,紀行,村松操,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4c86f161-9ccd-6692-80f3-f101c4ce5ada.json,4c86f161-9ccd-6692-80f3-f101c4ce5ada,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/4c86f161-9ccd-6692-80f3-f101c4ce5ada,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f73895dbdeda90d185dddb0672ab1b9a5cd00074.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478164,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4c86f161-9ccd-6692-80f3-f101c4ce5ada/manifest,,,,,4
戸田ヶ原採取紀行 午後,戸田ヶ原紀行,紀行,市河三喜,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/deda0103-1755-7a98-6b3e-6b0cac795e86.json,deda0103-1755-7a98-6b3e-6b0cac795e86,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/deda0103-1755-7a98-6b3e-6b0cac795e86,http://creativecommons.org/licenses/by-nd/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8d02a225a6a78b6dea6c9b018fd538d59c53ffd7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478165,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,009,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/deda0103-1755-7a98-6b3e-6b0cac795e86/manifest,,,,,4
日本博物学会第一回採集 世田ヶ谷豪徳寺紀行,第一回採集紀行,紀行,村松操,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5f9435f6-6482-1cb3-a057-d040a5b73d88.json,5f9435f6-6482-1cb3-a057-d040a5b73d88,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/5f9435f6-6482-1cb3-a057-d040a5b73d88,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/430398c73a08bbe2b0bce39e3b4ebacb2ca97708.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478166,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,010,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5f9435f6-6482-1cb3-a057-d040a5b73d88/manifest,,,,,3
