タイトル,作成日,ID,文書種類,文書記述形式,枚数,カード目録,カテゴリ,所蔵,所属,内容,備考,登録年,エンティティ（Google Cloud Vision）,軍艦,特記事項,Transcription,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcterms:date,dcterms:identifier,dcterms:type,dcterms:format,dcterms:extent,dcndl:seriesTitle,dcterms:subject,dcndl:holdingAgent,dcterms:coverage,dcterms:description,archiveshub:note,dcterms:created,foaf:topic,bibo:uri,bibo:volume,dcndl:transcription,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,36196
製艦費ノ減少ニ就テ,1929-02-28,10010101,意見書,海軍罫紙タイプ印刷,29枚,製艦費ノ減少ニ就テ,論文,東京大学柏図書館,,,,2007,text|product|font|design|line|pattern|angle|black and white|paper|rectangle,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6c3fea66-fbb0-4a11-a59b-d60c7376e118.json,6c3fea66-fbb0-4a11-a59b-d60c7376e118,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/6c3fea66-fbb0-4a11-a59b-d60c7376e118,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cfed357369f14b757b45ac9658a6da62f10a28f6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107795,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6c3fea66-fbb0-4a11-a59b-d60c7376e118/manifest,,,,,15
〔人名一覧〕,,10020101,人名一覧,万国工業会議用箋タイプ,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,product|font|design|pattern|brand,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1e6cb69e-2545-41bd-b085-c63ba7e60101.json,1e6cb69e-2545-41bd-b085-c63ba7e60101,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/1e6cb69e-2545-41bd-b085-c63ba7e60101,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fe945e859aa4ce78bb92dfa24b30f63135f042a5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107796,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1e6cb69e-2545-41bd-b085-c63ba7e60101/manifest,,,,,1
〔打合会延期通知〕,1929-08-20,10020102,打合会延期通知,万国工業会議用箋タイプ,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,product|font|design|pattern|brand,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5a73ef16-ffb2-46ae-8b2b-44990ecf6f0e.json,5a73ef16-ffb2-46ae-8b2b-44990ecf6f0e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/5a73ef16-ffb2-46ae-8b2b-44990ecf6f0e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d66222e6528e71772bc7dadbdf14565c6db00f84.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107797,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5a73ef16-ffb2-46ae-8b2b-44990ecf6f0e/manifest,,,,,1
〔平賀宛書翰〕,,10020103,平賀宛書翰,便箋ペン書き,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|document|brand,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8d667289-7115-43d1-8394-09f3526e585b.json,8d667289-7115-43d1-8394-09f3526e585b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/8d667289-7115-43d1-8394-09f3526e585b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f2a8368cc706cdfa7c89483153b5963a7231c46f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107798,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8d667289-7115-43d1-8394-09f3526e585b/manifest,,,,,1
〔講演題目?〕,,10020104,講演題目?,罫紙ペン書き,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|document|notebook|brand|handwriting|paper product,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f0fe7b04-fc4f-431f-bc39-6b56a3630022.json,f0fe7b04-fc4f-431f-bc39-6b56a3630022,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/f0fe7b04-fc4f-431f-bc39-6b56a3630022,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3acddc72a09fd13e76225fdd1ae381d3bfd29c37.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107799,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f0fe7b04-fc4f-431f-bc39-6b56a3630022/manifest,,,,,1
昭和四年十月廿三日 万国工業会議会議委員長 稲田三之助 平賀譲殿,1929-10-23,10020201,平賀宛書翰,万国工業会議用箋ペン書き,2枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|document|writing|black and white|product,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/029c2f4e-5a00-499b-8ded-d2095e07a566.json,029c2f4e-5a00-499b-8ded-d2095e07a566,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/029c2f4e-5a00-499b-8ded-d2095e07a566,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/544fb3abd038b3af41d9951355de5b6fc5fd83e2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107800,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/029c2f4e-5a00-499b-8ded-d2095e07a566/manifest,,,,,1
EXTRA EDITION OF OFFICIAL BULLETIN THE WORLD ENGINEERING CONGRESS TOKYO 1929,1929-10-31,10020301,万国工業会告示,英文印刷物,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|product|paper|brand|document|design|pattern|angle,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/79b05dd4-7bd8-4770-97d4-5cf2410a6d73.json,79b05dd4-7bd8-4770-97d4-5cf2410a6d73,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/79b05dd4-7bd8-4770-97d4-5cf2410a6d73,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/22f042976cf1039b89fe3b946b6e3871a0ae7134.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107801,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/79b05dd4-7bd8-4770-97d4-5cf2410a6d73/manifest,,,,,3
昭和四年十月廿七日 万国工業会議会議委員長 稲田三之助 平賀譲殿,,10020401,平賀宛書翰,万国工業会議用箋タイプ,2枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|product|design|pattern|brand|paper,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/fb4a0869-d343-4cd3-8336-0bc846b7115a.json,fb4a0869-d343-4cd3-8336-0bc846b7115a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/fb4a0869-d343-4cd3-8336-0bc846b7115a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/133f195525b7f229a5c274c9914ad251e4129b63.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107802,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fb4a0869-d343-4cd3-8336-0bc846b7115a/manifest,,,,,1
部会理事(日本人),,10020501,理事一覧表,タイプ(ペン書き記入有り),1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|pattern|music|document,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e356d234-4232-4d09-8e98-731da58810e7.json,e356d234-4232-4d09-8e98-731da58810e7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/e356d234-4232-4d09-8e98-731da58810e7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/92fdb05afcbb1e3a03dd5a1e1753f0b9c219a428.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107803,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e356d234-4232-4d09-8e98-731da58810e7/manifest,,,,,1
