タイトル/Title,書誌情報/Bibliographic Information,請求記号/Call No.,資料番号/Barcode No.,分類１/Category1,分類2/Category2,分類3/Category3,分類4/Category4,コレクション / Collection,所蔵図書館室 / Holding Library,表示用順番(同一カテゴリ内),備考/Comments,タイトルヨミ/Title Transcription,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcterms:description,dcndl:callNumber,dcterms:identifier,kaishi:category1,kaishi:category2,kaishi:category3,kaishi:category4,dcndl:seriesTitle,dcndl:holdingAgent,uterms:sort,archiveshub:note,dcndl:titleTranscription,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,26445
神農本經,"神農本經 / (明) 廬復手録 ; (日本) 鈴木良知 [校]. -- 奥千之 [写], 嘉永6 [1853]. -- 1冊 ; 26.6×19.1cm. d.",A1:2,3002920043,,,,,,駒場図書館,002000,,シンノウ ホンキョウ,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/14107ef6-7ab3-7692-6d0a-a7df87a182de.json,14107ef6-7ab3-7692-6d0a-a7df87a182de,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/14107ef6-7ab3-7692-6d0a-a7df87a182de,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/46f6b88e423fe3ad5663091462a55ebdd3de2860.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/684069,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/14107ef6-7ab3-7692-6d0a-a7df87a182de/manifest,,,,,53
重修政和經史證類備用本草 30巻 ; 序目,"重修政和經史證類備用本草 30巻 / (宋) 唐慎微續證類 ; (宋) 曹孝忠奉敕校勘 ; 序目 - 卷第30. -- 胡大慶, 嘉靖31 [1552]. -- 25冊 ; 32.8×19.8cm.",A1:3,3002920050,,,,,,駒場図書館,003000,,ジュウシュウ セイワ ケイシ ショウルイ ビヨウ ホンゾウ,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/fc79648a-482e-935f-8405-5ec268377ffb.json,fc79648a-482e-935f-8405-5ec268377ffb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/fc79648a-482e-935f-8405-5ec268377ffb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/df53f8aef9933ec899bb436d1db2af1cd77a7a02.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/684068,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fc79648a-482e-935f-8405-5ec268377ffb/manifest,,,,,65
重修政和經史證類備用本草 30巻 ; 卷第1,"重修政和經史證類備用本草 30巻 / (宋) 唐慎微續證類 ; (宋) 曹孝忠奉敕校勘 ; 序目 - 卷第30. -- 胡大慶, 嘉靖31 [1552]. -- 25冊 ; 32.8×19.8cm.",A1:3,3002920068,,,,,,駒場図書館,003010,,ジュウシュウ セイワ ケイシ ショウルイ ビヨウ ホンゾウ,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a2e1932b-5078-68f0-44f3-31d5a30e33ed.json,a2e1932b-5078-68f0-44f3-31d5a30e33ed,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/a2e1932b-5078-68f0-44f3-31d5a30e33ed,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4067d006012560610c738a5be764d98238898314.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/684067,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a2e1932b-5078-68f0-44f3-31d5a30e33ed/manifest,,,,,36
重修政和經史證類備用本草 30巻 ; 卷第2,"重修政和經史證類備用本草 30巻 / (宋) 唐慎微續證類 ; (宋) 曹孝忠奉敕校勘 ; 序目 - 卷第30. -- 胡大慶, 嘉靖31 [1552]. -- 25冊 ; 32.8×19.8cm.",A1:3,3002920076,,,,,,駒場図書館,003020,,ジュウシュウ セイワ ケイシ ショウルイ ビヨウ ホンゾウ,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6b313cc3-38cc-913e-7fd6-3c60b7a765e4.json,6b313cc3-38cc-913e-7fd6-3c60b7a765e4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/6b313cc3-38cc-913e-7fd6-3c60b7a765e4,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9b7f3b071ee639e3f43165da3bb0dda42a46fea2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/684066,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6b313cc3-38cc-913e-7fd6-3c60b7a765e4/manifest,,,,,59
重修政和經史證類備用本草 30巻 ; 卷第3,"重修政和經史證類備用本草 30巻 / (宋) 唐慎微續證類 ; (宋) 曹孝忠奉敕校勘 ; 序目 - 卷第30. -- 胡大慶, 嘉靖31 [1552]. -- 25冊 ; 32.8×19.8cm.",A1:3,3002920084,,,,,,駒場図書館,003030,,ジュウシュウ セイワ ケイシ ショウルイ ビヨウ ホンゾウ,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e0cf604e-93d0-a043-53e2-a3992bde07a9.json,e0cf604e-93d0-a043-53e2-a3992bde07a9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/e0cf604e-93d0-a043-53e2-a3992bde07a9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5ac7601f1b8272eceeb22b1b077b7db82575baa9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/684065,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e0cf604e-93d0-a043-53e2-a3992bde07a9/manifest,,,,,50
重修政和經史證類備用本草 30巻 ; 卷第4,"重修政和經史證類備用本草 30巻 / (宋) 唐慎微續證類 ; (宋) 曹孝忠奉敕校勘 ; 序目 - 卷第30. -- 胡大慶, 嘉靖31 [1552]. -- 25冊 ; 32.8×19.8cm.",A1:3,3002920092,,,,,,駒場図書館,003040,,ジュウシュウ セイワ ケイシ ショウルイ ビヨウ ホンゾウ,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8b18372c-4a65-0b14-07db-2f58d44684e0.json,8b18372c-4a65-0b14-07db-2f58d44684e0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/8b18372c-4a65-0b14-07db-2f58d44684e0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3cd3d5605982ca0091bd0a9f16579bb49fb945ce.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/684064,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8b18372c-4a65-0b14-07db-2f58d44684e0/manifest,,,,,51
重修政和經史證類備用本草 30巻 ; 卷第5,"重修政和經史證類備用本草 30巻 / (宋) 唐慎微續證類 ; (宋) 曹孝忠奉敕校勘 ; 序目 - 卷第30. -- 胡大慶, 嘉靖31 [1552]. -- 25冊 ; 32.8×19.8cm.",A1:3,3002920100,,,,,,駒場図書館,003050,,ジュウシュウ セイワ ケイシ ショウルイ ビヨウ ホンゾウ,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/940d9f14-2502-0c33-2ef6-0acda111942d.json,940d9f14-2502-0c33-2ef6-0acda111942d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/940d9f14-2502-0c33-2ef6-0acda111942d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/31506361698866208addd03892df5cc4a47fb000.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/684063,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/940d9f14-2502-0c33-2ef6-0acda111942d/manifest,,,,,47
重修政和經史證類備用本草 30巻 ; 卷第6,"重修政和經史證類備用本草 30巻 / (宋) 唐慎微續證類 ; (宋) 曹孝忠奉敕校勘 ; 序目 - 卷第30. -- 胡大慶, 嘉靖31 [1552]. -- 25冊 ; 32.8×19.8cm.",A1:3,3002920118,,,,,,駒場図書館,003060,,ジュウシュウ セイワ ケイシ ショウルイ ビヨウ ホンゾウ,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/199f6749-3315-2321-3384-200d2dfe532c.json,199f6749-3315-2321-3384-200d2dfe532c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/199f6749-3315-2321-3384-200d2dfe532c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6023ac1ca2c5928dc73037c25ac26511590322f3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/684062,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/199f6749-3315-2321-3384-200d2dfe532c/manifest,,,,,71
重修政和經史證類備用本草 30巻 ; 卷第7,"重修政和經史證類備用本草 30巻 / (宋) 唐慎微續證類 ; (宋) 曹孝忠奉敕校勘 ; 序目 - 卷第30. -- 胡大慶, 嘉靖31 [1552]. -- 25冊 ; 32.8×19.8cm.",A1:3,3002920126,,,,,,駒場図書館,003070,,ジュウシュウ セイワ ケイシ ショウルイ ビヨウ ホンゾウ,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/27e81baf-7b55-5f31-7f17-7a8a1c473c36.json,27e81baf-7b55-5f31-7f17-7a8a1c473c36,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/27e81baf-7b55-5f31-7f17-7a8a1c473c36,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/727be16ce52c16737a30503363633f48d67b45bd.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/684061,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/27e81baf-7b55-5f31-7f17-7a8a1c473c36/manifest,,,,,52
重修政和經史證類備用本草 30巻 ; 卷第8,"重修政和經史證類備用本草 30巻 / (宋) 唐慎微續證類 ; (宋) 曹孝忠奉敕校勘 ; 序目 - 卷第30. -- 胡大慶, 嘉靖31 [1552]. -- 25冊 ; 32.8×19.8cm.",A1:3,3002920134,,,,,,駒場図書館,003080,,ジュウシュウ セイワ ケイシ ショウルイ ビヨウ ホンゾウ,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/64af9641-74af-4be6-31c2-8b34458469d4.json,64af9641-74af-4be6-31c2-8b34458469d4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/64af9641-74af-4be6-31c2-8b34458469d4,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2f665aeaf1f8897ce43583d48bea35b039ff8928.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/684060,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/64af9641-74af-4be6-31c2-8b34458469d4/manifest,,,,,58
重修政和經史證類備用本草 30巻 ; 卷第9,"重修政和經史證類備用本草 30巻 / (宋) 唐慎微續證類 ; (宋) 曹孝忠奉敕校勘 ; 序目 - 卷第30. -- 胡大慶, 嘉靖31 [1552]. -- 25冊 ; 32.8×19.8cm.",A1:3,3002920142,,,,,,駒場図書館,003090,,ジュウシュウ セイワ ケイシ ショウルイ ビヨウ ホンゾウ,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f4d45f49-4712-281a-9c56-9e7f1b6c93ce.json,f4d45f49-4712-281a-9c56-9e7f1b6c93ce,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/f4d45f49-4712-281a-9c56-9e7f1b6c93ce,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/971f31fa6a6b44ac5f7046a3d71dd4dbb9cb30f3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/684059,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f4d45f49-4712-281a-9c56-9e7f1b6c93ce/manifest,,,,,60
重修政和經史證類備用本草 30巻 ; 卷第10,"重修政和經史證類備用本草 30巻 / (宋) 唐慎微續證類 ; (宋) 曹孝忠奉敕校勘 ; 序目 - 卷第30. -- 胡大慶, 嘉靖31 [1552]. -- 25冊 ; 32.8×19.8cm.",A1:3,3002920159,,,,,,駒場図書館,003100,,ジュウシュウ セイワ ケイシ ショウルイ ビヨウ ホンゾウ,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e29e1a42-2caa-41e6-555b-67a86e0d6f29.json,e29e1a42-2caa-41e6-555b-67a86e0d6f29,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/e29e1a42-2caa-41e6-555b-67a86e0d6f29,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7739254d62c2f84aba96f0962940fe5597fa0f65.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/684058,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e29e1a42-2caa-41e6-555b-67a86e0d6f29/manifest,,,,,48
