書名,注記,請求記号,タイトル（ヨミ）,資料番号/Barcode No.,所蔵図書館室 / Holding Library,書誌ID,巻,メモ,文庫区分,著者・編者・監修者,購入年,出版年,幅・高さ,種別,言語,書名2,出版社,分類1,分類2,解説1,第一中学本,図版番号,開成学校本,キーワード,サイズ,帝国大学本,タイトル2,東京大学本,解説2,解説3,解説4,解説5,解説6,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcterms:description,dcndl:callNumber,dcndl:titleTranscription,dcterms:identifier,dcndl:holdingAgent,dcndl:sourceIdentifier,dcndl:volume,archiveshub:note,uterms:bunko,dcterms:creator,dcterms:date,dcterms:issued,dcterms:extent,dcndl:materialType,dcterms:language,dcterms:alternative,dcterms:publisher,petit:class1,petit:class2,petit:comment1,petit:daiichi,petit:figno,petit:kaisei,petit:keyword,petit:size,petit:teikoku,petit:title2,petit:todai,petit:comment2,petit:comment3,petit:comment4,petit:comment5,petit:comment6,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,1867
朝庭御鷹野之影 二巻,"朝庭御鷹野之影 二巻 / 飯嶋助九郎筆 ; 栄川院, 養川院筆写 ; [春-夏], [秋-冬]. -- [製作者不明], [江戸後期]. -- 絵画2巻 (絵巻) : 彩色 ; 39.4cm.",十:い:44(4),チョウテイ オタカノ ノ カゲ,"3011379892, 3011379900",駒場図書館,2003450235,"[春-夏] ,[秋-冬]",,一高文庫,,,,,,,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b3bd130b-295d-8c41-0d00-c1206feb0076.json,b3bd130b-295d-8c41-0d00-c1206feb0076,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko/document/b3bd130b-295d-8c41-0d00-c1206feb0076,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c9e2709f9d0e06fce067f5cb708422145d9fa723.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/776535,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,第一高等学校旧蔵資料,chotei-001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b3bd130b-295d-8c41-0d00-c1206feb0076/manifest,,,,,51
本朝世紀 目録,6丁。,三:い:30,ホンチョウセイキ モクロク,,,,,,,藤原通憲,[江戸時代],[18世紀],29.0×20.6cm,和古書,日本語,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0e0b56f7-9f6d-4baa-49b4-175559f54594.json,0e0b56f7-9f6d-4baa-49b4-175559f54594,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko/document/0e0b56f7-9f6d-4baa-49b4-175559f54594,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a36addddbc6e667b0c7819eaee922d42fa7bd7d8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/951196,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,第一高等学校旧蔵資料,honchoseiki-001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0e0b56f7-9f6d-4baa-49b4-175559f54594/manifest,,,,,12
本朝世紀 1 承平五年〈自五月 至六月〉,5丁。宮内庁書陵部伏見宮本(巻1)https://shoryobu.kunaicho.go.jp/Toshoryo/Detail/1000646460001,三:い:30,ホンチョウセイキ 1,,,,,,,藤原通憲,[江戸時代],[18世紀],29.6×20.6cm,和古書,日本語,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ecec314e-0929-2b32-17ca-f71252994dc5.json,ecec314e-0929-2b32-17ca-f71252994dc5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko/document/ecec314e-0929-2b32-17ca-f71252994dc5,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/82066dab0eea7b3ec821754c1676c0d38a244387.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/951195,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,第一高等学校旧蔵資料,honchoseiki-002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ecec314e-0929-2b32-17ca-f71252994dc5/manifest,,,,,11
本朝世紀 2 天慶元年〈自七月 至十二月〉,42丁。校訂傍注を多数写し、欠落の空行を設ける(刊本では字数に換算)。,三:い:30,ホンチョウセイキ 2,,,,,,,藤原通憲,[江戸時代],[18世紀],29.6×20.6cm,和古書,日本語,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/21b64497-333e-8f50-9095-19fea4e461d7.json,21b64497-333e-8f50-9095-19fea4e461d7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko/document/21b64497-333e-8f50-9095-19fea4e461d7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0a22b5f2941ee8d262a54d3bac0a03e54ac05da8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/951194,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,第一高等学校旧蔵資料,honchoseiki-003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/21b64497-333e-8f50-9095-19fea4e461d7/manifest,,,,,48
本朝世紀 3 天慶二年〈自四月 至閏七月〉,11丁。宮内庁書陵部伏見宮本(巻2)https://shoryobu.kunaicho.go.jp/Toshoryo/Detail/1000646460002,三:い:30,ホンチョウセイキ 3,,,,,,,藤原通憲,[江戸時代],[18世紀],29.6×20.6cm,和古書,日本語,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ddae469f-1e27-466b-3d4a-9aa2e07d2081.json,ddae469f-1e27-466b-3d4a-9aa2e07d2081,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko/document/ddae469f-1e27-466b-3d4a-9aa2e07d2081,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/029e428a92d8f770036efcb3b52459683f592152.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/951193,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,第一高等学校旧蔵資料,honchoseiki-004,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ddae469f-1e27-466b-3d4a-9aa2e07d2081/manifest,,,,,17
本朝世紀 4 天慶二年〈自八月 至十二月〉,9丁。,三:い:30,ホンチョウセイキ 4,,,,,,,藤原通憲,[江戸時代],[18世紀],29.5×20.6cm,和古書,日本語,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2060d850-5519-2a21-10a8-726779cd0cff.json,2060d850-5519-2a21-10a8-726779cd0cff,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko/document/2060d850-5519-2a21-10a8-726779cd0cff,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bc2fd3062422dc6f2fa040012254cd1d81fd2ca5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/951192,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,第一高等学校旧蔵資料,honchoseiki-005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2060d850-5519-2a21-10a8-726779cd0cff/manifest,,,,,14
本朝世紀 5 天慶四年〈自七月 至十二月〉,47丁。,三:い:30,ホンチョウセイキ 5,,,,,,,藤原通憲,[江戸時代],[18世紀],29.5×20.7cm,和古書,日本語,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0a9d8505-38bd-2d1c-346d-48d36c966286.json,0a9d8505-38bd-2d1c-346d-48d36c966286,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko/document/0a9d8505-38bd-2d1c-346d-48d36c966286,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7af6d4b369a78d5d49b3345b2bfb36dd10e2eb78.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/951191,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,第一高等学校旧蔵資料,honchoseiki-006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0a9d8505-38bd-2d1c-346d-48d36c966286/manifest,,,,,53
本朝世紀 6 天慶五年〈三月 四月〉,24丁。,三:い:30,ホンチョウセイキ 6,,,,,,,藤原通憲,[江戸時代],[18世紀],29.6×21.0cm,和古書,日本語,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/da0ed0ed-8fca-37f8-92c7-699756f81907.json,da0ed0ed-8fca-37f8-92c7-699756f81907,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko/document/da0ed0ed-8fca-37f8-92c7-699756f81907,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/093c978113d039d443da09e050bdaa671a467c4b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/951190,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,第一高等学校旧蔵資料,honchoseiki-007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/da0ed0ed-8fca-37f8-92c7-699756f81907/manifest,,,,,30
本朝世紀 7 天慶五年〈自二月 至五月〉,6丁。,三:い:30,ホンチョウセイキ 7,,,,,,,藤原通憲,[江戸時代],[18世紀],29.6×20.9cm,和古書,日本語,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bd799d9b-5e87-071e-2fd0-187469780a44.json,bd799d9b-5e87-071e-2fd0-187469780a44,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko/document/bd799d9b-5e87-071e-2fd0-187469780a44,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bb10aaa44162e2862e40c97d527e912078e28dd4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/951189,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,第一高等学校旧蔵資料,honchoseiki-008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bd799d9b-5e87-071e-2fd0-187469780a44/manifest,,,,,12
