タイトル,資料番号,サブコレクション,内容分類,資料分類,年月日,印刷分類,出版事項等,縦×横（cm）,別タイトル,備考,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,コレクション,IIIFマニフェストURI,ソート用項目,西暦,# of media
dcterms:title,dcterms:identifier,bibo:volume,dcterms:subject,dcterms:type,dcterms:date,dcterms:format,dcterms:publisher,dcterms:extent,dcterms:alternative,archiveshub:note,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,uterms:databaseLabel,uterms:manifestUri,uterms:sort,uterms:year,772
早飛脚廻りにてくわしき所本しらべ大地震,I-01-001,石本コレクションI,災害,かわら版,嘉永7年6月4日,木版(多色),,35×49,,,2677072b-e4ee-4486-9132-8e3ca0ff918b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/2677072b-e4ee-4486-9132-8e3ca0ff918b,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88381/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81897,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2677072b-e4ee-4486-9132-8e3ca0ff918b/manifest,0001,1854,1
江戸大地震,I-01-002,石本コレクションI,災害,かわら版,安政2年10月2日,木版(墨一色),,45×67,,,d48c5ddf-11b3-44c7-90bb-63dd629d424d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/d48c5ddf-11b3-44c7-90bb-63dd629d424d,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88382/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81888,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d48c5ddf-11b3-44c7-90bb-63dd629d424d/manifest,0002,1855,1
関東大地震并處々出火細見,I-01-003,石本コレクションI,災害,かわら版,安政2年10月2日,木版(墨一色),,55.5×71.5,,,9b72b0d4-19d7-44f0-9c49-880d19ee1ba7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/9b72b0d4-19d7-44f0-9c49-880d19ee1ba7,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88383/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81895,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9b72b0d4-19d7-44f0-9c49-880d19ee1ba7/manifest,0003,1855,1
聞書諸国大地震并出火,I-01-004,石本コレクションI,災害,かわら版,嘉永7年6月14日,木版(墨一色),,32×41.5,,,b5a79fc7-205a-4bd5-ac4c-8d8ecb3dacee,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/b5a79fc7-205a-4bd5-ac4c-8d8ecb3dacee,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88384/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81865,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b5a79fc7-205a-4bd5-ac4c-8d8ecb3dacee/manifest,0004,1854,1
江戸大地しんの図,I-01-005,石本コレクションI,災害,かわら版,安政2年10月2日,木版(多色),,29.5×39,,,38b5238a-5527-4a46-bfd7-fa93a54b0064,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/38b5238a-5527-4a46-bfd7-fa93a54b0064,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88385/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81953,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/38b5238a-5527-4a46-bfd7-fa93a54b0064/manifest,0005,1855,1
東北海岸の海嘯,I-01-006,石本コレクションI,災害,かわら版,明治29年6月23日,木版(多色),発行人 本郷区丸山新町34 原田音十郎,24×66,,,9dde6b75-31fb-41b9-97d2-96170743a23c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/9dde6b75-31fb-41b9-97d2-96170743a23c,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88386/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81949,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9dde6b75-31fb-41b9-97d2-96170743a23c/manifest,0006,1896,1
江戸大地震出火場所附,I-01-007,石本コレクションI,災害,かわら版,安政2年10月2日,木版(墨一色),,35×43.5,,同資料:I-01-036|被害絵図・情報・お救いなど,8c503b43-1239-4247-b4a3-b0da5e89ca93,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/8c503b43-1239-4247-b4a3-b0da5e89ca93,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88387/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81761,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8c503b43-1239-4247-b4a3-b0da5e89ca93/manifest,0007,1855,2
諸国大地震之図,I-01-008,石本コレクションI,災害,かわら版,嘉永7年11月4日,木版(墨一色),,48×72,,,f918966f-69f1-48e4-a4b7-170bf9f52af1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/f918966f-69f1-48e4-a4b7-170bf9f52af1,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88388/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81527,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f918966f-69f1-48e4-a4b7-170bf9f52af1/manifest,0008,1854,1
関東江戸大地震并大火方角場所附,I-01-009,石本コレクションI,災害,かわら版,安政2年10月2日,木版(多色),,35.5×50,,同資料:I-01-025,d51d2544-51cd-4df1-9e05-d82831e3114c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/d51d2544-51cd-4df1-9e05-d82831e3114c,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88389/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81969,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d51d2544-51cd-4df1-9e05-d82831e3114c/manifest,0009,1855,1
