タイトル,説明,アイテム数,日付,Publisher,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcterms:description,dcterms:extent,dcterms:date,dcterms:publisher,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,5958
成宗実録 第1帙 第1冊 巻51乙未6年(1475)正月,,,,朝鮮王朝実録画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8edec05c-abbc-410f-a8ae-66d0ec72995c.json,8edec05c-abbc-410f-a8ae-66d0ec72995c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/jitsuroku/page/home,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/jitsuroku/document/8edec05c-abbc-410f-a8ae-66d0ec72995c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/19483/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/19483,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,東京大学総合図書館旧蔵朝鮮王朝実録画像データベース,001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8edec05c-abbc-410f-a8ae-66d0ec72995c/manifest,,,,,28
成宗実録 第1帙 第1冊 巻52乙未6年(1475)2月,,,,朝鮮王朝実録画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0316e957-5179-4782-b4c2-c0297638f1a6.json,0316e957-5179-4782-b4c2-c0297638f1a6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/jitsuroku/page/home,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/jitsuroku/document/0316e957-5179-4782-b4c2-c0297638f1a6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/15882/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/15882,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,東京大学総合図書館旧蔵朝鮮王朝実録画像データベース,002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0316e957-5179-4782-b4c2-c0297638f1a6/manifest,,,,,34
成宗実録 第1帙 第1冊 巻53乙未6年(1475)3月,,,,朝鮮王朝実録画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6d9db582-7be8-468a-92b5-00cd2285051b.json,6d9db582-7be8-468a-92b5-00cd2285051b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/jitsuroku/page/home,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/jitsuroku/document/6d9db582-7be8-468a-92b5-00cd2285051b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/18125/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/18125,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,東京大学総合図書館旧蔵朝鮮王朝実録画像データベース,003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6d9db582-7be8-468a-92b5-00cd2285051b/manifest,,,,,12
成宗実録 第1帙 第1冊 巻54乙未6年(1475)4月,,,,朝鮮王朝実録画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7eccfbd6-347e-47d6-807f-e51ad56d240e.json,7eccfbd6-347e-47d6-807f-e51ad56d240e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/jitsuroku/page/home,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/jitsuroku/document/7eccfbd6-347e-47d6-807f-e51ad56d240e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/19053/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/19053,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,東京大学総合図書館旧蔵朝鮮王朝実録画像データベース,004,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7eccfbd6-347e-47d6-807f-e51ad56d240e/manifest,,,,,17
成宗実録 第1帙 第1冊 巻55乙未6年(1475)5月,,,,朝鮮王朝実録画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0c42d50e-d609-48a5-9419-0384526fc8a7.json,0c42d50e-d609-48a5-9419-0384526fc8a7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/jitsuroku/page/home,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/jitsuroku/document/0c42d50e-d609-48a5-9419-0384526fc8a7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/16032/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/16032,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,東京大学総合図書館旧蔵朝鮮王朝実録画像データベース,005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0c42d50e-d609-48a5-9419-0384526fc8a7/manifest,,,,,22
成宗実録 第1帙 第1冊 巻56乙未6年(1475)6月,,,,朝鮮王朝実録画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d8781ede-7ec4-434b-bdc2-375b70b23f7c.json,d8781ede-7ec4-434b-bdc2-375b70b23f7c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/jitsuroku/page/home,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/jitsuroku/document/d8781ede-7ec4-434b-bdc2-375b70b23f7c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/21501/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/21501,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,東京大学総合図書館旧蔵朝鮮王朝実録画像データベース,006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d8781ede-7ec4-434b-bdc2-375b70b23f7c/manifest,,,,,19
成宗実録 第1帙 第2冊 巻57乙未6年(1475)7月,,,,朝鮮王朝実録画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/72ed1660-7a51-44dd-80dc-70ab1fb7f9f8.json,72ed1660-7a51-44dd-80dc-70ab1fb7f9f8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/jitsuroku/page/home,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/jitsuroku/document/72ed1660-7a51-44dd-80dc-70ab1fb7f9f8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/18572/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/18572,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,東京大学総合図書館旧蔵朝鮮王朝実録画像データベース,007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/72ed1660-7a51-44dd-80dc-70ab1fb7f9f8/manifest,,,,,20
成宗実録 第1帙 第2冊 巻58乙未6年(1475)8月,,,,朝鮮王朝実録画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/524aa62d-2cd9-4b39-8e2a-861ff6a52257.json,524aa62d-2cd9-4b39-8e2a-861ff6a52257,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/jitsuroku/page/home,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/jitsuroku/document/524aa62d-2cd9-4b39-8e2a-861ff6a52257,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/17568/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/17568,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,東京大学総合図書館旧蔵朝鮮王朝実録画像データベース,008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/524aa62d-2cd9-4b39-8e2a-861ff6a52257/manifest,,,,,18
成宗実録 第1帙 第2冊 巻59乙未6年(1475)9月,,,,朝鮮王朝実録画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d61ce9e9-6d6a-49e6-8f5d-7e396b1296a9.json,d61ce9e9-6d6a-49e6-8f5d-7e396b1296a9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/jitsuroku/page/home,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/jitsuroku/document/d61ce9e9-6d6a-49e6-8f5d-7e396b1296a9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/21460/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/21460,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,東京大学総合図書館旧蔵朝鮮王朝実録画像データベース,009,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d61ce9e9-6d6a-49e6-8f5d-7e396b1296a9/manifest,,,,,40
