資料名	資料名冒頭ヨミ	成立年次1	数量	成立年次2（複数年にわたる場合）	トップフォルダ	階層記号	階層名	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
dcterms:title	dcndl:titleTranscription	dcterms:date	dcterms:extent	archiveshub:dates	archiveshub:folder	archiveshub:level	archiveshub:scopecontent	iiif viewer	bibo:identifier	dcterms:isPartOf	dcterms:relation	dcterms:rights	foaf:thumbnail	rdfs:seeAlso	sc:attributionLabel	sc:viewingDirection	sc:viewingHint	uterms:databaseLabel	uterms:sort	uterms:year	uterms:manifestUri	uterms:searchApiUri	uterms:annotedManifest	uterms:linkToTapas	uterms:rtf	1249
徳育について	トクイク		1枚		第一高等学校関係文書	一高01	一高関係草稿(一)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/81c23893-9cbd-1145-0878-f24955c810ce.json	81c23893-9cbd-1145-0878-f24955c810ce	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/81c23893-9cbd-1145-0878-f24955c810ce	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/eef9a9fd353239de2f7c9d7311b1c2bb6923b998.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539037	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0001		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81c23893-9cbd-1145-0878-f24955c810ce/manifest					4
学生の兵役に関する文書	ガクセイ		8枚		第一高等学校関係文書	一高01	一高関係草稿(一)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c9e6b399-61d2-2f90-69a8-2c1d6c590286.json	c9e6b399-61d2-2f90-69a8-2c1d6c590286	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/c9e6b399-61d2-2f90-69a8-2c1d6c590286	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/347a86f205d1b09fee9e2834d41a4051fbe28dee.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539038	東京大学工学・情報理工学図書館工3号館図書室 Engineering Bldg. 3 Library, Libraries for Engineering and Information Science & Technology, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0002		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c9e6b399-61d2-2f90-69a8-2c1d6c590286/manifest					16
プッチールの銅像寄付に際しての謝辞 付・プッチールの略歴	プッチール	1902.11.09	3枚		第一高等学校関係文書	一高01	一高関係草稿(一)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/78ec8305-7465-915e-96f7-53f13cda2460.json	78ec8305-7465-915e-96f7-53f13cda2460	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/78ec8305-7465-915e-96f7-53f13cda2460	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/eed8b88122d76b7d8d3f7308662aafc7bc373f30.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539039	東京大学工学・情報理工学図書館工3号館図書室 Engineering Bldg. 3 Library, Libraries for Engineering and Information Science & Technology, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0003		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/78ec8305-7465-915e-96f7-53f13cda2460/manifest					3
菊池謙二郎送別会の案内状草稿と会の出欠表	キクチケンジロウ		1枚		第一高等学校関係文書	一高01	一高関係草稿(一)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5fe5f99f-7706-2338-9130-94b967ab4693.json	5fe5f99f-7706-2338-9130-94b967ab4693	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/5fe5f99f-7706-2338-9130-94b967ab4693	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2bcee404509e6cb0f04824e4db14ba0ff19f2a19.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539040	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0004		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5fe5f99f-7706-2338-9130-94b967ab4693/manifest					2
入学式式辞(一)	ニュウガクシキ	1904	4枚		第一高等学校関係文書	一高02	一高関係草稿(二)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ef7a8e25-9832-437b-608a-11dac678245b.json	ef7a8e25-9832-437b-608a-11dac678245b	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/ef7a8e25-9832-437b-608a-11dac678245b	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0a3eaebcae3cf9b571e692ee29ccecad69dcf3cf.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539041	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0005		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ef7a8e25-9832-437b-608a-11dac678245b/manifest					8
入学式式辞(二)	ニュウガクシキ		1綴		第一高等学校関係文書	一高02	一高関係草稿(二)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/63013625-4cb3-496b-58f4-cf1d0dd36219.json	63013625-4cb3-496b-58f4-cf1d0dd36219	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/63013625-4cb3-496b-58f4-cf1d0dd36219	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/880792a94254db57ac5d832733bf6492f2e72c92.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539042	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0006		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/63013625-4cb3-496b-58f4-cf1d0dd36219/manifest					12
入学式式辞(三)	ニュウガクシキ	1899	1綴		第一高等学校関係文書	一高02	一高関係草稿(二)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c934a73c-3caa-2b17-2ff0-27e98285883a.json	c934a73c-3caa-2b17-2ff0-27e98285883a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/c934a73c-3caa-2b17-2ff0-27e98285883a	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f1a4e80f29c846e202c1cd76d94fde73b14432d4.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539043	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0007		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c934a73c-3caa-2b17-2ff0-27e98285883a/manifest					6
卒業式式辞(一)	ソツギョウシキ	1900	1巻		第一高等学校関係文書	一高02	一高関係草稿(二)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bbb1ad23-7b93-5935-636b-10495095233b.json	bbb1ad23-7b93-5935-636b-10495095233b	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/bbb1ad23-7b93-5935-636b-10495095233b	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f81e811fdf7ed55244b6da7b8754165321236410.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539044	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0008		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bbb1ad23-7b93-5935-636b-10495095233b/manifest					7
卒業式式辞(二)	ソツギョウシキ	1902	1綴		第一高等学校関係文書	一高02	一高関係草稿(二)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/775cacac-5c8a-8d81-1f81-18f08bfe433c.json	775cacac-5c8a-8d81-1f81-18f08bfe433c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/775cacac-5c8a-8d81-1f81-18f08bfe433c	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4cb9af6d5085752783a458579f7174469669d5f7.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539045	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0009		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/775cacac-5c8a-8d81-1f81-18f08bfe433c/manifest					8
