書名,請求記号,書名ヨミ,著者,冊数,出版者,出版年,種別,言語,注記,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:callNumber,dcndl:titleTranscription,dcterms:creator,dcterms:extent,dcterms:publisher,dcterms:issued,dcndl:materialType,dcterms:language,archiveshub:note,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,165
旧図書館外観(玄関) [1],VI-1-1:5,キュウトショカン ガイカン,,1枚,,不明,図書,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/49201dc0-193f-63ea-5c00-0e644bad3a90.json,49201dc0-193f-63ea-5c00-0e644bad3a90,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanshi/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanshi/document/49201dc0-193f-63ea-5c00-0e644bad3a90,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/431f03aceb864653ac277943005436465ecba1b1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1377309,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵館史資料コレクション,0001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/49201dc0-193f-63ea-5c00-0e644bad3a90/manifest,,,,,1
旧図書館外観(玄関) [2],VI-1-1:5,キュウトショカン ガイカン,,1枚,,不明,図書,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a3eaf903-1781-13bc-52a8-746e58b854e0.json,a3eaf903-1781-13bc-52a8-746e58b854e0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanshi/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanshi/document/a3eaf903-1781-13bc-52a8-746e58b854e0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d7b8f094a0648d97c26111c3ddb37eb522628605.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1377310,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵館史資料コレクション,0002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a3eaf903-1781-13bc-52a8-746e58b854e0/manifest,,,,,1
旧図書館外観 [3],VI-1-1:5,キュウトショカン ガイカン,,1枚,,不明,図書,,台紙付き,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/fc1055d9-481b-89f9-7611-8f9dde335e70.json,fc1055d9-481b-89f9-7611-8f9dde335e70,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanshi/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanshi/document/fc1055d9-481b-89f9-7611-8f9dde335e70,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4a92186cabc4a6de7bded96116e981e2348a80cb.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1377311,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵館史資料コレクション,0003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fc1055d9-481b-89f9-7611-8f9dde335e70/manifest,,,,,3
旧図書館外観 [4],VI-1-1:5,キュウトショカン ガイカン,,1枚,,不明,図書,,台紙付き,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3aef5489-2842-76c1-9a6b-8e4e446414ac.json,3aef5489-2842-76c1-9a6b-8e4e446414ac,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanshi/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanshi/document/3aef5489-2842-76c1-9a6b-8e4e446414ac,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/36011fbea36f3d40572ed32c230ec847ceec45a1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1377312,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵館史資料コレクション,0004,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3aef5489-2842-76c1-9a6b-8e4e446414ac/manifest,,,,,3
書庫の残骸,VI-1-1:8,ショコノザンガイ,,1枚,,不明,図書,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f6224a4b-19e6-a392-563f-7d6111ce6dc6.json,f6224a4b-19e6-a392-563f-7d6111ce6dc6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanshi/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanshi/document/f6224a4b-19e6-a392-563f-7d6111ce6dc6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/766940c42a242ec55757ee5bd0dd1c0e9d2fade1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1377313,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵館史資料コレクション,0005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f6224a4b-19e6-a392-563f-7d6111ce6dc6/manifest,,,,,1
図書館事務室及び書庫の残骸,VI-1-1:8,トショカンジムシツオヨビショコノザンガイ,,1枚,,不明,図書,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9cbd9552-1333-26b2-1084-39c3300233c8.json,9cbd9552-1333-26b2-1084-39c3300233c8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanshi/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanshi/document/9cbd9552-1333-26b2-1084-39c3300233c8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a8d04928e74d9c8883d66f78b81cf846a224c734.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1377314,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵館史資料コレクション,0006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9cbd9552-1333-26b2-1084-39c3300233c8/manifest,,,,,1
図書館事務室の残骸,VI-1-1:8,トショカンジムシツノザンガイ,,1枚,,不明,図書,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7554e977-20a7-9957-6e84-f41f573a73fd.json,7554e977-20a7-9957-6e84-f41f573a73fd,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanshi/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanshi/document/7554e977-20a7-9957-6e84-f41f573a73fd,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f6c230c636b15a90d209fc977f6a4934091b588d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1377315,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵館史資料コレクション,0007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7554e977-20a7-9957-6e84-f41f573a73fd/manifest,,,,,1
旧図書館閲覧室の残骸,VI-1-1:8,キュウトショカンエツランシツノザンガイ,,1枚,,不明,図書,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/98d5d37e-9f9e-5c6e-a66d-db38da374cc0.json,98d5d37e-9f9e-5c6e-a66d-db38da374cc0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanshi/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanshi/document/98d5d37e-9f9e-5c6e-a66d-db38da374cc0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/efa7f67f7e70bab6b8ff53e17486d2ca60ee2bb2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1377316,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵館史資料コレクション,0008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/98d5d37e-9f9e-5c6e-a66d-db38da374cc0/manifest,,,,,1
"The disaster of September 1st, 1923 as it affected",VI-1-2:2,,,1冊,[The Library],[1924?],図書,日本語,形態: [51] leaves of plates|総合図書館・保存書庫に所蔵あり(請求記号 T350:624),http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7434e3b3-2bc3-2355-31df-e669877709e0.json,7434e3b3-2bc3-2355-31df-e669877709e0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanshi/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanshi/document/7434e3b3-2bc3-2355-31df-e669877709e0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/31e6c708623ac362ca1b5693b493c43fee511386.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1377317,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵館史資料コレクション,0009,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7434e3b3-2bc3-2355-31df-e669877709e0/manifest,,,,,62
