タイトル,書名よみ,形態,他の書名,注記,分類,OPAC,請求記号,Source Identifier,Date,Publisher,Type,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:transcription,dcterms:extent,dcndl:alternative,archiveshub:note,dcterms:subject,dcterms:references,dcndl:callNumber,dcndl:sourceIdentifier,dcterms:date,dcterms:publisher,dcterms:type,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,50331
秋の夜長物語,あきのよながものがたり,28丁 ; 28cm,,"刊記: 寛永十九年, 安田十兵衞",御伽草子,,E22:776:1|A00:霞亭:1,東京大学総合図書館霞亭文庫目録1,寛永十九年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/33a277a0-2b7d-4c4c-a3f2-25486e5c3e3a.json,33a277a0-2b7d-4c4c-a3f2-25486e5c3e3a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/33a277a0-2b7d-4c4c-a3f2-25486e5c3e3a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/921e7ad69fbbf6cd17c95670af0f6ff1be8c2ec6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39570,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0001,1642,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/33a277a0-2b7d-4c4c-a3f2-25486e5c3e3a/manifest,,,,,31
あまやとり,あまやどり,"10, 9丁 : 挿絵 ; 19cm",,"刊記: 享保十三年, 横山町近江屋九兵衞開板",御伽草子,,E22:776:2|A00:霞亭:2,東京大学総合図書館霞亭文庫目録2,享保十三年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/78744765-69ae-4d41-a059-36caaee1053e.json,78744765-69ae-4d41-a059-36caaee1053e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/78744765-69ae-4d41-a059-36caaee1053e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b28b34ae955c07addf2eb887c971ab5535c8f134.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39571,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0002,1728,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/78744765-69ae-4d41-a059-36caaee1053e/manifest,,,,,23
あめ若みこ忍び物語,あめわかみこしのびものがたり,2巻1冊 : 挿絵 ; 18cm,,刊記: 西むら傳兵衞改刻|刊年: [宝永正徳頃],御伽草子,,E22:776:3|A00:霞亭:3,東京大学総合図書館霞亭文庫目録3,,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/be26454c-85a2-4039-8832-a9378171ae09.json,be26454c-85a2-4039-8832-a9378171ae09,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/be26454c-85a2-4039-8832-a9378171ae09,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/27cdcaf6f78dfdbc9c8a991481e54968b56ab686.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39572,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/be26454c-85a2-4039-8832-a9378171ae09/manifest,,,,,20
いつみしきふ,いずみしきぶ,14丁半 : 挿絵 ; 17×24cm,,,御伽草子,,E22:776:4|A00:霞亭:4,東京大学総合図書館霞亭文庫目録4,,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/407546b6-30de-4d38-98bb-636e3ffcf9e0.json,407546b6-30de-4d38-98bb-636e3ffcf9e0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/407546b6-30de-4d38-98bb-636e3ffcf9e0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c0d7a064180fc38a27ed6638db61576cfb4505a2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39573,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0004,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/407546b6-30de-4d38-98bb-636e3ffcf9e0/manifest,,,,,17
一寸法師,いっすんぼうし,13丁 : 挿絵 ; 17×23cm,,,御伽草子,,E22:776:5|A00:霞亭:5,東京大学総合図書館霞亭文庫目録5,,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/448bf698-78a7-4d2d-8d0c-ea0c00d276e2.json,448bf698-78a7-4d2d-8d0c-ea0c00d276e2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/448bf698-78a7-4d2d-8d0c-ea0c00d276e2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7eb27c1ffc9dcc3f187e7f6be83d3ab6a17bb762.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39574,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/448bf698-78a7-4d2d-8d0c-ea0c00d276e2/manifest,,,,,16
うらしま太郎物語,うらしまたろうものがたり,40丁 : 挿絵 ; 11cm,ゑ入うらしま太郎物語,「ゑ入うらしま太郎物語」は題簽から,御伽草子,,E22:776:6|A00:霞亭:6,東京大学総合図書館霞亭文庫目録6,,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/07e6913b-ed86-4164-ab2d-08632c74a01e.json,07e6913b-ed86-4164-ab2d-08632c74a01e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/07e6913b-ed86-4164-ab2d-08632c74a01e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3326fe5ea4f9b0fc3a3c6bdcbcb7363d4083027d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39575,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/07e6913b-ed86-4164-ab2d-08632c74a01e/manifest,,,,,43
およふのあま,おようのあま,2巻2冊 : 挿絵 ; 16×23cm,,原本は写本,御伽草子,,E22:776:7|A00:霞亭:7,東京大学総合図書館霞亭文庫目録7,,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ba968611-b058-4ef3-be59-34a851e64513.json,ba968611-b058-4ef3-be59-34a851e64513,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/ba968611-b058-4ef3-be59-34a851e64513,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c3f30d96aef13f7a5e6e85e9fd8c95db1ea76110.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39576,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ba968611-b058-4ef3-be59-34a851e64513/manifest,,,,,46
からいとさうし,からいとぞうし,2巻2冊 : 挿絵 ; 24cm,,刊年: [寛永頃],御伽草子,,E22:776:8|A00:霞亭:8,東京大学総合図書館霞亭文庫目録8,,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ce041074-bdd3-404a-aeae-f9b828208e4a.json,ce041074-bdd3-404a-aeae-f9b828208e4a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/ce041074-bdd3-404a-aeae-f9b828208e4a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bb5fa76476822568808718aafe4af094096c17f4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39577,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ce041074-bdd3-404a-aeae-f9b828208e4a/manifest,,,,,42
小敦盛,こあつもり,23丁 : 挿絵 ; 16×23cm,,,御伽草子,,E22:776:9|A00:霞亭:9,東京大学総合図書館霞亭文庫目録9,,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4e43b186-9275-4f09-ba58-2368f5659f43.json,4e43b186-9275-4f09-ba58-2368f5659f43,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/4e43b186-9275-4f09-ba58-2368f5659f43,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0cf023409b80f7a1dc60cadbcf301c6ceb09b018.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39578,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0009,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4e43b186-9275-4f09-ba58-2368f5659f43/manifest,,,,,26
小町歌あらそひ,こまちうたあらそい,2巻2冊 : 挿絵 ; 27cm,,"刊記: 寛文六暦, 松會改板",御伽草子,,E22:776:10|A00:霞亭:10,東京大学総合図書館霞亭文庫目録10,寛文六年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bfa8f2bb-634d-4485-a488-9222e2029d59.json,bfa8f2bb-634d-4485-a488-9222e2029d59,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/bfa8f2bb-634d-4485-a488-9222e2029d59,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8cdfe97d5b1c0f37fc51498a8806c777d8b36f9c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39579,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0010,1666,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bfa8f2bb-634d-4485-a488-9222e2029d59/manifest,,,,,25
