タイトル,タイトル（ヨミ）,請求記号,刊行年月日（和暦）,刊行年（西暦）,注記,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:titleTranscription,dcndl:callNumber,dcterms:issued,uterms:year,dcterms:description,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,7055
竹本筑後掾之画,タケモトチクゴノジョウノエ,090:1:85,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/75dcc7e1-3ed6-090f-2351-158fd14f913b.json,75dcc7e1-3ed6-090f-2351-158fd14f913b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/75dcc7e1-3ed6-090f-2351-158fd14f913b,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7d87c77dab081ef7aec9e4c02fb8f7d313a4fdb9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1258150,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/75dcc7e1-3ed6-090f-2351-158fd14f913b/manifest,,,,,2
飛可恵(ひかえ)長(嘉永3年9月9日),ヒカエチョウ カエイ 3ネン 9ガツ 9ニチ,090:1:井1,嘉永3年9月9日,1850,竹小くま,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c7c71b15-6fa5-6acf-8955-59558dd7815f.json,c7c71b15-6fa5-6acf-8955-59558dd7815f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/c7c71b15-6fa5-6acf-8955-59558dd7815f,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6afe4d90374fc8ff9d74febf466f38738ed93dca.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406773,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0002,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c7c71b15-6fa5-6acf-8955-59558dd7815f/manifest,,,,,34
諸事控(嘉永5年4月),ショジ ヒカエ カエイ 5ネン 4ガツ,090:1:井2,嘉永5年4月,1852,竹本長子太夫(16才),http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/16282577-60f5-92a1-7b19-3a631f522ada.json,16282577-60f5-92a1-7b19-3a631f522ada,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/16282577-60f5-92a1-7b19-3a631f522ada,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/557a7d0ebcad92e5eb23c93c549ec2f808655072.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406772,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0003,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/16282577-60f5-92a1-7b19-3a631f522ada/manifest,,,,,69
諸事控(嘉永5年10月),ショジ ヒカエ カエイ 5ネン 10ガツ,090:1:井3,嘉永5年10月,1852,竹本長子太夫(16才),http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8e84dd4b-86af-1bd5-2f73-e2d2491d699d.json,8e84dd4b-86af-1bd5-2f73-e2d2491d699d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/8e84dd4b-86af-1bd5-2f73-e2d2491d699d,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ca533e6ef580c56edda175bfa8cffb0ca83a7b5e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406771,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0004,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8e84dd4b-86af-1bd5-2f73-e2d2491d699d/manifest,,,,,34
日記帳(嘉永5年11月),ニッキチョウ カエイ 5ネン 11ガツ,090:1:井4,嘉永5年11月,1852,竹本長子太夫(16才),http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/31d1a7d6-5ca2-13e7-518d-7281f8f4a283.json,31d1a7d6-5ca2-13e7-518d-7281f8f4a283,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/31d1a7d6-5ca2-13e7-518d-7281f8f4a283,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d87cc2345988eea3d39fe30897d88acddbcd1d4d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406770,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0005,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/31d1a7d6-5ca2-13e7-518d-7281f8f4a283/manifest,,,,,75
日記帳(嘉永6年6月~嘉永7年),ニッキチョウ カエイ 6ネン 6ガツ カエイ 7ネン,090:1:井5,嘉永6年6月~嘉永7年,1852-1853,竹本長子太夫 虫食,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ce5d8069-4c0c-4417-3dda-7e930618a0db.json,ce5d8069-4c0c-4417-3dda-7e930618a0db,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/ce5d8069-4c0c-4417-3dda-7e930618a0db,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1816e324e52d8063e7d3ea3b36c5b207ff94ebb1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406769,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0006,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ce5d8069-4c0c-4417-3dda-7e930618a0db/manifest,,,,,87
世呂津飛可恵(よろづひかえ)長(嘉永6年11月),ヨロズ ヒカエチョウ カエイ 6ネン 11ガツ,090:1:井6,嘉永6年11月,1852,大坂幸町 嶋傳,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5ec3e25f-52e6-963e-71e3-22c602a70ae6.json,5ec3e25f-52e6-963e-71e3-22c602a70ae6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/5ec3e25f-52e6-963e-71e3-22c602a70ae6,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ccfe0b9ca4419051a0c2223ad0642fbd1af419f9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406768,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0007,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5ec3e25f-52e6-963e-71e3-22c602a70ae6/manifest,,,,,17
[諸事控帳](安政元年),ショジ ヒカエチョウ アンセイ ガンネン,090:1:井7,安政元年,1854,書名は整理者による,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3431191c-4b33-0ed2-0ec0-79d6e2a65a6c.json,3431191c-4b33-0ed2-0ec0-79d6e2a65a6c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/3431191c-4b33-0ed2-0ec0-79d6e2a65a6c,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d274236f58a4e829e479af8086908be6270d5d28.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406767,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0008,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3431191c-4b33-0ed2-0ec0-79d6e2a65a6c/manifest,,,,,43
地震大津浪記(安政元年),ジシン オオツナミキ アンセイ ガンネン,090:1:井9,安政元年,1854,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a5ff1ab1-27e7-60db-0b84-f7adecfd6ac4.json,a5ff1ab1-27e7-60db-0b84-f7adecfd6ac4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/a5ff1ab1-27e7-60db-0b84-f7adecfd6ac4,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a58f9344dd056798269252795ef842b69e1f7215.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406766,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0009,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a5ff1ab1-27e7-60db-0b84-f7adecfd6ac4/manifest,,,,,34
