タイトル,年月日,本文タイトル（原本）,巻頭目録タイトル（原本）,本文タイトル（標点本）,巻頭目録タイトル（標点本）,冊,巻,条,画像（開始コマ）,請求記号,類,目,影印本,標点本,Date Created,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcterms:date,koumin:titleD,koumin:titleB,koumin:titleC,koumin:titleA,bibo:numVolumes,bibo:volume,koumin:jyo,dcterms:identifier,dcndl:callNumber,koumin:rui,koumin:moku,koumin:facsimile,koumin:mark,dcterms:created,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,3792
過失殺人絞罪收贖鈔三十三貫六伯文銅錢八貫四百文例,成化1.7.14,過失殺人絞罪收贖鈔三十三貫六伯文銅錢八貫四百文例,過失殺人絞罪收贖鈔三十三貫六伯文銅錢八貫四百文例/前件成化元年七月十四日陳言事,過失殺人絞罪收贖鈔三十三貫六佰文銅錢八貫四百文例,過失殺人絞罪收贖鈔三十三貫六佰文銅錢八貫四百文例/前件成化元年七月十四日陳言事,第1冊,卷1,第1條,0001-00016,A00:6290:1,五刑類,五刑,上-6上表,乙4-6(1-1),1465-070-14,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/920de018-cf14-4586-9f1b-771a4130c187.json,920de018-cf14-4586-9f1b-771a4130c187,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/920de018-cf14-4586-9f1b-771a4130c187,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4d49e6f7477270326d749321790024dfdaca7a19.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99286,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/920de018-cf14-4586-9f1b-771a4130c187/manifest,,,,,6
贖罪通行收鈔不准例,成化1.8.4,贖罪通行收鈔不准例,贖罪通行收鈔不准例/前件成化元年八月初四日建言民情利便事,贖罪通行收鈔不准例,贖罪通行收鈔不准例/前件成化元年八月初四日建言民情利便事,第1冊,卷1,第2條,0001-00021,A00:6290:1,五刑類,五刑,上-8下表,乙4-10(1-2),1465-080-04,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9fa3d3a0-014c-437d-b6f0-3a55db977a61.json,9fa3d3a0-014c-437d-b6f0-3a55db977a61,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/9fa3d3a0-014c-437d-b6f0-3a55db977a61,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/371d8125eeee2435ba4a62eaeb817dff09ba87ec.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99287,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9fa3d3a0-014c-437d-b6f0-3a55db977a61/manifest,,,,,2
在京雜犯死罪幷徒流笞杖納豆則例,成化2.2.8,在京雜犯死罪幷徒流笞杖納豆則例,在京雜犯罪徒流笞杖納豆則例/前件成化二年二月初八日思患預防事,在京雜犯死罪幷徒流笞杖納豆則例,在京雜犯[死]罪[幷]徒流笞杖納豆則例/前件成化二年二月初八日思患預防事,第1冊,卷1,第3條,0001-00023,A00:6290:1,五刑類,五刑,上-9下表,乙4-11(1-3),1466-020-08,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9186261a-1499-4ea0-aa7a-855857aef158.json,9186261a-1499-4ea0-aa7a-855857aef158,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/9186261a-1499-4ea0-aa7a-855857aef158,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3c3da89a8a59123147ef00d905915303182a47bd.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99288,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9186261a-1499-4ea0-aa7a-855857aef158/manifest,,,,,2
有力囚人般運水和炭例,成化2.2.12,有力囚人般運水和炭例,有力囚人搬運水和炭例/前件成化二年二月十二日急缺物料事,有力囚人搬運水和炭例,有力囚人搬運水和炭例/前件成化二年二月十二日急缺物料事,第1冊,卷1,第4條,0001-00025,A00:6290:1,五刑類,五刑,上-10下表,乙4-13(1-4),1466-020-12,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/aedd46ef-7ef7-48fe-9b4b-0dc6b29912d3.json,aedd46ef-7ef7-48fe-9b4b-0dc6b29912d3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/aedd46ef-7ef7-48fe-9b4b-0dc6b29912d3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5e5ae527d30170ab6bc5babd1c16cd6194ed9120.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99289,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/aedd46ef-7ef7-48fe-9b4b-0dc6b29912d3/manifest,,,,,2
法司審定有力囚犯問擬運磚運項不許捏稱無力奏要改撥做工例,成化3.3.20,法司審定有力囚犯問擬運磚運項不許捏稱無力奏要改撥做工例,法司審定有力囚犯問發運礙等項不許捏稱無力奏要改撥做工例/前件成化三年三月二十日乞恩事,法司審定有力囚犯問擬運磚(運)[等]項不許捏稱無力奏要改撥做工例,法司審定有力囚犯問擬運磚等項不許捏稱無力奏要改撥做工例/前件成化三年三月二十日乞恩事,第1冊,卷1,第5條,0001-00027,A00:6290:1,五刑類,五刑,上-11下表,乙4-14(1-5),1467-030-20,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ac722b79-6e60-470c-98c4-7361a38399b0.json,ac722b79-6e60-470c-98c4-7361a38399b0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/ac722b79-6e60-470c-98c4-7361a38399b0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d71a8902c0d20dea72718a6f1f61857363430d12.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99290,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ac722b79-6e60-470c-98c4-7361a38399b0/manifest,,,,,2
納馬贖罪照原運灰脚價折納例,成化2.3.23,納馬贖罪照原運灰脚價折納例,納馬贖罪照原灰脚慣折納例/前件成化二年三月二十三日區畫馬政事,納馬贖罪照原運灰脚價折納例,納馬贖罪照[運]原灰脚(慣)[價]折納例/前件成化二年三月二十三日區畫馬政事,第1冊,卷1,第6條,0001-00029,A00:6290:1,五刑類,五刑,上-12下表,乙4-15(1-6),1466-030-23,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9b29941f-9478-4885-9d12-948b6adf9e2d.json,9b29941f-9478-4885-9d12-948b6adf9e2d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/9b29941f-9478-4885-9d12-948b6adf9e2d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a1c56c29337f70d4d8085eaf5b5da9199c7abc52.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99291,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9b29941f-9478-4885-9d12-948b6adf9e2d/manifest,,,,,3
有力囚人折納紙箚例,成化2.4.23,有力囚人折納紙箚例,有力囚人折納紙箚例/前件成化二年四月二十三日公用紙箚事,有力囚人折納紙箚例,有力囚人折納紙箚例/前件成化二年四月二十三日公用紙箚事,第1冊,卷1,第7條,0001-00031,A00:6290:1,五刑類,五刑,上-13下表,乙4-17(1-7),1466-040-23,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e300a6c5-5705-4db7-a799-fe3396ac8818.json,e300a6c5-5705-4db7-a799-fe3396ac8818,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/e300a6c5-5705-4db7-a799-fe3396ac8818,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b446ad5ba6833e232ab4d05f3be3f7d0229f7eb1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99292,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e300a6c5-5705-4db7-a799-fe3396ac8818/manifest,,,,,2
有力囚人運石則例,成化4.3.7,有力囚人運石則例,有力囚人運石則例/前件成化四年三月初七日運石事,有力囚人運石則例,有力囚人運石則例/前件成化四年三月初七日運石事,第1冊,卷1,第8條,0001-00032,A00:6290:1,五刑類,五刑,上-14上表,乙4-18(1-8),1468-030-07,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/44b5c4a5-17c2-4df7-a65e-3ade186658f5.json,44b5c4a5-17c2-4df7-a65e-3ade186658f5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/44b5c4a5-17c2-4df7-a65e-3ade186658f5,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cbdcd6272a3e4a20f733adf6ced0843351fe264a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99293,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/44b5c4a5-17c2-4df7-a65e-3ade186658f5/manifest,,,,,2
在外問擬雜犯死罪以下囚犯有力愿納米者不分官吏軍民人等定擬就近倉分上納例,成化4.7.4,在外問擬雜犯死罪以下囚犯有力愿納米者不分官吏軍民人等定擬就近倉分上納例,在外問擬雜犯死罪以下囚犯有力愿納米者不分官吏軍民人等定撥就近倉分上納例/前件成化四年七月初四日納米贖罪事,在外問擬雜犯死罪以下囚犯有力願納米者不分官吏軍民人等定撥就近倉分上納例,在外問擬雜犯死罪以下囚犯有力願納米者不分官吏軍民人等定(擬)[撥]就近倉分上納例/前件成化四年七月初四日納米贖罪事,第1冊,卷1,第9條,0001-00034,A00:6290:1,五刑類,五刑,上-15上表,乙4-20(1-9),1468-070-04,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/163b5185-a7c5-454e-8aa2-ab5986960495.json,163b5185-a7c5-454e-8aa2-ab5986960495,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/163b5185-a7c5-454e-8aa2-ab5986960495,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2f0d7866de930f3b525f55b6da8100f1c2fba200.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99294,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/163b5185-a7c5-454e-8aa2-ab5986960495/manifest,,,,,3
