タイトル	タイトル	タイトルよみ	請求番号	和暦	地域	題種・題名	題種・題名よみ	作者名	作者名よみ	書誌備考	刊写	体裁	親書誌	大分類	中分類	小分類	月	日	西暦	月日	刊記	板元	元号	劇場	内題下	演奏者	統一劇場	刊年	興行人	内題下よみ	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
dcterms:title	kuroki:genponFurigana	dcndl:titleTranscription	dcndl:callNumber	uterms:year	dcterms:coverage	dcndl:alternative	dcndl:transcription	dcterms:creator	dcndl:creatorTranscription	dcterms:description	kuroki:kansya	kuroki:teisai	kuroki:parentDescription	kuroki:dai	kuroki:chu	kuroki:syo	kuroki:month	kuroki:day	kuroki:seireki	kuroki:monthAndDay	kuroki:kanki	kuroki:itamoto	kuroki:gengo	kuroki:gekijo	kuroki:naidai	kuroki:ensosya	kuroki:toitsugekijo	kuroki:kannen	kuroki:kogyonin	kuroki:naidaiYomi	iiif viewer	bibo:identifier	dcterms:isPartOf	dcterms:relation	dcterms:rights	foaf:thumbnail	rdfs:seeAlso	sc:attributionLabel	sc:viewingDirection	sc:viewingHint	uterms:databaseLabel	uterms:sort	uterms:manifestUri	uterms:searchApiUri	uterms:annotedManifest	uterms:linkToTapas	uterms:rtf	69713
-はながたみ		はながたみ	黒4133-0036-008			異本十寸見要集 (帙題)	いほんますみようしゅう				刊	半紙本。1冊合本。3丁。6行	[異本十寸見要集]	音曲	河東節	寄本	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/db212cda-005b-11ea-8d71-362b9e155667.json	db212cda-005b-11ea-8d71-362b9e155667	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/db212cda-005b-11ea-8d71-362b9e155667	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a700b36c40ad64f0356d4396de75fc51939685da.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/278414						https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/db212cda-005b-11ea-8d71-362b9e155667/manifest					4
新富座俳優評判記 初編 (序題)		しんとみざやくしゃひょうばんきしょへん	黒0963-0043-01	明治11						「演芸新聞社」の印記あり。	刊	横本。1冊。36丁半。20行		歌舞伎	評判記		12	00	1878	12・	明治十一年十一月十九日出版御届済 編輯兼出版人 日本橋区堀江町二丁目二番地平民 植木林之助	植木林之助	明治								http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/db212140-005b-11ea-8d71-362b9e155667.json	db212140-005b-11ea-8d71-362b9e155667	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/db212140-005b-11ea-8d71-362b9e155667	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e3697805ace522871f2ea9d48e3aa6408387804e.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279904						https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/db212140-005b-11ea-8d71-362b9e155667/manifest					40
道行丸い字 (外題)	みちゆきまるにいのもじ	みちゆきまるにいのもじ	黒4133-0050-T18	天保03	江戸	小野道風青柳硯 (大名題)|道行丸い字 (内題)	おののとうふうあおやぎずり|みちゆきまるにいのもじ			第二はん目大切。	刊	半紙本。1冊。2丁。9行		音曲	常磐津		01	00	1832	01・	正本板元 坂川平四郎	坂川平四郎	天保	河原崎座	常磐津小文字太夫直伝	太夫:常磐津 小文字太夫。太夫連名あり。三弦:岸沢 式佐ほか。	河原崎座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/db212e92-005b-11ea-8d71-362b9e155667.json	db212e92-005b-11ea-8d71-362b9e155667	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/db212e92-005b-11ea-8d71-362b9e155667	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/065d4fbecda6cf32aca6c00f9589e0ff0479776c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/279974						https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/db212e92-005b-11ea-8d71-362b9e155667/manifest					3
わたさかもり		わだざかもり	黒0912-0001			わたさかもり (帙題)	わだざかもり			題簽欠。巻末等欠。二冊目の巻首破損。印記2顆	刊	大本。2冊。18丁半。14行		浄瑠璃	古浄瑠璃		00	00			寛文九己酉年九月吉日/通油町 本問屋開板	通油町 本問屋						寛文9年9月			http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0bbbbc74-55cb-4daa-9b41-37536860405d.json	0bbbbc74-55cb-4daa-9b41-37536860405d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/0bbbbc74-55cb-4daa-9b41-37536860405d	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ca6fcd6b6e6b36288ca79c32075c21ad748c4006.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277453	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0001	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0bbbbc74-55cb-4daa-9b41-37536860405d/manifest					26
てんわうじひかんのちうにち (国書)	てんわうじひかんのちうにち	てんのうじひがんのちゅうにち	黒4132-0001			天王寺彼岸中日付タリ本朝邯鄲之枕 (内題)|天王寺彼岸中日付タリ本朝邯鄲之枕/出世隅田川 (帙題)	てんのうじひがんのちゅうにちつけたりほんちょうかんたんのまくら|てんのうじひがんのちゅうにちつけたりほんちょうかんたんのまくら/しゅっせすみだがわ			絵入浄瑠璃本の透写。ただし挿絵は写されず。印記4顆	写	大本。1冊。15丁。17行		浄瑠璃	古浄瑠璃	正本	00	00				二条通寺町西へ入北側 山本九兵衛板(写)									http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d4d514aa-ab32-4064-9ae6-886fe87442e7.json	d4d514aa-ab32-4064-9ae6-886fe87442e7	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/d4d514aa-ab32-4064-9ae6-886fe87442e7	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/90f64c2d51e3a20e9c4ec7b7e186c0fd76b2b57f.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277454	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0002	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d4d514aa-ab32-4064-9ae6-886fe87442e7/manifest					18
鎌倉袖日記		かまくらそでにっき	黒4133-0009			鎌倉袖日記 (帙題)	かまくらそでにっき			原題簽、原表紙。後補表紙。見返は絵。奥書無。[松本]治太夫正本。印記3顆	刊	半紙本。1冊。28丁。10行		浄瑠璃	古浄瑠璃	正本	00	00			無刊記				太夫直之正本						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/50878064-6da5-46a3-b4a7-916c0c0c7ca5.json	50878064-6da5-46a3-b4a7-916c0c0c7ca5	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/50878064-6da5-46a3-b4a7-916c0c0c7ca5	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f9201f2c73f3aaa9ed634baf92d2909addc5f7b0.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277455	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0003	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/50878064-6da5-46a3-b4a7-916c0c0c7ca5/manifest					33
山王権現八千代玉垣		さんのうごんげんやちよのたまがき	黒4133-0010			山王権現八千代玉垣 (帙題)	さんのうごんげんやちよのたまがき			原題簽。奥書有。奥書「大夫 宇治次郎大夫 座本 野田若狭 名代 冨松薩摩 座本 和歌竹土佐 冨竹式大夫」。印記12顆	刊	半紙本。1冊。49丁。7行		浄瑠璃	古浄瑠璃	正本	00	00				二条通寺町西へ入町 山本九兵衛刊(奥付)			風流鳥さし				座本:野田 若狭。[座本:]和歌竹 土佐。名代:冨松 薩摩。		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ee4dae61-71e3-4147-8e82-478c6aa34962.json	ee4dae61-71e3-4147-8e82-478c6aa34962	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/ee4dae61-71e3-4147-8e82-478c6aa34962	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7a50e46c74775164f9428f9ee38a90e89e592ef9.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277456	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0004	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ee4dae61-71e3-4147-8e82-478c6aa34962/manifest					52
<三/井/寺>不動明王豊年護摩		<み/い/でら>ふどうみょうおうほうねんごま	黒4133-0011			不動明王豊年護摩 (帙題)	ふどうみょうおうほうねんごま			題簽破損。奥書有。冨松薩摩。印記10顆	刊	半紙本。1冊。58丁。8行		浄瑠璃	古浄瑠璃	正本	00	00				二条通寺町西へ入町 山本九兵衛刊(奥付)			正本						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8d8a8a5b-9246-4a1d-ae39-3bb15684e9b2.json	8d8a8a5b-9246-4a1d-ae39-3bb15684e9b2	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/8d8a8a5b-9246-4a1d-ae39-3bb15684e9b2	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/15ef6fb96f4df3075be1a7809b01fe31fe712620.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277457	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0005	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8d8a8a5b-9246-4a1d-ae39-3bb15684e9b2/manifest					61
塩竃大臣		しおがまのおとど	黒4133-0013			融巻 (尾題)|塩竃太臣 (帙題)	とおるのまき|しおがまのおとど			替題簽。柱題「融」。宝永5年7月上旬、土佐少掾橘正勝序。木下甚右衛門序。「六段物板行出来合目録」を見返に付す。奥書有。朱筆書入。印記4顆	刊	半紙本。1冊。54丁。8行		浄瑠璃	古浄瑠璃	正本	00	00				小伝馬町三丁目 木下甚右衛門[板](奥付)						宝永5年7月序刊			http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a7f7dcdd-d85c-43a0-b8ea-ea39f8120733.json	a7f7dcdd-d85c-43a0-b8ea-ea39f8120733	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/a7f7dcdd-d85c-43a0-b8ea-ea39f8120733	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2d3fe52523094af69fb46e286f7f514b9a6dd40b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277458	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0006	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a7f7dcdd-d85c-43a0-b8ea-ea39f8120733/manifest					57
