書名,書誌,巻号,請求記号,刊年,ページ,NCID,登録番号,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcterms:description,dcndl:volume,dcndl:callNumber,dcterms:issued,dcterms:extent,dcndl:sourceIdentifier,bibo:number,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,585
小笠原諸礼大全,小笠原諸礼大全 / 法橋玉山著 ; 石玉峯画,上巻,A385.9:OG,1809,56丁,BA38136450,5710021253,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7a233ff0-4ced-1707-340c-f5ed82b46f89.json,7a233ff0-4ced-1707-340c-f5ed82b46f89,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kyoiku/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kyoiku/document/7a233ff0-4ced-1707-340c-f5ed82b46f89,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3468cb4acdcdc63c4cae57af96bcc024a44612f5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1074746,"東京大学大学院教育学研究科・教育学部図書室 Graduate School of Education and Faculty of Education Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,教育学研究科・教育学部図書室貴重書,0001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7a233ff0-4ced-1707-340c-f5ed82b46f89/manifest,,,,,60
小笠原諸礼大全,小笠原諸礼大全 / 法橋玉山著 ; 石玉峯画,下巻,A385.9:OG,1809,54丁,BA38136450,5710021261,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1a44134f-80d0-8d66-0fe7-bc2ccaa84fb7.json,1a44134f-80d0-8d66-0fe7-bc2ccaa84fb7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kyoiku/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kyoiku/document/1a44134f-80d0-8d66-0fe7-bc2ccaa84fb7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3359cde3b565fe1663d44779af7fa7975540761c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1074745,"東京大学大学院教育学研究科・教育学部図書室 Graduate School of Education and Faculty of Education Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,教育学研究科・教育学部図書室貴重書,0002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1a44134f-80d0-8d66-0fe7-bc2ccaa84fb7/manifest,,,,,58
小笠原諸礼大全,小笠原諸礼大全 / 法橋玉山著 ; 石玉峯画,下巻附録,A385.9:OG,1809,50丁,BA38136450,5710021279,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2505d0de-9f2b-3025-13c6-67ad4d12098e.json,2505d0de-9f2b-3025-13c6-67ad4d12098e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kyoiku/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kyoiku/document/2505d0de-9f2b-3025-13c6-67ad4d12098e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/72b3aeb4fce3cff8fc444c5db54380ee643b83d4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1074744,"東京大学大学院教育学研究科・教育学部図書室 Graduate School of Education and Faculty of Education Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,教育学研究科・教育学部図書室貴重書,0003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2505d0de-9f2b-3025-13c6-67ad4d12098e/manifest,,,,,57
小笠原諸礼調法記,小笠原諸礼調法記 / 速水春暁齋画圖,,A385.9:OG,1803,68丁,BA38123186,5710021246,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f30906eb-1660-7cb8-a0eb-2cef86be09b4.json,f30906eb-1660-7cb8-a0eb-2cef86be09b4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kyoiku/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kyoiku/document/f30906eb-1660-7cb8-a0eb-2cef86be09b4,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/197fae0a88238aba4159a855a6f8f6311c041c47.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1074743,"東京大学大学院教育学研究科・教育学部図書室 Graduate School of Education and Faculty of Education Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,教育学研究科・教育学部図書室貴重書,0004,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f30906eb-1660-7cb8-a0eb-2cef86be09b4/manifest,,,,,61
小笠原流躾方百ケ條,小笠原流躾方百ケ條,,A385.9:OG,1659,41丁,BA38122230,5710021238,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8985198f-2a8e-5a0c-16bc-5c667e4041e2.json,8985198f-2a8e-5a0c-16bc-5c667e4041e2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kyoiku/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kyoiku/document/8985198f-2a8e-5a0c-16bc-5c667e4041e2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/83cb49e9cf8ebdd54cc05485726a538309f8e2df.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1074742,"東京大学大学院教育学研究科・教育学部図書室 Graduate School of Education and Faculty of Education Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,教育学研究科・教育学部図書室貴重書,0005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8985198f-2a8e-5a0c-16bc-5c667e4041e2/manifest,,,,,34
改正教授術,"改正教授術 / 若林虎三郎, 白井毅編纂",巻1,A375:W:1,1883,40丁,BN11383075,5780972112,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/02841bf7-64a6-6f11-41e2-bc678e8d26f2.json,02841bf7-64a6-6f11-41e2-bc678e8d26f2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kyoiku/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kyoiku/document/02841bf7-64a6-6f11-41e2-bc678e8d26f2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e7b455737b212a00f66d3b6c76585b10cfa7d16c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1074741,"東京大学大学院教育学研究科・教育学部図書室 Graduate School of Education and Faculty of Education Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,教育学研究科・教育学部図書室貴重書,0006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/02841bf7-64a6-6f11-41e2-bc678e8d26f2/manifest,,,,,52
改正教授術,"改正教授術 / 若林虎三郎, 白井毅編纂",巻2,A375:W:2,1883,53丁,BN11383075,5780972120,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/25d59850-6eb5-5a14-5671-a7e295e6123a.json,25d59850-6eb5-5a14-5671-a7e295e6123a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kyoiku/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kyoiku/document/25d59850-6eb5-5a14-5671-a7e295e6123a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c2a75fae93eb701075dadcbf682725ca1580ebf5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1074740,"東京大学大学院教育学研究科・教育学部図書室 Graduate School of Education and Faculty of Education Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,教育学研究科・教育学部図書室貴重書,0007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25d59850-6eb5-5a14-5671-a7e295e6123a/manifest,,,,,56
改正教授術,"改正教授術 / 若林虎三郎, 白井毅編纂",巻3,A375:W:3,1883,"43,3丁",BN11383075,5780972138,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/fb8c5be1-62fd-525e-0eeb-37b146ad735b.json,fb8c5be1-62fd-525e-0eeb-37b146ad735b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kyoiku/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kyoiku/document/fb8c5be1-62fd-525e-0eeb-37b146ad735b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/81eed77568b142be7e8daea01d5176f898aa317a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1074739,"東京大学大学院教育学研究科・教育学部図書室 Graduate School of Education and Faculty of Education Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,教育学研究科・教育学部図書室貴重書,0008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fb8c5be1-62fd-525e-0eeb-37b146ad735b/manifest,,,,,49
母の遊戯及育児歌,母の遊戯及育児歌 / フレーベル[著] ; エ・エル・ハウ[訳],上: 歌及図解,A376.1:F:1,1895,107頁,BA53461708,5780972146,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1632b3a1-0008-706e-11e3-682424a270b8.json,1632b3a1-0008-706e-11e3-682424a270b8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kyoiku/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kyoiku/document/1632b3a1-0008-706e-11e3-682424a270b8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d3789cff3958b11ee92d8230a0a1dfe9cbcb8022.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1074738,"東京大学大学院教育学研究科・教育学部図書室 Graduate School of Education and Faculty of Education Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,教育学研究科・教育学部図書室貴重書,0009,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1632b3a1-0008-706e-11e3-682424a270b8/manifest,,,,,69
