タイトル	請求記号	所蔵	編者	サイズ	Identifier	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
dcterms:title	dcndl:callNumber	sc:attributionLabel	dcterms:contributor	dcterms:extent	dcterms:identifier	bibo:identifier	dcterms:isPartOf	dcterms:relation	dcterms:rights	foaf:thumbnail	rdfs:seeAlso	sc:viewingDirection	sc:viewingHint	uterms:databaseLabel	uterms:sort	uterms:year	uterms:manifestUri	uterms:searchApiUri	uterms:annotedManifest	uterms:linkToTapas	uterms:rtf	2212
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 1	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	b386852a-001d-1a10-2d8d-6e41134837d6	b386852a-001d-1a10-2d8d-6e41134837d6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/b386852a-001d-1a10-2d8d-6e41134837d6	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/494e59182b669ad941c19c079c3f02107d800b0e.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22372			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b386852a-001d-1a10-2d8d-6e41134837d6/manifest					70
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 2	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	9edcc925-2fc6-4c72-8be3-6e2fc1b91b59	9edcc925-2fc6-4c72-8be3-6e2fc1b91b59	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/9edcc925-2fc6-4c72-8be3-6e2fc1b91b59	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/15234e8804485f097183c3f745467e6d0e471c49.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22373			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9edcc925-2fc6-4c72-8be3-6e2fc1b91b59/manifest					73
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 3	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	16be420b-82b3-90c7-50f8-799342e29cdc	16be420b-82b3-90c7-50f8-799342e29cdc	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/16be420b-82b3-90c7-50f8-799342e29cdc	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fe2d93c2c97bc0f0077ce7a7a0c307c94a5f81bf.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22374			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/16be420b-82b3-90c7-50f8-799342e29cdc/manifest					74
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 4	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	08d8d249-a40a-6830-9929-541e6b3d5bae	08d8d249-a40a-6830-9929-541e6b3d5bae	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/08d8d249-a40a-6830-9929-541e6b3d5bae	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1af3267d6d3cbd2d369df5646aedb706b6548957.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22375			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/08d8d249-a40a-6830-9929-541e6b3d5bae/manifest					73
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 5	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	9c523a30-8a11-8282-8660-5414684f3994	9c523a30-8a11-8282-8660-5414684f3994	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/9c523a30-8a11-8282-8660-5414684f3994	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c18a71926fa4972da76a335b32b10985f97e6173.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22376			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9c523a30-8a11-8282-8660-5414684f3994/manifest					74
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 6	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	460019c8-03da-63c8-a787-4132e04e7ac5	460019c8-03da-63c8-a787-4132e04e7ac5	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/460019c8-03da-63c8-a787-4132e04e7ac5	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9a069fd35c7cb8ed1376e27be28878cddd61f443.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22377			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/460019c8-03da-63c8-a787-4132e04e7ac5/manifest					73
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 7	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	4f41ecb4-3533-022d-a426-6120a11d3c04	4f41ecb4-3533-022d-a426-6120a11d3c04	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/4f41ecb4-3533-022d-a426-6120a11d3c04	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/29056749d4692eda883fccae5d25802dd5bfc2ee.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22378			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4f41ecb4-3533-022d-a426-6120a11d3c04/manifest					74
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 8	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	5b1fae2a-0a39-1a00-0b88-9344abe54dc4	5b1fae2a-0a39-1a00-0b88-9344abe54dc4	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/5b1fae2a-0a39-1a00-0b88-9344abe54dc4	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8d1430ac2119ff62b1dc4cca06bc3956076f1d6c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22379			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5b1fae2a-0a39-1a00-0b88-9344abe54dc4/manifest					73
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 9	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	7617ec5c-0126-9d91-3745-111d66c00c97	7617ec5c-0126-9d91-3745-111d66c00c97	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/7617ec5c-0126-9d91-3745-111d66c00c97	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/117797ecf8307ad2c0e93c4a391e111e692e4c25.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22380			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7617ec5c-0126-9d91-3745-111d66c00c97/manifest					76
