資料名,資料名（ヨミ）,コレクション名,言語,種別,編著者,編著者（ヨミ）,発行者,出版地,刊行年、書写年等,刊行年月日（西暦),形態,内容記述,Alternative Title,Alternative,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:titleTranscription,dcndl:seriesTitle,dcterms:language,dcndl:materialType,dcterms:creator,dcndl:creatorTranscription,dcterms:publisher,dcndl:publicationPlace,dcterms:date,dcterms:issued,dcterms:extent,dcterms:description,dcterms:alternative,dcndl:alternative,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,10598
館玄龍書,タチ ゲンリュウ ショ|Tachi Genryu sho,精神医学教室旧蔵ガラス乾板,日本語,静止画資料,撮影者不明|館玄龍,タチ ゲンリュウ,,,,1923年以前,4×5インチ,解説: 掲載: 館玄龍ノ手蹟(館哲二君藏)--『華岡青洲先生及其外科』第六十三(肖像部分除外)|現秩序no.: 1|紙焼き記載no.: A49,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b0a3a722-2b99-564a-9d0d-51fd5c231d9b.json,b0a3a722-2b99-564a-9d0d-51fd5c231d9b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/b0a3a722-2b99-564a-9d0d-51fd5c231d9b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/67582800747be03382c8f96bd81cef2c8789e640.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380054,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b0a3a722-2b99-564a-9d0d-51fd5c231d9b/manifest,,,,,1
中川修亭筆寿詞,ナカガワ シュウテイ ヒツ ジュシ|Nakagawa Shutei hitsu jushi,精神医学教室旧蔵ガラス乾板,日本語,静止画資料,撮影者不明|中川修亭,ナカガワ シュウテイ,,,,1923年以前,小キャビネ,解説: 文化6年(1809)、中川故諬首百拝。印記: 中川脩、□眞。掲載: 中川脩亭ノ手書(吉益雄太郎君藏)--『華岡青洲先生及其外科』第七十一(部分を編集)朱書き「[十]年五月二十六日 吉益」|加工: 朱書きあり、マスキング(下辺は剥がれている)|現秩序no.: 2|紙焼き記載no.: C50-1,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ec0af169-195b-845a-0497-39c3844c9849.json,ec0af169-195b-845a-0497-39c3844c9849,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/ec0af169-195b-845a-0497-39c3844c9849,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/72d2a84fb0fff0287b756d9619d400e6b68c7342.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380055,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ec0af169-195b-845a-0497-39c3844c9849/manifest,,,,,1
"""De chirurgie, ende opera van alle de wercken""(1655年版) p.460裏",,精神医学教室旧蔵ガラス乾板,オランダ語,静止画資料,撮影者不明|Ambrosius Paré|Carel Baten,,,,,不明,小キャビネ,"解説: アンブロワーズ・パレ著 『外科全書』のオランダ語訳書。""De chirurgie, ende opera van alle de Wercken, van Mr. Ambrosius Paré, raedt ende opperste chirurgijn van vier koningen in Vranckrijck By Ian Fredericksz Stam, 1655"" p.460|現秩序no.: 3|紙焼き記載no.: A48",,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a3f80950-198d-1eb0-73ea-0258bd27754b.json,a3f80950-198d-1eb0-73ea-0258bd27754b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/a3f80950-198d-1eb0-73ea-0258bd27754b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c03c5b20fdd09e737fa6bd5630e4b20d7428195f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380056,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a3f80950-198d-1eb0-73ea-0258bd27754b/manifest,,,,,1
恭奉賀南涯先生六十初慶 赤石希范筆寿詞,キョウホウガ ナンガイ センセイ ロクジュウ ショケイ アカシ キハン ヒツ ジュシ|Kyohoga Nangai sensei rokuju shokei Akashi Kihan hitsu jushi,精神医学教室旧蔵ガラス乾板,日本語,静止画資料,撮影者不明|赤石希范,アカシ キハン,,,,1923年以前,小キャビネ,解説: 赤石希范筆の吉益南斉還暦の寿詞。掲載: 赤石槐陰手書(大垣吉益雄太郎君藏)--『華岡青洲先生及其外科』第七十二(部分を編集)|加工: 朱書きあり、マスキング|現秩序no.: 4|紙焼き記載no.: C50-2,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d89791c2-3b8c-9297-0b1f-7dd6b21c1894.json,d89791c2-3b8c-9297-0b1f-7dd6b21c1894,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/d89791c2-3b8c-9297-0b1f-7dd6b21c1894,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/87a82c1ef8b61367b73b569f0f473d85417672b0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380057,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0004,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d89791c2-3b8c-9297-0b1f-7dd6b21c1894/manifest,,,,,1
和蘭婦人孩子写真/和蘭名医シイボルト,オランダ フジン アカゴ ノ ウツシ オランダ メイイ シイボルト|Oranda fujin akago no utsushi oranda meii Shiiboruto,精神医学教室旧蔵ガラス乾板,日本語,静止画資料,撮影者不明,,,,,1926年以前,小キャビネ,解説: 〔蘭文訳〕毒ハ時ニ最良薬ナル事アリ(推定)掲載: 長崎の瓦版に現はしたるシーボルト先生(渡邊修次郎君・永見徳六郎君藏)--『シーボルト先生 : 其生涯及功業』第百八図(蘭文訳部分除外)|状態: 紙片張り付きあり|現秩序no.: 5|紙焼き記載no.: A23,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/00fe1caf-822d-49fe-87c9-b4a086a082a8.json,00fe1caf-822d-49fe-87c9-b4a086a082a8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/00fe1caf-822d-49fe-87c9-b4a086a082a8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c6e8047d0dfba8e68da66514e69eb6460802df12.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380058,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/00fe1caf-822d-49fe-87c9-b4a086a082a8/manifest,,,,,1
二宮敬作夫婦墓碑,ニノミヤ ケイサク フウフ ボヒ|Ninomiya Keisaku fufu bohi,精神医学教室旧蔵ガラス乾板,日本語,静止画資料,撮影者不明,,,,,1926年以前,小キャビネ,解説: 掲載: 二宮敬作夫婦の墓表(長崎の晧臺寺)、その側面)--『シーボルト先生 : 其生涯及功業』第百九十二図(合致せず。裏面あるいは別の側面か。愛媛県西宇和市宇和町にも墓碑あり)|状態: 紙片張り付きのあと|現秩序no.: 6|紙焼き記載no.: A22,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8c6d3817-96df-3b8b-1a8f-0230f06c5300.json,8c6d3817-96df-3b8b-1a8f-0230f06c5300,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/8c6d3817-96df-3b8b-1a8f-0230f06c5300,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f39d59138f4a4f5c6e944a0d3e0ef7d5d3eaa6e6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380059,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8c6d3817-96df-3b8b-1a8f-0230f06c5300/manifest,,,,,1
顔見世座附引合図,カオミセ ザツキ ヒキアイズ|Kaomise zatsuki hikiaizu,精神医学教室旧蔵ガラス乾板,日本語,静止画資料,撮影者不明,,,,,不明,小キャビネ,解説: 『戯塲樂屋圖會(しばいがくやずえ)』(寛政12年(1800)刊)|状態: 割れ、欠損あり|現秩序no.: 7|紙焼き記載no.: A21,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1f94fd5f-3115-3610-0e96-a0dc731a192a.json,1f94fd5f-3115-3610-0e96-a0dc731a192a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/1f94fd5f-3115-3610-0e96-a0dc731a192a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bc1a67464f287801fece16a04ca70a49aaea23da.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380060,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1f94fd5f-3115-3610-0e96-a0dc731a192a/manifest,,,,,1
オランダ使節団の行列a,オランダ シセツダン ノ ギョウレツ|Oranda Shisetsudan no gyoretsu,精神医学教室旧蔵ガラス乾板,日本語,静止画資料,撮影者不明,,,,,1926年以前,小キャビネ,解説: オランダ使節団の行列(『日本』II第4図)掲載: シーボルト先生の一行が大村灣を過ぐる圖(シーボルト先生著書(日本)所載) --『シーボルト先生 : 其生涯及功業』第百五十二図。no.17と同一。|状態: ガラス面に付着物あり|現秩序no.: 8|紙焼き記載no.: A20,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3d5479c9-a32d-3ac4-6c24-785d852d040e.json,3d5479c9-a32d-3ac4-6c24-785d852d040e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/3d5479c9-a32d-3ac4-6c24-785d852d040e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/59eef883c3f630436a70ed666259cef0aba0e2d3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380061,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3d5479c9-a32d-3ac4-6c24-785d852d040e/manifest,,,,,1
昭和19年精神医学教室 a,ショウワ 19ネン セイシン イガク キョウシツ|Showa 19nen Seishin Igaku Kyoshitsu,精神医学教室旧蔵ガラス乾板,,静止画資料,撮影者不明,,,,,1944年,小キャビネ,解説: 掲載: 昭和19年第2次大戦中の精神医学教室。今はなき南研究棟北側の車寄せにて。前列中央[左側から3番目]に内村裕之教授。--『東京大学精神医学教室120年』p184。no.11と同場面。|状態: 剥離あり|現秩序no.: 9|紙焼き記載no.: A19,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f6a2f90d-4e0b-6dc0-4323-6b9281a3673c.json,f6a2f90d-4e0b-6dc0-4323-6b9281a3673c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/f6a2f90d-4e0b-6dc0-4323-6b9281a3673c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2db10acc1cdf6be1a2b9b567773d6a764292d065.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380062,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0009,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f6a2f90d-4e0b-6dc0-4323-6b9281a3673c/manifest,,,,,1
