タイトル,書名よみ,書誌情報,請求記号,画像,内容記述,区分,Digitized Publisher,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:titleTranscription,dcterms:extent,dcndl:callNumber,archiveshub:note,dcterms:description,dcterms:subject,dcndl:digitizedPublisher,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,15134
森枳園傳(モリ キエン デン) / [澁江保著]. [写本],モリ キエン デン,"([製作地不明] : [澁江保], [1---]) 1冊 ; 23cm 注記: 写本 ; 和装. 袋綴じ",鴎H20:384,全頁,"渋江保筆の原稿を鴎外が1冊に綴じた本。鴎外は、大正5年(1916)1月19日付渋江保宛書簡で、保に対して執筆の礼を述べている。また、同年1月24日付保宛書簡では、その原稿を受け取ったことを報じているので、本書もこの時期の成立と考えられる。『渋江抽斎』中の森枳園に関する逸話の多くは、本書に依拠している。(出)|関連作品: 『渋江抽斎』(全集16巻) http://www.aozora.gr.jp/cards/000129/card2058.html|参考文献: 山崎一頴『森鴎外・史伝小説研究』桜楓社,1982年|翻刻: 小川康子「『渋江抽斎』関係資料−「森枳園伝」の復刻(前)−」(『鴎外』48号,1991年1月)|翻刻: 小川康子「『渋江抽斎』関係資料−「森枳園伝」の復刻(後)−」(『鴎外』50号,1992年1月)",和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/008d386c-9e2a-4b69-b907-9073228b1bb8.json,008d386c-9e2a-4b69-b907-9073228b1bb8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/008d386c-9e2a-4b69-b907-9073228b1bb8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ba6f9225a645820c64cbe5fc29b7cb9f4d9f4993.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/319,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/008d386c-9e2a-4b69-b907-9073228b1bb8/manifest,,,,,35
Die Freiheit der Wissenschaft im modernen Staat : Rede gehalten in der dritten allgemeinen Sitzung der fünfzigsten Versammlung deutscher Naturforscher und Aerzte zu München am 22. September 1877 / von Rudolf Virchow.,Die Freiheit der Wissenschaft im modernen Staat : Rede gehalten in der dritten allgemeinen Sitzung der fünfzigsten Versammlung deutscher Naturforscher und Aerzte zu München am 22. September 1877 / von Rudolf Virchow.,"Berlin : Wiegandt, Hempel & Parey, 1877. 32 p. ; 25 cm.",鴎T000:101,全頁,"ルードルフ・ウィルヒョウ『近代国家における学問の自由』。 副題によると、1877年9月22日に行われた講演録。エルンスト・ヘッケルがミュンヘンの学会で行った講演に対し、その4日後に反論した講演の記録である。ヘッケルの進化論を人文科学にまで拡大する旨の講演に対し、ウィルヒョウはそうした拡大解釈に警鐘を鳴らし、自然科学における思弁的傾向と研究により証明された事実を厳密に区別することを説く。鴎外は “Ideensplitter” (「想片」)に「日本大学ヲFreiheitノStätteト為ス(コト)独逸ノ如クシ」と記しているが、鴎外の「学問の自由」概念は留学中にウィルヒョウやヘッケルの論争を追うことにより培われたといえる。 鴎外が1888年5月にウィルヒョウを訪問し、「日本家屋論」の閲読を依頼している。『独逸日記』には「今白面の一書生来りて拙陋なる著作の閲を請へるに、ヰルヒヨウ乃ち喜び迓《むか》へて数刻の閑談あり、遂に稿本を留めしめ、一閲の後人類学会 Anthropologische Gesellschaftに送り、印刷せしめんと約す。」と書かれている。(河)|関連作品: “Ideensplitter” [想片](全集38巻)|関連作品: “Eindrücke” [感想](全集38巻)|関連作品: 『独逸日記』(全集34巻)|参考文献: 清田文武『鴎外文芸の研究』青年期篇,有精堂出版,1991年|参考文献: 川喜田愛郎『近代医学の史的基盤』岩波書店,1977年",洋書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/01d0ba4f-cb36-4693-9ae9-0802cb6c3ad7.json,01d0ba4f-cb36-4693-9ae9-0802cb6c3ad7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/01d0ba4f-cb36-4693-9ae9-0802cb6c3ad7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/72c1369963ee2cb17e94b8eef68f2bc4ab97c6bc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/320,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/01d0ba4f-cb36-4693-9ae9-0802cb6c3ad7/manifest,,,,,17
山本復讎記(ヤマモト フクシュウキ) . [写本],ヤマモト フクシュウキ,"[書写地不明] : [書写者不明], [書写年不明] 1冊 ; 25cm 注記: 書名は題簽による ; 写本 ; 無辺無界 ; 印記: 「養間齋蔵書記」,「齋藤文庫」",鴎G27:198,全頁,"姫路城主酒井家の大金奉行山本三右衛門の殺害をめぐって、その子である宇平・りよと、弟の九郎右衛門による仇討ちの経緯を記した書。本書の成立経緯は不明だが、『天保雑記』巻五の成立と密接な関係があるように思われる。鴎外は『護持院原の敵討』を書く際に、本書に多く依拠している。(出)|関連作品: 『護持院原の敵討』(全集14巻) http://www.aozora.gr.jp/cards/000129/card1054.html|参考文献: 尾形仂『森鴎外の歴史小説 史料と方法』筑摩書房,1979年|翻刻: 尾形仂『森鴎外の歴史小説 史料と方法』筑摩書房,1979年",和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/025068e3-118e-4f73-a59e-8a392f552407.json,025068e3-118e-4f73-a59e-8a392f552407,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/025068e3-118e-4f73-a59e-8a392f552407,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d04ff13673fab80c427800c92538c7f0ac8e562a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/321,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/025068e3-118e-4f73-a59e-8a392f552407/manifest,,,,,50
Goethe's sämmtliche Werke : in fünfundvierzig Bänden / [Johann Wolfgang von Goethe].,Goethe's sämmtliche Werke : in fünfundvierzig Bänden / [Johann Wolfgang von Goethe].,"Leipzig : Philipp Reclam jun., [1---]. 8 v. ; 17 cm. -- 1.Bd.-4.Bd. - 37.Bd.-40.Bd.",鴎A100:1581,書入頁,"ヨハン・ヴォルフガング・フォン・ゲーテ『ゲーテ著作集』(レクラム版)。 鴎外は、ゲーテをドイツの文化を代表する詩人として重要視し、深い関心を持っていた。しばしばシラー(J.C.F.v.Schiller)と並べて言及されており、『今の諸家の小説論を読みて』では、「理想主義」のシラーに「現実主義に依ること多き」詩人として対置している。 『独逸日記』明治18年8月13日の条に「ギヨオテGoetheの全集は広壮にて偉大なり。」とあるが、本全集にはドイツ留学最初期の読書作品が含まれている。書入れから、ライプチヒ時代の『エグモント』(Egmond)、ベルリン時代の『親和力』(Die Wahlverwandtschaften)、『ヴィルヘルム・マイスターの遍歴時代』(Wilhelm Meisters Wanderjahre)、『わが生涯より 詩と真実』(Aus meinem Leben:Dichtung und Wahrheit)、『イタリア紀行』(Italienische Reise)などの読書時期が確定されている。 『フアウスト』の翻訳原本ではないが、『ファウスト』部分への書入れがとりわけ多く、小堀桂一郎による調査もある。また、本書の『鉄手のゲッツ・フォン・ベルリヒンゲン』(Götz von Berlichingen mit der eisernen Hand)が、『ギヨツツ』第三幕までの翻訳原本と推定される。(山)|関連作品: 『ギヨツツ』(全集11巻)|関連作品: 『フアウスト』(全集12巻)|関連作品: 『今の諸家の小説論を読みて』(全集22巻)|参考文献: 寺内ちよ「ドイツ時代の鴎外の読書調査−資料研究−」(『比較文学研究』4巻1・2号,1957年6月)|参考文献: 小堀桂一郎『若き日の森鴎外』東京大学出版会,1969年",洋書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0738c995-30a4-4eed-8d5b-0f22fdefbf0b.json,0738c995-30a4-4eed-8d5b-0f22fdefbf0b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/0738c995-30a4-4eed-8d5b-0f22fdefbf0b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/29d0abc100982d5af5e64cbafd53be63e086bf06.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/322,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0738c995-30a4-4eed-8d5b-0f22fdefbf0b/manifest,,,,,746
欽哉亭日録鈔本(キンサイテイ ニチロク ショウホン) / [林春徳著]. [写本],キンサイテイ ニチロク ショウホン,"([製作地不明] : [森鴎外], [1---]) 1冊 ; 24cm 注記: 書名は巻頭による ; 題簽の書名: 欽哉亭日録鈔 ; 巻末に「信豊謹一覽點朱」とあり ; 写本 ; 和装. 袋綴じ",鴎H20:452,全頁,林羅山の第4子である、欽哉亭《きんさいてい》こと林春徳の寛永19年(1642)元旦から9月17日までの日記である。その内容は、羅山や兄の林春斎(鵞峰)の行状や来訪者についての記事が多くをしめる。全丁鴎外の自筆による。また人名の抄出等、頭注が多く付されている。 巻末に「信豊謹一覧点朱」とあるが、本書の底本等詳細は不明である。(目),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/08248115-643f-4517-94e9-c0656605c8a8.json,08248115-643f-4517-94e9-c0656605c8a8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/08248115-643f-4517-94e9-c0656605c8a8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cc03a40399a41c5975fc2ddb72fea1240e8f763a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/323,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/08248115-643f-4517-94e9-c0656605c8a8/manifest,,,,,54
隔鞾論(カッカロン) / 鹽谷世弘著. [写本],カッカロン,"([製作地不明] : [森鴎外], [1880.4]) 1冊 ; 21cm 注記: 書名及び責任表示は巻頭による ; 写本 ; 版心に「牽舟居士」とある罫紙使用 ; 和装. 袋綴じ",鴎E44:484,全頁,"松崎慊堂の弟子であり、水野忠邦の家臣であった幕末の碩儒塩谷宕陰(世弘)の著書を鴎外が筆写したもの。初期に散見される牽舟居士の原稿用紙を使用しており、また末尾に「庚辰四月牽舟居士森林太郎書」とあるので、明治13(1880)年、鴎外19歳の時の書写と分かる。「論澳門居夷」、「同窟狐狸」、「論聖祖貽謀」、「論宣宗黜林則徐」、「論琦伊放俘」、「論清十敗」、「甘島犬」、「悪嶽狒」、「論耶教攻心」、「福神盗」、「論夷進漢学」の11章からなる。(神)|翻刻: 関儀一郎編『日本儒林叢書』第4冊 論弁部書目,東洋図書刊行会,1927-1929年",和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/08db2339-d541-465b-ab3f-9f4505c9a8ae.json,08db2339-d541-465b-ab3f-9f4505c9a8ae,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/08db2339-d541-465b-ab3f-9f4505c9a8ae,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/90861909d28a0616c56e22c8ebddb9ab046ca03c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/324,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/08db2339-d541-465b-ab3f-9f4505c9a8ae/manifest,,,,,14
陸海軍用膠州灣青島詳圖(リクカイグンヨウ コウシュウワン チンタオ ショウズ) .,リクカイグンヨウ コウシュウワン チンタオ ショウズ,"東京 : 博文館, 1914.9 地図1枚 ; 64×95cm 別書名:陸海軍用膠州湾青島詳図 縮尺1:50000 地形図",鴎J82:15,全頁(1舗),大正3年(1914)9月に博文館より発行された膠州湾《こうしゅうわん》青島《ちんたお》の地図。ドイツの租借地の地理を示したものである。ドイツ東洋艦隊の情報も記されている。鴎外は自筆で、日本軍の進攻を示す前線、ドイツ軍の布陣と推測される記号を書込んでいる。(渋),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0996d9dd-d6df-4a4e-9f7a-897636043dcb.json,0996d9dd-d6df-4a4e-9f7a-897636043dcb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/0996d9dd-d6df-4a4e-9f7a-897636043dcb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/46fff7acea629a034fd28cd2546c815c647cec40.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/325,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0996d9dd-d6df-4a4e-9f7a-897636043dcb/manifest,,,,,2
市野畧系圖(イチノ リャクケイズ) . [写本],イチノ リャクケイズ,"([製作地不明] : [森鴎外], 1916.2) 1冊 ; 23cm 注記: 題簽の書名: 市野略系圖 ; 写本 ; 扉に「大正五年丙辰二月十五日借覽市野光孝所蔵本抄出之」とあり ; 和装. 袋綴じ",鴎H20:486,全頁,渋江抽斎の師、市野迷庵の家の略系図。鴎外の自筆である。『渋江抽斎』の執筆過程で、市野氏についての記述の基礎資料となった。扉には「大正五年丙辰二月十五日、市野光孝の所蔵本を借覧して之を抄出す」(原漢文)とあり、また同日の鴎外の日記には「旅籠町の市野屋を訪ふ。市野氏宗家、分家の系図、迷老書白伝絶句幅、正平本論語等を覧る」と記されていて、本書制作の経緯が知られる。(出)|関連作品: 『渋江抽斎』(全集16巻) http://www.aozora.gr.jp/cards/000129/card2058.html|関連作品: 『伊沢蘭軒』(全集17巻) http://www.aozora.gr.jp/cards/000129/card2084.html,和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0abe75ce-42db-4640-8bda-39518573c261.json,0abe75ce-42db-4640-8bda-39518573c261,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/0abe75ce-42db-4640-8bda-39518573c261,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a0f64a87f394095add6d5201c04f75dbca42516d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/326,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0abe75ce-42db-4640-8bda-39518573c261/manifest,,,,,8
四聖坊記(シショウボウキ) . [写本],シショウボウキ,"([製作地不明] : [森鴎外], [1---]) 2冊 ; 24cm 注記: 書名は題簽による ; 写本 ; 1: 戊午. 2: 己未 ; 和装. 袋綴じ",鴎A90:264,全頁,鴎外による、様々な項目にわたる自筆のノート。前半は鴎外の晩年に散見される山加製原稿用紙に書かれており、後半は奈良明新社製原稿用紙が使用されていることから、帝室博物館総長時代に正倉院開扉に伴って奈良を訪れたときの制作ではないかと考えられる。 全二冊にわたり、一冊目は東大寺古屏銘や書名、人名のメモなど細かく項目が立てられており、片仮名の異体字表、図書寮新築案などもみられる。二冊目は、織物について文様などを図説した織紝記、陶磁器についての陶磁記、紙についての紙記などをはじめとした様々な用語集となっており、多岐にわたった内容が記してある。(神),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0aeaf9aa-ad12-4072-b771-f9b7142e16bc.json,0aeaf9aa-ad12-4072-b771-f9b7142e16bc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/0aeaf9aa-ad12-4072-b771-f9b7142e16bc,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b767114aca89dcdef216934634b21152583d1631.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/327,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0aeaf9aa-ad12-4072-b771-f9b7142e16bc/manifest,,,,,54
