タイトル,分類1,分類2,解説1,第一中学本,図版番号,開成学校本,キーワード,サイズ,帝国大学本,タイトル2,東京大学本,解説2,解説3,解説4,解説5,解説6,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,petit:class1,petit:class2,petit:comment1,petit:daiichi,petit:figno,petit:kaisei,petit:keyword,petit:size,petit:teikoku,petit:title2,petit:todai,petit:comment2,petit:comment3,petit:comment4,petit:comment5,petit:comment6,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,125
PL.1 MÉCANIQUE (No.1),MÉCANIQUE,(No.1),DÉTAILS DE BOULONS. (En grandeur d'exécution),○,PL.1,―,機械部品,A3,○,ÉTUDES DE DESSIN AU LAVIS.,―,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8484a860-9e28-19f4-a165-5dcef19665d2.json,8484a860-9e28-19f4-a165-5dcef19665d2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/8484a860-9e28-19f4-a165-5dcef19665d2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b2a2e523926c8448a698257135aee5bf7a5fe493.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541680,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8484a860-9e28-19f4-a165-5dcef19665d2/manifest,,,,,1
PL.2 MÉCANIQUE No.2,MÉCANIQUE,No.2,DÉTAILS D'UN GALET DE ROTATION de PONTS TOURNANTS ÉTABLIS sur des CANAUX (En grandeur d'exécution),○,PL.2,―,機械部品,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bab49d84-78e7-4f74-0dc1-e0a2407e9986.json,bab49d84-78e7-4f74-0dc1-e0a2407e9986,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/bab49d84-78e7-4f74-0dc1-e0a2407e9986,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/83b1b822ea5e8a9f633720be7b6ce1f72ab21e3c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541679,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bab49d84-78e7-4f74-0dc1-e0a2407e9986/manifest,,,,,1
PL.3 MÉCANIQUE No.3,MÉCANIQUE,No.3,EXCENTRIQUE DE MANŒUVRE D'UNE CISAILLE À GROS FERS. (Forges d'Abainville).,○,PL.3,―,機械部品,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b2fc5d05-0d02-a381-86ae-2e0235ed70fa.json,b2fc5d05-0d02-a381-86ae-2e0235ed70fa,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/b2fc5d05-0d02-a381-86ae-2e0235ed70fa,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e20e848f9e38d2827f9330469fbc3e421d174e76.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541678,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b2fc5d05-0d02-a381-86ae-2e0235ed70fa/manifest,,,,,1
PL.4 MÉCANIQUE No.4,MÉCANIQUE,No.4,ENGRENAGES,○,PL.4,―,機械部品,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,PIGNONS COMMANDANT UNE CR&Eacute;MAILL&Egrave;RE. (Organes execut&eacute;s par l'Auteur dans le m&eacute;canisme du Barrage de Conflans-sur-Seine.),,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a69f3018-8363-4d5e-6886-d2a7408708c2.json,a69f3018-8363-4d5e-6886-d2a7408708c2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/a69f3018-8363-4d5e-6886-d2a7408708c2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5b73fada997d3d4b950710505c2970e8463299fe.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541677,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,004,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a69f3018-8363-4d5e-6886-d2a7408708c2/manifest,,,,,1
PL.5 MÉCANIQUE No.5,MÉCANIQUE,No.5,DESSIN D'UN PALIER DE TREUIL DE SONNETTE À DÉCLIC. (Machine à battre les pieux.),○,PL.5,―,機械部品,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4058b2d5-6177-4a66-055b-f8405f4a9d3c.json,4058b2d5-6177-4a66-055b-f8405f4a9d3c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/4058b2d5-6177-4a66-055b-f8405f4a9d3c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0191c7658d093d59a10e4ea16de7ee3d3fe8461d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541676,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4058b2d5-6177-4a66-055b-f8405f4a9d3c/manifest,,,,,1
PL.6 MÉCANIQUE No.6,MÉCANIQUE,No.6,"DESSIN D'UNE CAME COMMANDANT UN PILON À HACHER LES ÉCORCES DE CHÉNE. (Echelle de 1/3 ou de 0m, 33 pour mètre)",○,PL.6,―,機械部品,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,Etude de la transformation du mouvement circulaire continu en rectiligne alternatif intermittent,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/57d329fb-60fd-0a2a-2264-ed6031b9702a.json,57d329fb-60fd-0a2a-2264-ed6031b9702a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/57d329fb-60fd-0a2a-2264-ed6031b9702a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1461e9eaa8e5f71ee066a7ad616fcd286740a209.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541675,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/57d329fb-60fd-0a2a-2264-ed6031b9702a/manifest,,,,,1
PL.7 MÉCANIQUE No.7,MÉCANIQUE,No.7,DÉTAILS D'UN EXCENTRIQUE TRIANGULAIR FAISANT MOUVOIR UN TIROIR DE DISTRIBUTION DE VAPEUR. (Machines à vapeur établies à l'Hôtel des Monnaies de Paris par Mr. Moulfarine),○,PL.7,―,機械部品,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,Transformation du mouvement circulaire continu en rectiligne alternatif intermittent.,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c06c28cf-5740-9a71-355b-ba5b9243a781.json,c06c28cf-5740-9a71-355b-ba5b9243a781,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/c06c28cf-5740-9a71-355b-ba5b9243a781,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/12ea827272184572e627cc48192f570cf777b58a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541674,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c06c28cf-5740-9a71-355b-ba5b9243a781/manifest,,,,,1
PL.8 MÉCANIQUE No.8,MÉCANIQUE,No.8,ENGRENAGES DROITS OU CYLINDRIQUES,○,PL.8,―,機械部品,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,ENGRENAGE D'UNE ROUE ET D'UN PIGNON. (Organes ex&eacute;cut&eacute;s par l'Auteur dans la construction de Crics de manœuvre de portes d'Ecluse.),,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b69ac2da-7895-0ed3-36dd-99597d5a2f9a.json,b69ac2da-7895-0ed3-36dd-99597d5a2f9a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/b69ac2da-7895-0ed3-36dd-99597d5a2f9a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/532062bbe9bd0f7eee270f1d6c599e4df3d5d32f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541673,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b69ac2da-7895-0ed3-36dd-99597d5a2f9a/manifest,,,,,1
PL.9 MÉCANIQUE No.9,MÉCANIQUE,No.9,GUIDES DU MOUVEMENT CIRCULAIRE,○,PL.9,―,機械部品,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,MOD&Egrave;LE D'UN PALIER EXHAUSSE,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/29bbb834-7662-2e12-5fd5-c570417c69f5.json,29bbb834-7662-2e12-5fd5-c570417c69f5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/29bbb834-7662-2e12-5fd5-c570417c69f5,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/91ebf1b408c8b661ec0fb9b6dada65c9fd1bff24.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541672,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,009,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/29bbb834-7662-2e12-5fd5-c570417c69f5/manifest,,,,,1
