書名,書名ヨミ,その他の書名,請求記号,文庫整理番号,収録書総目録I-通巻番号,言語,資料種別,著者・編者,出版社,出版年,冊数,形態,備考,注記,文庫区分,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:titleTranscription,dcndl:alternative,dcndl:callNumber,dcndl:sourceIdentifier,bibo:number,dcterms:language,dcndl:materialType,dcterms:creator,dcterms:publisher,dcterms:date,bibo:numVolumes,dcterms:extent,archiveshub:note,bibo:annotates,uterms:bunko,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,243680
あふらかす,,,A00:洒竹:1,洒0001,1,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1205a0fe-83aa-67b2-1e8b-dbce61f938b9.json,1205a0fe-83aa-67b2-1e8b-dbce61f938b9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/1205a0fe-83aa-67b2-1e8b-dbce61f938b9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6738ed431ee574b0e15c6de2b96103ae42e7cd17.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746539,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1205a0fe-83aa-67b2-1e8b-dbce61f938b9/manifest,,,,,61
綾巻破邪顕正並返答両書評判,,,A00:洒竹:3,洒0003,2,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/46b37f37-52d9-94a9-65e6-5e411ab81145.json,46b37f37-52d9-94a9-65e6-5e411ab81145,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/46b37f37-52d9-94a9-65e6-5e411ab81145,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/afa4161023b752dd7825dc5834ea9fe624ba924e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746538,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/46b37f37-52d9-94a9-65e6-5e411ab81145/manifest,,,,,30
阿羅野,,,A00:洒竹:4,洒0004,3,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化|画像にあるラベル「洒竹1629」は旧番号,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/39a07d8a-47e6-0f0e-7eed-5550233b2d81.json,39a07d8a-47e6-0f0e-7eed-5550233b2d81,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/39a07d8a-47e6-0f0e-7eed-5550233b2d81,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0ea172961184d6ebf5644d325d1dea6dc346db7f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746537,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/39a07d8a-47e6-0f0e-7eed-5550233b2d81/manifest,,,,,124
あめ子,,,A00:洒竹:5,洒0005,4,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/483918e0-4db6-80a9-8300-8da86af26f6f.json,483918e0-4db6-80a9-8300-8da86af26f6f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/483918e0-4db6-80a9-8300-8da86af26f6f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fa8e65354d0437690613785862ae5093f9b4b5cf.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746536,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0004,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/483918e0-4db6-80a9-8300-8da86af26f6f/manifest,,,,,22
あしそろへ,,,A00:洒竹:6,洒0006,5,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化|画像にあるラベル「洒竹2186」は旧番号,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/32fbb9c2-3492-1ab5-7d7d-a2219da54846.json,32fbb9c2-3492-1ab5-7d7d-a2219da54846,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/32fbb9c2-3492-1ab5-7d7d-a2219da54846,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3dbc6c71921629080b98b6f7c3a7a37cda0d82a0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746535,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/32fbb9c2-3492-1ab5-7d7d-a2219da54846/manifest,,,,,51
芦分船 夏秋,,,A00:洒竹:7,洒0007,6,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b5b668f6-569d-1e45-3215-c55e4f8f5dd9.json,b5b668f6-569d-1e45-3215-c55e4f8f5dd9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/b5b668f6-569d-1e45-3215-c55e4f8f5dd9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a376146522bd086d474db378844cc3bc7dc57b0b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746534,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b5b668f6-569d-1e45-3215-c55e4f8f5dd9/manifest,,,,,48
芦分船,,,A00:洒竹:8,洒0008,7,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2c5d8395-77a1-1248-6901-b37da91c1933.json,2c5d8395-77a1-1248-6901-b37da91c1933,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/2c5d8395-77a1-1248-6901-b37da91c1933,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2503e0cb7cb79349f67d6f0899ab895bc85fc972.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746533,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2c5d8395-77a1-1248-6901-b37da91c1933/manifest,,,,,90
或時集,,,A00:洒竹:9,洒0009,8,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b5b70062-5c3e-93b7-933a-b7a64b197396.json,b5b70062-5c3e-93b7-933a-b7a64b197396,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/b5b70062-5c3e-93b7-933a-b7a64b197396,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9ae54a99b3c37196913a6a89e840d05a515667e3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746532,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b5b70062-5c3e-93b7-933a-b7a64b197396/manifest,,,,,26
有磯海,,,A00:洒竹:10,洒0010,9,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/13eeb311-8a55-31c6-226c-408c1be40ffb.json,13eeb311-8a55-31c6-226c-408c1be40ffb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/13eeb311-8a55-31c6-226c-408c1be40ffb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/72e281f3a4932c696054218452372bdac92acd6b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746531,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0009,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/13eeb311-8a55-31c6-226c-408c1be40ffb/manifest,,,,,45
