書名,請求記号,書名ヨミ,著者,冊数,出版者,出版年,種別,言語,注記,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:callNumber,dcndl:titleTranscription,dcterms:creator,dcterms:extent,dcterms:publisher,dcterms:issued,dcndl:materialType,dcterms:language,archiveshub:note,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,21297
三帖源氏 [1],A00:4009,サンジョウ ゲンジ,,3,[正親町公通] [写],[江戸前期],和古書,日本語,"書名及び巻冊次は題簽による|上の冒頭付箋に「三帖源氏上中下 正親町大納言公通卿正筆」とあり|毎半葉10行注文双行|金地布目見返し, 金砂子散しに遠山雲霞秋草文様表紙, 鳥の子紙を使用|綴葉装|印記: 「青洲文庫」|湿損あり",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/58b17904-5e1d-797f-6cc2-92595d4d2c2c.json,58b17904-5e1d-797f-6cc2-92595d4d2c2c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seishu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seishu/document/58b17904-5e1d-797f-6cc2-92595d4d2c2c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b7d92b3b3e9249d5834de8c80f86bc079ab71467.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1381414,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵青洲文庫,0024,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/58b17904-5e1d-797f-6cc2-92595d4d2c2c/manifest,,,,,116
三帖源氏 [2],A00:4009,サンジョウ ゲンジ,,3,[正親町公通] [写],[江戸前期],和古書,日本語,"書名及び巻冊次は題簽による|上の冒頭付箋に「三帖源氏上中下 正親町大納言公通卿正筆」とあり|毎半葉10行注文双行|金地布目見返し, 金砂子散しに遠山雲霞秋草文様表紙, 鳥の子紙を使用|綴葉装|印記: 「青洲文庫」|湿損あり",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/91c2eb0a-13bf-888a-a2be-912f8f806811.json,91c2eb0a-13bf-888a-a2be-912f8f806811,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seishu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seishu/document/91c2eb0a-13bf-888a-a2be-912f8f806811,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cc6e98a55c9f31ba62b8e9f51f6b597cbd529a20.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1381413,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵青洲文庫,0025,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91c2eb0a-13bf-888a-a2be-912f8f806811/manifest,,,,,139
三帖源氏 [3],A00:4009,サンジョウ ゲンジ,,3,[正親町公通] [写],[江戸前期],和古書,日本語,"書名及び巻冊次は題簽による|上の冒頭付箋に「三帖源氏上中下 正親町大納言公通卿正筆」とあり|毎半葉10行注文双行|金地布目見返し, 金砂子散しに遠山雲霞秋草文様表紙, 鳥の子紙を使用|綴葉装|印記: 「青洲文庫」|湿損あり",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/57b67e77-0214-54fe-0120-8a4badcf9909.json,57b67e77-0214-54fe-0120-8a4badcf9909,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seishu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seishu/document/57b67e77-0214-54fe-0120-8a4badcf9909,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fe6249fa37785f72c24832f55133494a69de355d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1381412,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵青洲文庫,0026,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/57b67e77-0214-54fe-0120-8a4badcf9909/manifest,,,,,128
春色惠の花 2編6巻 [1],A00:4317,シュンショク メグミ ノ ハナ,為永 春水,2,[出版者不明],[天保7 (1836)] 序,和古書,日本語,"題簽の書名: 梅暦發端 : 恵の花|のどの書名: 梅發(前編), 惠(後編)|自序中の書名: 惠の花|巻冊次表示は題簽による|自序末に「申の孟陽 金龍山下狂訓亭 為永春水誌」とあり|後編の序末に「南仙笑楚満人六年以来改名してますます発行の詮穿家為永春水の需に応じ此巻中では初編よりおなじみ深き辰巳の小庵稲荷横町の南窓に 櫻川由次郎謹誌」とあり|前編: 卷之1-3. 後編: 2編上中下之卷|四周単辺無界8行, 内匡廓: 15.5×9.7cm, 白口無魚尾|付訓あり|序, 口絵は色刷|合冊後印本|印記: 「青洲文庫」(渡辺信), 「澤次郎」(渡辺沢次郎)",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/332c75bf-7c7e-30e0-3d76-efa4917c7c59.json,332c75bf-7c7e-30e0-3d76-efa4917c7c59,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seishu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seishu/document/332c75bf-7c7e-30e0-3d76-efa4917c7c59,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f3e2d1a960ddf3fb457e11bc1835885fa8ad7ca9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1381411,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵青洲文庫,0027,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/332c75bf-7c7e-30e0-3d76-efa4917c7c59/manifest,,,,,65
春色惠の花 2編6巻 [2],A00:4317,シュンショク メグミ ノ ハナ,為永 春水,2,[出版者不明],[天保7 (1836)] 序,和古書,日本語,"題簽の書名: 梅暦發端 : 恵の花|のどの書名: 梅發(前編), 惠(後編)|自序中の書名: 惠の花|巻冊次表示は題簽による|自序末に「申の孟陽 金龍山下狂訓亭 為永春水誌」とあり|後編の序末に「南仙笑楚満人六年以来改名してますます発行の詮穿家為永春水の需に応じ此巻中では初編よりおなじみ深き辰巳の小庵稲荷横町の南窓に 櫻川由次郎謹誌」とあり|前編: 卷之1-3. 後編: 2編上中下之卷|四周単辺無界8行, 内匡廓: 15.5×9.7cm, 白口無魚尾|付訓あり|序, 口絵は色刷|合冊後印本|印記: 「青洲文庫」(渡辺信), 「澤次郎」(渡辺沢次郎)",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d12f353a-5023-09d5-3b34-5ab569638c06.json,d12f353a-5023-09d5-3b34-5ab569638c06,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seishu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seishu/document/d12f353a-5023-09d5-3b34-5ab569638c06,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6b851b0f2232b970b7a047b6ecc6251f46be0b13.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1381410,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵青洲文庫,0028,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d12f353a-5023-09d5-3b34-5ab569638c06/manifest,,,,,64
春抄媚景英對暖語 5編15巻 [1],A00:4318,シュンショウ ビケイ エイタイ ダンゴ,為永 春水,5,[文永堂],天保9 [1838],和古書,日本語,"卷之2-15の巻頭書名: 春色英對暖語|序首の書名: 梅暦拾遺別傳(3編), 英對暖語(5編)|のどの書名: ゑいたい, ヱイタイ|内題下に「梅ごよみ拾遺別傳」とあり|序末に「天保九戊戌年正月發行」([初編])「天保九戊戌年春正月發行」(2編)とあり|5編序末の広告に「米八婀娜吉丹次郎の物語類本目録」(文永堂販)あり|[初編]: 卷之1-3. 2編: 卷之4-6. 3編: 卷之7-9. [4編]: 卷之10-12. 5編: 卷之13-15|四周単辺無界8行, 内匡廓: 14.4×9.8cm, 白口無魚尾|付訓あり|序, 口絵は色刷|合冊後印本|印記: 「青洲文庫」(渡辺信), 「澤次郎」(渡辺沢次郎)",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7d55bbd9-982a-6b51-46a3-b0eadb865f93.json,7d55bbd9-982a-6b51-46a3-b0eadb865f93,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seishu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seishu/document/7d55bbd9-982a-6b51-46a3-b0eadb865f93,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a8f67e5e7018701cf4339a9f30005464f36551eb.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1381409,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵青洲文庫,0029,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7d55bbd9-982a-6b51-46a3-b0eadb865f93/manifest,,,,,68
春抄媚景英對暖語 5編15巻 [2],A00:4318,シュンショウ ビケイ エイタイ ダンゴ,為永 春水,5,[文永堂],天保9 [1838],和古書,日本語,"卷之2-15の巻頭書名: 春色英對暖語|序首の書名: 梅暦拾遺別傳(3編), 英對暖語(5編)|のどの書名: ゑいたい, ヱイタイ|内題下に「梅ごよみ拾遺別傳」とあり|序末に「天保九戊戌年正月發行」([初編])「天保九戊戌年春正月發行」(2編)とあり|5編序末の広告に「米八婀娜吉丹次郎の物語類本目録」(文永堂販)あり|[初編]: 卷之1-3. 2編: 卷之4-6. 3編: 卷之7-9. [4編]: 卷之10-12. 5編: 卷之13-15|四周単辺無界8行, 内匡廓: 14.4×9.8cm, 白口無魚尾|付訓あり|序, 口絵は色刷|合冊後印本|印記: 「青洲文庫」(渡辺信), 「澤次郎」(渡辺沢次郎)",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6d528a4a-3c79-764d-49b4-b479854779bc.json,6d528a4a-3c79-764d-49b4-b479854779bc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seishu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seishu/document/6d528a4a-3c79-764d-49b4-b479854779bc,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8ae7182c901070bbd6f1fe8c4e9fcb29055bbbe5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1381408,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵青洲文庫,0030,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6d528a4a-3c79-764d-49b4-b479854779bc/manifest,,,,,70
春抄媚景英對暖語 5編15巻 [3],A00:4318,シュンショウ ビケイ エイタイ ダンゴ,為永 春水,5,[文永堂],天保9 [1838],和古書,日本語,"卷之2-15の巻頭書名: 春色英對暖語|序首の書名: 梅暦拾遺別傳(3編), 英對暖語(5編)|のどの書名: ゑいたい, ヱイタイ|内題下に「梅ごよみ拾遺別傳」とあり|序末に「天保九戊戌年正月發行」([初編])「天保九戊戌年春正月發行」(2編)とあり|5編序末の広告に「米八婀娜吉丹次郎の物語類本目録」(文永堂販)あり|[初編]: 卷之1-3. 2編: 卷之4-6. 3編: 卷之7-9. [4編]: 卷之10-12. 5編: 卷之13-15|四周単辺無界8行, 内匡廓: 14.4×9.8cm, 白口無魚尾|付訓あり|序, 口絵は色刷|合冊後印本|印記: 「青洲文庫」(渡辺信), 「澤次郎」(渡辺沢次郎)",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/72dd4d27-3c5b-1392-8b95-1c2a812b8463.json,72dd4d27-3c5b-1392-8b95-1c2a812b8463,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seishu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seishu/document/72dd4d27-3c5b-1392-8b95-1c2a812b8463,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9ce6eb230a9d75e8e638f7984433b54e51f3b249.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1381407,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵青洲文庫,0031,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/72dd4d27-3c5b-1392-8b95-1c2a812b8463/manifest,,,,,66
春抄媚景英對暖語 5編15巻 [4],A00:4318,シュンショウ ビケイ エイタイ ダンゴ,為永 春水,5,[文永堂],天保9 [1838],和古書,日本語,"卷之2-15の巻頭書名: 春色英對暖語|序首の書名: 梅暦拾遺別傳(3編), 英對暖語(5編)|のどの書名: ゑいたい, ヱイタイ|内題下に「梅ごよみ拾遺別傳」とあり|序末に「天保九戊戌年正月發行」([初編])「天保九戊戌年春正月發行」(2編)とあり|5編序末の広告に「米八婀娜吉丹次郎の物語類本目録」(文永堂販)あり|[初編]: 卷之1-3. 2編: 卷之4-6. 3編: 卷之7-9. [4編]: 卷之10-12. 5編: 卷之13-15|四周単辺無界8行, 内匡廓: 14.4×9.8cm, 白口無魚尾|付訓あり|序, 口絵は色刷|合冊後印本|印記: 「青洲文庫」(渡辺信), 「澤次郎」(渡辺沢次郎)",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/151d94f8-4a3d-7eac-6a42-832f6b99344e.json,151d94f8-4a3d-7eac-6a42-832f6b99344e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seishu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seishu/document/151d94f8-4a3d-7eac-6a42-832f6b99344e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0b3154708875bf8050b4275bcec59dfb3dfe42dd.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1381406,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵青洲文庫,0032,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/151d94f8-4a3d-7eac-6a42-832f6b99344e/manifest,,,,,65
