タイトル,資料名,資料名よみ,その他の資料名,その他の資料名よみ,著者,刊写の別,形態,請求記号,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:seriesTitle,dcndl:seriesTitleTranscription,dcndl:seriesAlternative,dcndl:seriesAlternativeTranscription,dcterms:creator,dcterms:type,bibo:numVolumes,dcndl:callNumber,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,270
測地原稿図(全),測地原稿図,,伊能忠敬測地原図,いのうただたかそくちげんず,伊能忠敬,写,93枚,A00:4549,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b7d2dc7b-56a6-6182-0a85-90b5657b01ea.json,b7d2dc7b-56a6-6182-0a85-90b5657b01ea,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/sokuchigenkozu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/sokuchigenkozu/document/b7d2dc7b-56a6-6182-0a85-90b5657b01ea,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b7d2dc7b-56a6-6182-0a85-90b5657b01ea.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534102,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,測地原稿図,10000000,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b7d2dc7b-56a6-6182-0a85-90b5657b01ea/manifest,,,,,135
甲州巨摩郡 自 身延山山門之石 至 福士村人家前,測地原稿図,,伊能忠敬測地原図,いのうただたかそくちげんず,伊能忠敬,写,93枚,A00:4549,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0c6ecc75-597f-4469-8ba1-b70a5ff27fd8.json,0c6ecc75-597f-4469-8ba1-b70a5ff27fd8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/sokuchigenkozu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/sokuchigenkozu/document/0c6ecc75-597f-4469-8ba1-b70a5ff27fd8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c6fb076d4a2520ad181c8112c7d3a15090098dc9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/533759,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,測地原稿図,10000001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0c6ecc75-597f-4469-8ba1-b70a5ff27fd8/manifest,,,,,1
自 辻堂村東海道追分 至 大山歴テ田原村制礼,測地原稿図,,伊能忠敬測地原図,いのうただたかそくちげんず,伊能忠敬,写,93枚,A00:4549,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/eea7a8bd-7951-30a9-8c0c-5c0a56787b38.json,eea7a8bd-7951-30a9-8c0c-5c0a56787b38,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/sokuchigenkozu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/sokuchigenkozu/document/eea7a8bd-7951-30a9-8c0c-5c0a56787b38,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a21e90c1d58f6496163c911dc1e620b58e77185b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/533760,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,測地原稿図,10000002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/eea7a8bd-7951-30a9-8c0c-5c0a56787b38/manifest,,,,,1
従 武州大里郡熊谷宿歴川越 至 入間郡大仙波新田,測地原稿図,,伊能忠敬測地原図,いのうただたかそくちげんず,伊能忠敬,写,93枚,A00:4549,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e3cd2bc9-2785-451c-57ec-9dd080779fca.json,e3cd2bc9-2785-451c-57ec-9dd080779fca,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/sokuchigenkozu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/sokuchigenkozu/document/e3cd2bc9-2785-451c-57ec-9dd080779fca,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/907dc102e2c19a7890db13c280d3a1930e93c2db.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/533761,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,測地原稿図,10000003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e3cd2bc9-2785-451c-57ec-9dd080779fca/manifest,,,,,2
自 江府深川測処 至 大堀村,測地原稿図,,伊能忠敬測地原図,いのうただたかそくちげんず,伊能忠敬,写,93枚,A00:4549,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d1ba2b6b-19cd-9336-9d31-eca0f7f1a602.json,d1ba2b6b-19cd-9336-9d31-eca0f7f1a602,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/sokuchigenkozu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/sokuchigenkozu/document/d1ba2b6b-19cd-9336-9d31-eca0f7f1a602,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/90167bf921992349fb24385d0e7448e55e425678.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/533762,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,測地原稿図,10000004,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d1ba2b6b-19cd-9336-9d31-eca0f7f1a602/manifest,,,,,2
自 信州筑摩郡洗馬宿大門村歴松本 至 更級郡川中島塩崎,測地原稿図,,伊能忠敬測地原図,いのうただたかそくちげんず,伊能忠敬,写,93枚,A00:4549,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/86168cb3-3911-6091-322c-efab3c982238.json,86168cb3-3911-6091-322c-efab3c982238,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/sokuchigenkozu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/sokuchigenkozu/document/86168cb3-3911-6091-322c-efab3c982238,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5fd35be1fbf2dead1d2c62ec743ce6eeebb58df8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/533763,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,測地原稿図,10000005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/86168cb3-3911-6091-322c-efab3c982238/manifest,,,,,2
従 飛州大野郡無敷河村 至 信州筑摩郡藪原宿制札,測地原稿図,,伊能忠敬測地原図,いのうただたかそくちげんず,伊能忠敬,写,93枚,A00:4549,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4fa5f500-6b90-482f-5ed9-874f653504d8.json,4fa5f500-6b90-482f-5ed9-874f653504d8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/sokuchigenkozu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/sokuchigenkozu/document/4fa5f500-6b90-482f-5ed9-874f653504d8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0f62bc41a0229a2c92f5daa090fc51e6776c412d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/533764,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,測地原稿図,10000006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4fa5f500-6b90-482f-5ed9-874f653504d8/manifest,,,,,2
従 信州佐久郡借宿村下仁田通リ 至 武州児玉郡本庄宿制札 多胡碑,測地原稿図,,伊能忠敬測地原図,いのうただたかそくちげんず,伊能忠敬,写,93枚,A00:4549,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8ea3dff1-5584-4016-1b93-8b4298a3415e.json,8ea3dff1-5584-4016-1b93-8b4298a3415e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/sokuchigenkozu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/sokuchigenkozu/document/8ea3dff1-5584-4016-1b93-8b4298a3415e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7238075bde269d650fc879ba2425d8db467534a8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/533765,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,測地原稿図,10000007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8ea3dff1-5584-4016-1b93-8b4298a3415e/manifest,,,,,2
"従 周防国吉敷郡山口道場門前町 至 佐波郡東佐波令制札, 長門阿武郡地福村字□, 周防吉敷郡宮野村□七房, 防芸州界亀尾川峠",測地原稿図,,伊能忠敬測地原図,いのうただたかそくちげんず,伊能忠敬,写,93枚,A00:4549,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a27d5425-9b21-7938-1910-fc869954009d.json,a27d5425-9b21-7938-1910-fc869954009d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/sokuchigenkozu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/sokuchigenkozu/document/a27d5425-9b21-7938-1910-fc869954009d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/db4d6c48fb417c67dbf364d5a5457fe3b2e2614d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/533766,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,測地原稿図,10000008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a27d5425-9b21-7938-1910-fc869954009d/manifest,,,,,2
