タイトル,巻号,西暦,発行日,発行機関,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:volume,dcterms:date,dcterms:issued,dcterms:creator,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,7866
函館商業会議所報 第145号 大正7年4月20日,第145号,1918,大正7年4月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2b8c9e21-06d3-37f4-4cd8-3b9fd63e3add.json,2b8c9e21-06d3-37f4-4cd8-3b9fd63e3add,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/2b8c9e21-06d3-37f4-4cd8-3b9fd63e3add,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/98f6364a3f89ec28a9158b1c75365ac2d4647d87.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612856,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2b8c9e21-06d3-37f4-4cd8-3b9fd63e3add/manifest,,,,,27
函館商業会議所報 第146号 大正7年5月20日,第146号,1918,大正7年5月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5c73026f-43b7-92ca-7082-91f29ca2566e.json,5c73026f-43b7-92ca-7082-91f29ca2566e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/5c73026f-43b7-92ca-7082-91f29ca2566e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2a4ccd66f570765cb4f5bb1ca09403f660adff37.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612855,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5c73026f-43b7-92ca-7082-91f29ca2566e/manifest,,,,,24
函館商業会議所報 第147号 大正7年6月20日,第147号,1918,大正7年6月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7e00e4d9-93f3-7b26-3099-5215850a3d87.json,7e00e4d9-93f3-7b26-3099-5215850a3d87,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/7e00e4d9-93f3-7b26-3099-5215850a3d87,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6757f8c51dcfd1225821150989ca9aaeb71c6520.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612854,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7e00e4d9-93f3-7b26-3099-5215850a3d87/manifest,,,,,24
函館商業会議所報 第148号 大正7年7月20日,第148号,1918,大正7年7月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/04c82e07-46a2-67f8-87e7-359adbd1448f.json,04c82e07-46a2-67f8-87e7-359adbd1448f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/04c82e07-46a2-67f8-87e7-359adbd1448f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/961c9d5967b98fc72a1b43c0cba6b5b54463b8ca.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612853,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0004,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/04c82e07-46a2-67f8-87e7-359adbd1448f/manifest,,,,,23
函館商業会議所報 第149号 大正7年8月20日,第149号,1918,大正7年8月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5d929c0e-1362-512e-78a7-c9a9b765a761.json,5d929c0e-1362-512e-78a7-c9a9b765a761,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/5d929c0e-1362-512e-78a7-c9a9b765a761,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/27942367e516947c074e886e684a7819b3b28fee.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612852,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5d929c0e-1362-512e-78a7-c9a9b765a761/manifest,,,,,24
函館商業会議所報 第150号 大正7年9月20日,第150号,1918,大正7年9月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9ad3c3a9-82fa-4330-766a-f34dccf731d3.json,9ad3c3a9-82fa-4330-766a-f34dccf731d3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/9ad3c3a9-82fa-4330-766a-f34dccf731d3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5fa774a15d721bfae5c48a3dfca993584e93c9c0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612851,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9ad3c3a9-82fa-4330-766a-f34dccf731d3/manifest,,,,,25
函館商業会議所報 第151号 大正7年10月20日,第151号,1918,大正7年10月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bbd85401-61c9-6976-434b-518620089a45.json,bbd85401-61c9-6976-434b-518620089a45,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/bbd85401-61c9-6976-434b-518620089a45,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/43c72dbb7d5fa171595ac824f9a1c441d164f009.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612850,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bbd85401-61c9-6976-434b-518620089a45/manifest,,,,,25
函館商業会議所報 第152号 大正7年11月20日,第152号,1918,大正7年11月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2f2adf0d-a4a7-8c04-0e21-2e43fd693c2a.json,2f2adf0d-a4a7-8c04-0e21-2e43fd693c2a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/2f2adf0d-a4a7-8c04-0e21-2e43fd693c2a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/830e6da1951502a1fb57ef33aece72817b07ecf0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612849,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2f2adf0d-a4a7-8c04-0e21-2e43fd693c2a/manifest,,,,,24
函館商業会議所報 第153号 大正7年12月20日,第153号,1918,大正7年12月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3e20d6d4-75ff-4217-7bc9-df17690852b9.json,3e20d6d4-75ff-4217-7bc9-df17690852b9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/3e20d6d4-75ff-4217-7bc9-df17690852b9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/125569b7cda27593581919424642abe5a2c22f83.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612848,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0009,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3e20d6d4-75ff-4217-7bc9-df17690852b9/manifest,,,,,25
