タイトル,別タイトル,別タイトル（題簽題）,注記,冊,請求記号,作成者,画像数,備考,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcterms:alternative,dcndl:alternative,archiveshub:note,dcndl:volume,dcndl:callNumber,dcterms:creator,dcterms:extent,bibo:shortDescription,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,14003
捃拾帖 一,,,安政五年 同六年,第1冊,A00:6010,田中芳男,52,,d230f1f8-5929-4138-bb28-1108d77fd32a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/d230f1f8-5929-4138-bb28-1108d77fd32a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/154118/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/25280,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,田中芳男・博物学コレクション,00000001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d230f1f8-5929-4138-bb28-1108d77fd32a/manifest,,,,,52
捃拾帖 二,,,,第2冊,A00:6010,田中芳男,48,,64945590-996a-4b3b-876e-36b0662cf6dc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/64945590-996a-4b3b-876e-36b0662cf6dc,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/154170/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/25199,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,田中芳男・博物学コレクション,00000002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/64945590-996a-4b3b-876e-36b0662cf6dc/manifest,,,,,48
捃拾帖 三,,,,第3冊,A00:6010,田中芳男,65,,69cf4ccb-2fc5-43f9-9eb8-1a54e1ca3c35,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/69cf4ccb-2fc5-43f9-9eb8-1a54e1ca3c35,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/154218/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/25228,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,田中芳男・博物学コレクション,00000003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/69cf4ccb-2fc5-43f9-9eb8-1a54e1ca3c35/manifest,,,,,65
捃拾帖 四,,,江戸土産 一,第4冊,A00:6010,田中芳男,64,,dc100a27-bdd9-47f1-8d55-ecc0c1f6db1f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/dc100a27-bdd9-47f1-8d55-ecc0c1f6db1f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/154283/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/25192,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,田中芳男・博物学コレクション,00000004,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dc100a27-bdd9-47f1-8d55-ecc0c1f6db1f/manifest,,,,,64
捃拾帖 五,,,江戸土産 二,第5冊,A00:6010,田中芳男,60,,0ad3333a-e5e8-4a6e-8468-38a15250ee2a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/0ad3333a-e5e8-4a6e-8468-38a15250ee2a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/154347/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/25222,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,田中芳男・博物学コレクション,00000005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0ad3333a-e5e8-4a6e-8468-38a15250ee2a/manifest,,,,,60
捃拾帖 六,,,江戸土産 三,第6冊,A00:6010,田中芳男,71,,c3f81395-eb01-43c2-a7ef-61a87abeb84d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/c3f81395-eb01-43c2-a7ef-61a87abeb84d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/154407/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/25235,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,田中芳男・博物学コレクション,00000006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c3f81395-eb01-43c2-a7ef-61a87abeb84d/manifest,,,,,71
捃拾帖 七,,,江戸土産 四 諸国之部,第7冊,A00:6010,田中芳男,76,,c4c6cfea-78f1-4f43-ac2a-658cd230e9e0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/c4c6cfea-78f1-4f43-ac2a-658cd230e9e0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/154478/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/25258,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,田中芳男・博物学コレクション,00000007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c4c6cfea-78f1-4f43-ac2a-658cd230e9e0/manifest,,,,,76
捃拾帖 八,,,大阪之部,第8冊,A00:6010,田中芳男,30,,30e8938e-030b-4696-abfa-af83b744b5e3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/30e8938e-030b-4696-abfa-af83b744b5e3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/154554/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/25234,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,田中芳男・博物学コレクション,00000008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/30e8938e-030b-4696-abfa-af83b744b5e3/manifest,,,,,30
捃拾帖 九,,,大阪之部,第9冊,A00:6010,田中芳男,33,折本。「表紙」「表面・見開き(2面)」「裏表紙」「裏面・見開き(2面)」の順番で撮影。 ,ae3d341e-14cd-4903-bfe3-e101e4431eaa,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/ae3d341e-14cd-4903-bfe3-e101e4431eaa,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/154584/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/25197,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,田中芳男・博物学コレクション,00000009,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ae3d341e-14cd-4903-bfe3-e101e4431eaa/manifest,,,,,33
