タイトル	タイトルヨミ	別タイトル	別タイトル（題簽題）	注記	大きさ	冊	請求記号	作成者	画像数	備考	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
dcterms:title	dcndl:titleTranscription	dcterms:alternative	dcndl:alternative	archiveshub:note	archiveshub:extent	dcndl:volume	dcndl:callNumber	dcterms:creator	dcterms:extent	bibo:shortDescription	iiif viewer	bibo:identifier	dcterms:isPartOf	dcterms:relation	dcterms:rights	foaf:thumbnail	rdfs:seeAlso	sc:attributionLabel	sc:viewingDirection	sc:viewingHint	uterms:databaseLabel	uterms:sort	uterms:year	uterms:manifestUri	uterms:searchApiUri	uterms:annotedManifest	uterms:linkToTapas	uterms:rtf	2763
日本産物誌稿 一				山城、大和、河内、和泉、摂津、伊賀、伊勢志摩、尾張、三河、遠江			A00:5766	田中芳男	241		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7b034730-6d50-588e-3f11-d479d2ea7a79.json	7b034730-6d50-588e-3f11-d479d2ea7a79	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/7b034730-6d50-588e-3f11-d479d2ea7a79	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/74c8dbd33e511c14695470aa22a23b44451b332c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534061	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		田中芳男・博物学コレクション	10000096		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7b034730-6d50-588e-3f11-d479d2ea7a79/manifest					240
日本産物誌稿 二				駿河、甲斐、伊豆、相模、武蔵、安房、上総、下総、常陸			A00:5766	田中芳男	251		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b2685f63-380b-4254-647b-259f93426929.json	b2685f63-380b-4254-647b-259f93426929	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/b2685f63-380b-4254-647b-259f93426929	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bd828c31cac2e596b245927e7e57a9d9f019ec67.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534062	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		田中芳男・博物学コレクション	10000097		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b2685f63-380b-4254-647b-259f93426929/manifest					251
日本産物誌稿 三				近江、美濃			A00:5766	田中芳男	235		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5ca2856b-3b65-1473-7ba8-5672bf839d22.json	5ca2856b-3b65-1473-7ba8-5672bf839d22	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/5ca2856b-3b65-1473-7ba8-5672bf839d22	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9f4094d223f3f194954d2d4199fa24eaaf82033b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534063	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		田中芳男・博物学コレクション	10000098		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5ca2856b-3b65-1473-7ba8-5672bf839d22/manifest					235
日本産物誌稿 四				飛騨、信濃、上野、下野			A00:5766	田中芳男	236		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e243a947-5081-0d02-12b2-ccd242097cf7.json	e243a947-5081-0d02-12b2-ccd242097cf7	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/e243a947-5081-0d02-12b2-ccd242097cf7	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/dfea284f1da15333263022e9fd16e2d3ad596891.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534064	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		田中芳男・博物学コレクション	10000099		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e243a947-5081-0d02-12b2-ccd242097cf7/manifest					236
日本産物誌稿 五				陸奥、出羽、若狭、越前、加賀、能登、越中、越後			A00:5766	田中芳男	236		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0e50a52f-4a1f-58c9-77c2-748e98975632.json	0e50a52f-4a1f-58c9-77c2-748e98975632	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/0e50a52f-4a1f-58c9-77c2-748e98975632	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f67aa443a89a96ed7ee51a0da85bcf5bd03a99cf.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534065	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		田中芳男・博物学コレクション	10000100		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0e50a52f-4a1f-58c9-77c2-748e98975632/manifest					236
日本産物誌稿 六				佐渡、丹波、丹後、但馬、因幡、伯耆、出雲、石見、隠岐、播磨、美作			A00:5766	田中芳男	198		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b1a1fe6b-3564-16a2-16d9-50b7c189985f.json	b1a1fe6b-3564-16a2-16d9-50b7c189985f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/b1a1fe6b-3564-16a2-16d9-50b7c189985f	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cb9827194e79a9b79d75fa2108d43a785fcb6602.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534066	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		田中芳男・博物学コレクション	10000101		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b1a1fe6b-3564-16a2-16d9-50b7c189985f/manifest					198
日本産物誌稿 七				備前、備中、備後、安芸、周防、長門、紀伊、淡路、阿波、讃岐、伊予			A00:5766	田中芳男	207		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/33d43098-2d88-7b48-1972-34bf516680ad.json	33d43098-2d88-7b48-1972-34bf516680ad	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/33d43098-2d88-7b48-1972-34bf516680ad	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b7a3d3b3c7c52c580a0b3106a51f75c9fc4245ce.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534067	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		田中芳男・博物学コレクション	10000102		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/33d43098-2d88-7b48-1972-34bf516680ad/manifest					207
日本産物誌稿 八				土佐、筑前、筑後、豊前、豊後、肥前、肥後、日向、大隅、薩摩、壱岐、琉球、北海道			A00:5766	田中芳男	223		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4c1486c3-1f92-3879-4350-ff9c2f4e3978.json	4c1486c3-1f92-3879-4350-ff9c2f4e3978	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/4c1486c3-1f92-3879-4350-ff9c2f4e3978	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fd3a3bf95744b05d3e1dfc4c518480c38b64c772.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534068	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		田中芳男・博物学コレクション	10000103		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4c1486c3-1f92-3879-4350-ff9c2f4e3978/manifest					223
鯣帖 一				明治十七年成 壱			A00:5842	田中芳男	182		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ec1e46fa-97c5-2482-3eb7-692c8364209c.json	ec1e46fa-97c5-2482-3eb7-692c8364209c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/ec1e46fa-97c5-2482-3eb7-692c8364209c	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/468d9dc9b03a831c583451433f0c983ff3d9cef2.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534069	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		田中芳男・博物学コレクション	10000104		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ec1e46fa-97c5-2482-3eb7-692c8364209c/manifest					182
