資料名,資料名（ヨミ）,編著者,編著者（ヨミ）,言語,刊行年、書写年等,形態,内容記述,請求記号,種別,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:titleTranscription,dcterms:creator,dcndl:creatorTranscription,dcterms:language,dcterms:issued,dcterms:extent,dcterms:description,dcndl:callNumber,dcndl:materialType,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,974
沖縄縣下宮古列嶋結縄算標本説明全,オキナワ ケンカ ミヤコ レットウ ケツジョウザン ヒョウホン セツメイ ゼン,田代安定編輯,"タシロ, ヤスサダ",日本語,[明治年間],1冊 ; 24cm,,952:512,図書,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2df50d66-5600-137c-2976-52ede9905f1f.json,2df50d66-5600-137c-2976-52ede9905f1f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tashiro/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tashiro/document/2df50d66-5600-137c-2976-52ede9905f1f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/eeb3425d19ed6587cc6a043c9a57bc0b0bf74629.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/736892,"東京大学理学図書館 Science Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,田代安定資料,0001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2df50d66-5600-137c-2976-52ede9905f1f/manifest,,,,,82
沖縄縣下沖縄諸嶋結縄算標本説明全,オキナワ ケンカ オキナワ ショトウ ケツジョウザン ヒョウホン セツメイ ゼン,田代安定編輯,"タシロ, ヤスサダ",日本語,[明治年間],1冊 ; 24cm,,952:513,図書,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/632a1879-47fe-1d3b-a23f-a57ef84a0537.json,632a1879-47fe-1d3b-a23f-a57ef84a0537,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tashiro/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tashiro/document/632a1879-47fe-1d3b-a23f-a57ef84a0537,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/af1811cdb0d1a8b26902342e33fa48b8140a112c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/736891,"東京大学理学図書館 Science Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,田代安定資料,0002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/632a1879-47fe-1d3b-a23f-a57ef84a0537/manifest,,,,,86
沖縄縣下諸嶋数標字譜全,オキナワ ケンカ ショトウ スウヒョウ ジフ ゼン,田代安定集録,"タシロ, ヤスサダ",日本語,[明治年間],1冊 ; 24cm,,952:514,図書,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bfafcce6-4839-4ee1-885c-993751f08f22.json,bfafcce6-4839-4ee1-885c-993751f08f22,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tashiro/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tashiro/document/bfafcce6-4839-4ee1-885c-993751f08f22,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/915001ae859976f921de3fb393d6dab23a491fc4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/736890,"東京大学理学図書館 Science Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,田代安定資料,0003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bfafcce6-4839-4ee1-885c-993751f08f22/manifest,,,,,49
海南諸島姓氏録,カイナン ショトウ セイシロク,田代安定輯録,"タシロ, ヤスサダ",日本語,[明治年間],1冊 ; 24cm,,952:515,図書,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3db56715-60ca-63e2-3e95-6d66a21703c9.json,3db56715-60ca-63e2-3e95-6d66a21703c9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tashiro/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tashiro/document/3db56715-60ca-63e2-3e95-6d66a21703c9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/dc453d8e6cb79ee0e972ced0638eb06e834dcd33.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/736889,"東京大学理学図書館 Science Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,田代安定資料,0004,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3db56715-60ca-63e2-3e95-6d66a21703c9/manifest,,,,,38
沖縄島諸祭神祝女類別表 ; 沖縄島祝女佩用勾玉實檢圖解,オキナワジマ ショサイシン ノロ ルイベツヒョウ ; オキナワジマ ノロ ハイヨウ マガタマ ジッケン ズカイ,田代安定輯録,"タシロ, ヤスサダ",日本語,[明治年間],1冊 ; 24cm,,952:516,図書,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e3848430-3ee8-84cd-09c1-a44667685ac3.json,e3848430-3ee8-84cd-09c1-a44667685ac3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tashiro/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tashiro/document/e3848430-3ee8-84cd-09c1-a44667685ac3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e270992a6318b608965d8c4aba9d78fcff7d011d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/736888,"東京大学理学図書館 Science Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,田代安定資料,0005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e3848430-3ee8-84cd-09c1-a44667685ac3/manifest,,,,,68
沖縄島國頭地方舊慣問答書 第1冊,オキナワジマ クニガミ チホウ キュウカン モンドウショ,田代安定輯,"タシロ, ヤスサダ",日本語,[明治年間],1冊 ; 24cm,沖縄島国頭地方旧慣問答書 第1冊 / 沖縄島附属伊江島取調書 第2冊 / 沖縄島恩納間切取調書 : 旧慣問答 第3冊 / 名護間切取調書 / 久志地方旧慣問答書 第4冊 / 沖縄島大宜味地方旧慣問答書 第5冊 / 沖縄島国頭地方金武間切各村取調問答録 第6冊 / 沖縄島中城間切取調問答録 第7冊,952:517,図書,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4281cf8d-6d5d-68a5-a1a0-016fb2546267.json,4281cf8d-6d5d-68a5-a1a0-016fb2546267,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tashiro/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tashiro/document/4281cf8d-6d5d-68a5-a1a0-016fb2546267,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/305f2c2c558eb534822f5fcb3d1dbb890fc86fd1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/736887,"東京大学理学図書館 Science Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,田代安定資料,0006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4281cf8d-6d5d-68a5-a1a0-016fb2546267/manifest,,,,,247
琉球國衣服制度記,リュウキュウコク イフク セイドキ,[田代安定]冩,"タシロ, ヤスサダ",日本語,[明治年間],1冊 ; 24cm,衣服定 申六月廿九日 評定所 / 衣服定 申五月五日 評定所 / 咸豊七年丁巳 衣服定 巳閏五月十一日 評定所,952:518,図書,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4cdca026-8e34-6fc1-2101-08a79506281d.json,4cdca026-8e34-6fc1-2101-08a79506281d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tashiro/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tashiro/document/4cdca026-8e34-6fc1-2101-08a79506281d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1eaf0da954520ef68e6a00417ca2a982ccb039ae.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/736886,"東京大学理学図書館 Science Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,田代安定資料,0007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4cdca026-8e34-6fc1-2101-08a79506281d/manifest,,,,,41
海南諸島單語篇 八重山之部,カイナン ショトウ タンゴヘン,田代安定編集,"タシロ, ヤスサダ",日本語,[明治年間],1冊 ; 24cm,八重山列島天地歳時部名詞 / 八重山列島人倫身體部名詞 / 八重山列島普通形容詞,952:519,図書,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/172d3fbb-0897-9983-6fb0-9657dcd70894.json,172d3fbb-0897-9983-6fb0-9657dcd70894,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tashiro/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tashiro/document/172d3fbb-0897-9983-6fb0-9657dcd70894,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/abd1dd858920a39e54cb256a4415996bb6f945e7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/736885,"東京大学理学図書館 Science Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,田代安定資料,0008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/172d3fbb-0897-9983-6fb0-9657dcd70894/manifest,,,,,62
沖縄小説集,オキナワ ショウセツシュウ,田代安定写,"タシロ, ヤスサダ",日本語,[明治年間],1冊 ; 27cm,探義傳敵打 / 聟取敵打 / 大浦敵打,952:520,図書,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/51bb2c3e-a1bb-0fd6-8470-7192e7770390.json,51bb2c3e-a1bb-0fd6-8470-7192e7770390,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tashiro/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tashiro/document/51bb2c3e-a1bb-0fd6-8470-7192e7770390,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ddebf258cee51f8824002fd348bb14bacc39faec.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/736884,"東京大学理学図書館 Science Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,田代安定資料,0009,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/51bb2c3e-a1bb-0fd6-8470-7192e7770390/manifest,,,,,98
